SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628470,0022201229,"APR 09, 2023",PHX vs. LAC,L,6,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-3,1
22022,1628470,0022201212,"APR 07, 2023",PHX @ LAL,L,29,8,12,0.667,2,5,0.4,0,0,0.0,3,3,6,1,1,4,0,1,18,-7,1
22022,1628470,0022201201,"APR 06, 2023",PHX vs. DEN,W,22,5,8,0.625,1,2,0.5,0,0,0.0,0,3,3,2,0,1,0,3,11,8,1
22022,1628470,0022201188,"APR 04, 2023",PHX vs. SAS,W,25,7,9,0.778,1,3,0.333,0,1,0.0,4,6,10,3,1,0,2,1,15,28,1
22022,1628470,0022201172,"APR 02, 2023",PHX @ OKC,W,12,3,5,0.6,1,2,0.5,1,1,1.0,0,1,1,1,1,1,0,5,8,6,1
22022,1628470,0022201160,"MAR 31, 2023",PHX vs. DEN,W,16,1,3,0.333,1,1,1.0,0,0,0.0,1,5,6,0,0,1,0,1,3,3,1
22022,1628470,0022201144,"MAR 29, 2023",PHX vs. MIN,W,23,2,3,0.667,0,1,0.0,0,0,0.0,2,3,5,1,0,0,0,1,4,3,1
22022,1628470,0022201125,"MAR 27, 2023",PHX @ UTA,W,17,2,6,0.333,0,2,0.0,0,0,0.0,1,2,3,0,1,1,0,2,4,-12,1
22022,1628470,0022201110,"MAR 25, 2023",PHX vs. PHI,W,19,2,5,0.4,2,3,0.667,0,0,0.0,1,2,3,1,0,1,0,0,6,1,1
22022,1628470,0022201105,"MAR 24, 2023",PHX @ SAC,L,26,1,6,0.167,0,3,0.0,0,0,0.0,1,3,4,1,0,3,1,2,2,-14,1
22022,1628470,0022201092,"MAR 22, 2023",PHX @ LAL,L,27,5,10,0.5,4,7,0.571,0,0,0.0,0,2,2,1,0,1,1,4,14,-10,1
22022,1628470,0022201064,"MAR 19, 2023",PHX @ OKC,L,31,2,7,0.286,1,5,0.2,2,2,1.0,2,5,7,3,0,4,3,3,7,-8,1
22022,1628470,0022201046,"MAR 16, 2023",PHX vs. ORL,W,25,3,6,0.5,3,5,0.6,0,0,0.0,1,4,5,2,1,1,0,2,9,1,1
