SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203924,0022201017,"MAR 12, 2023",POR @ NOP,L,19,2,7,0.286,0,3,0.0,3,4,0.75,0,2,2,4,1,0,1,0,7,-26,1
22022,203924,0022200998,"MAR 10, 2023",POR @ PHI,L,42,8,13,0.615,3,6,0.5,5,8,0.625,2,8,10,2,1,0,1,3,24,7,1
22022,203924,0022200986,"MAR 08, 2023",POR @ BOS,L,33,5,12,0.417,3,7,0.429,0,0,0.0,1,5,6,0,0,0,2,2,13,-23,1
22022,203924,0022200977,"MAR 06, 2023",POR @ DET,W,40,9,19,0.474,4,7,0.571,4,4,1.0,1,5,6,1,1,3,2,4,26,13,1
22022,203924,0022200966,"MAR 05, 2023",POR @ ORL,W,39,5,14,0.357,3,8,0.375,7,7,1.0,1,5,6,7,1,2,3,5,20,5,1
22022,203924,0022200947,"MAR 03, 2023",POR @ ATL,L,39,5,16,0.313,1,6,0.167,3,4,0.75,1,4,5,4,2,3,2,1,14,-4,1
22022,203924,0022200941,"MAR 01, 2023",POR vs. NOP,L,38,7,14,0.5,5,9,0.556,9,10,0.9,0,4,4,3,0,1,2,2,28,-7,1
22022,203924,0022200931,"FEB 28, 2023",POR @ GSW,L,37,5,17,0.294,1,8,0.125,13,15,0.867,0,5,5,3,1,0,2,1,24,-17,1
22022,203924,0022200917,"FEB 26, 2023",POR vs. HOU,W,32,5,10,0.5,1,2,0.5,2,2,1.0,1,4,5,1,1,0,4,4,13,14,1
22022,203924,0022200843,"FEB 10, 2023",POR vs. OKC,L,37,8,13,0.615,2,5,0.4,5,5,1.0,0,4,4,2,0,1,4,5,23,-7,1
22022,203924,0022200830,"FEB 08, 2023",POR vs. GSW,W,40,7,12,0.583,1,4,0.25,7,8,0.875,1,3,4,1,0,1,4,3,22,2,1
22022,203924,0022200815,"FEB 06, 2023",POR vs. MIL,L,36,4,13,0.308,1,7,0.143,4,5,0.8,0,3,3,0,0,2,0,3,13,-15,1
22022,203924,0022200796,"FEB 04, 2023",POR @ CHI,L,40,5,13,0.385,1,6,0.167,2,3,0.667,0,5,5,4,0,0,2,1,13,-12,1
22022,203924,0022200787,"FEB 03, 2023",POR @ WAS,W,36,2,8,0.25,1,3,0.333,5,6,0.833,0,8,8,3,1,0,1,4,10,2,1
22022,203924,0022200771,"FEB 01, 2023",POR @ MEM,W,20,6,12,0.5,1,3,0.333,5,5,1.0,0,3,3,1,0,1,0,0,18,-8,1
22022,203924,0022200763,"JAN 30, 2023",POR vs. ATL,W,35,8,17,0.471,4,9,0.444,2,2,1.0,0,2,2,1,0,2,2,3,22,-3,1
22022,203924,0022200751,"JAN 28, 2023",POR vs. TOR,L,41,9,19,0.474,1,4,0.25,7,9,0.778,0,8,8,3,1,2,1,2,26,-22,1
22022,203924,0022200727,"JAN 25, 2023",POR vs. UTA,W,42,9,15,0.6,0,2,0.0,1,2,0.5,0,5,5,2,2,1,1,1,19,16,1
