SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631219,0022201230,"APR 09, 2023",POR vs. GSW,L,22,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,2,3,-37,1
22022,1631219,0022201215,"APR 08, 2023",POR @ LAC,L,22,3,5,0.6,1,3,0.333,0,1,0.0,0,1,1,3,0,1,0,4,7,-10,1
22022,1631219,0022201199,"APR 06, 2023",POR @ SAS,L,37,4,11,0.364,2,6,0.333,2,2,1.0,0,2,2,4,2,2,1,2,12,-6,1
22022,1631219,0022201184,"APR 04, 2023",POR @ MEM,L,25,4,9,0.444,2,7,0.286,0,0,0.0,1,4,5,0,1,1,0,1,10,-8,1
22022,1631219,0022201166,"APR 02, 2023",POR @ MIN,W,18,2,5,0.4,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,1,5,7,1
22022,1631219,0022201159,"MAR 31, 2023",POR vs. SAC,L,16,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,2,1,0,0,2,3,1,1
22022,1631219,0022201145,"MAR 29, 2023",POR vs. SAC,L,26,1,6,0.167,0,4,0.0,1,1,1.0,0,3,3,1,2,1,0,4,3,-10,1
22022,1631219,0022201127,"MAR 27, 2023",POR vs. NOP,L,17,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,3,0,-7,1
22022,1631219,0022201104,"MAR 24, 2023",POR vs. CHI,L,8,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-6,1
22022,1631219,0022201091,"MAR 22, 2023",POR @ UTA,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1
22022,1631219,0022200894,"FEB 23, 2023",POR @ SAC,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,6,1
22022,1631219,0022200867,"FEB 13, 2023",POR vs. LAL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-5,1
22022,1631219,0022200815,"FEB 06, 2023",POR vs. MIL,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,3,1
22022,1631219,0022200751,"JAN 28, 2023",POR vs. TOR,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1631219,0022200711,"JAN 23, 2023",POR vs. SAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1,1
22022,1631219,0022200324,"NOV 30, 2022",POR @ LAL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22022,1631219,0022200261,"NOV 23, 2022",POR @ CLE,L,3,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-3,1
22022,1631219,0022200251,"NOV 21, 2022",POR @ MIL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,1
22022,1631219,0022200139,"NOV 05, 2022",POR @ PHX,L,9,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2,8,1
