SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203081,0022201091,"MAR 22, 2023",POR @ UTA,W,34,8,19,0.421,2,10,0.2,12,14,0.857,1,6,7,12,0,0,2,1,30,18,1
22022,203081,0022201069,"MAR 19, 2023",POR vs. LAC,L,39,4,17,0.235,1,8,0.125,12,13,0.923,1,6,7,9,1,1,4,0,21,-20,1
22022,203081,0022201053,"MAR 17, 2023",POR vs. BOS,L,37,12,23,0.522,6,15,0.4,11,14,0.786,1,3,4,5,1,1,7,3,41,-14,1
22022,203081,0022201034,"MAR 14, 2023",POR vs. NYK,L,39,11,26,0.423,8,17,0.471,8,9,0.889,2,5,7,7,0,0,4,3,38,-5,1
22022,203081,0022200998,"MAR 10, 2023",POR @ PHI,L,39,6,15,0.4,2,8,0.25,8,8,1.0,0,6,6,11,0,0,2,2,22,3,1
22022,203081,0022200986,"MAR 08, 2023",POR @ BOS,L,30,7,16,0.438,2,8,0.25,11,11,1.0,0,5,5,8,1,0,5,2,27,-16,1
22022,203081,0022200977,"MAR 06, 2023",POR @ DET,W,38,10,28,0.357,6,14,0.429,5,6,0.833,2,11,13,12,1,1,4,0,31,8,1
22022,203081,0022200966,"MAR 05, 2023",POR @ ORL,W,37,10,25,0.4,4,16,0.25,17,20,0.85,3,6,9,6,2,1,5,2,41,10,1
22022,203081,0022200947,"MAR 03, 2023",POR @ ATL,L,37,10,21,0.476,5,11,0.455,8,9,0.889,1,3,4,8,2,0,3,2,33,-13,1
22022,203081,0022200941,"MAR 01, 2023",POR vs. NOP,L,39,12,22,0.545,2,9,0.222,15,16,0.938,0,8,8,0,1,0,4,1,41,2,1
22022,203081,0022200931,"FEB 28, 2023",POR @ GSW,L,35,9,21,0.429,2,7,0.286,5,5,1.0,3,0,3,7,3,0,2,4,25,0,1
22022,203081,0022200917,"FEB 26, 2023",POR vs. HOU,W,39,22,38,0.579,13,22,0.591,14,14,1.0,1,5,6,6,0,0,2,0,71,21,1
22022,203081,0022200872,"FEB 14, 2023",POR vs. WAS,L,39,14,30,0.467,5,17,0.294,6,7,0.857,1,9,10,6,1,0,6,1,39,-13,1
22022,203081,0022200867,"FEB 13, 2023",POR vs. LAL,W,34,13,23,0.565,8,14,0.571,6,7,0.857,0,6,6,5,0,1,3,1,40,11,1
22022,203081,0022200843,"FEB 10, 2023",POR vs. OKC,L,36,10,18,0.556,6,13,0.462,12,13,0.923,1,1,2,9,1,0,6,3,38,-21,1
22022,203081,0022200830,"FEB 08, 2023",POR vs. GSW,W,40,8,21,0.381,1,7,0.143,16,16,1.0,3,7,10,11,1,0,5,1,33,2,1
22022,203081,0022200815,"FEB 06, 2023",POR vs. MIL,L,32,7,18,0.389,2,7,0.286,12,12,1.0,0,4,4,5,1,0,1,2,28,-10,1
22022,203081,0022200796,"FEB 04, 2023",POR @ CHI,L,41,12,21,0.571,5,12,0.417,11,11,1.0,1,4,5,5,1,0,3,3,40,2,1
22022,203081,0022200787,"FEB 03, 2023",POR @ WAS,W,40,9,20,0.45,3,10,0.3,8,8,1.0,0,3,3,6,0,0,2,1,29,5,1
22022,203081,0022200771,"FEB 01, 2023",POR @ MEM,W,40,11,22,0.5,5,13,0.385,15,16,0.938,1,7,8,10,0,1,2,2,42,6,1
22022,203081,0022200763,"JAN 30, 2023",POR vs. ATL,W,38,10,21,0.476,5,12,0.417,17,17,1.0,1,1,2,6,0,0,0,3,42,6,1
22022,203081,0022200751,"JAN 28, 2023",POR vs. TOR,L,37,10,20,0.5,2,9,0.222,8,9,0.889,1,3,4,3,0,0,4,4,30,-24,1
22022,203081,0022200727,"JAN 25, 2023",POR vs. UTA,W,40,21,29,0.724,9,15,0.6,9,10,0.9,0,7,7,8,3,0,4,1,60,11,1
22022,203081,0022200711,"JAN 23, 2023",POR vs. SAS,W,31,12,19,0.632,7,11,0.636,6,6,1.0,0,1,1,12,1,0,3,2,37,6,1
22022,203081,0022200705,"JAN 22, 2023",POR vs. LAL,L,40,5,17,0.294,3,13,0.231,11,13,0.846,1,5,6,10,0,0,1,2,24,-13,1
22022,203081,0022200682,"JAN 19, 2023",POR vs. PHI,L,40,6,21,0.286,3,13,0.231,10,10,1.0,1,5,6,11,2,2,6,1,25,-4,1
22022,203081,0022200667,"JAN 17, 2023",POR @ DEN,L,34,12,20,0.6,6,12,0.5,14,14,1.0,0,3,3,8,0,0,2,4,44,-20,1
22022,203081,0022200654,"JAN 15, 2023",POR vs. DAL,W,37,10,17,0.588,4,9,0.444,16,16,1.0,0,3,3,6,1,0,1,1,40,25,1
22022,203081,0022200647,"JAN 14, 2023",POR vs. DAL,W,29,11,20,0.55,4,11,0.364,10,10,1.0,0,5,5,10,0,0,1,2,36,12,1
22022,203081,0022200631,"JAN 12, 2023",POR vs. CLE,L,40,16,28,0.571,5,13,0.385,13,15,0.867,0,2,2,3,1,0,1,1,50,-2,1
22022,203081,0022200616,"JAN 10, 2023",POR vs. ORL,L,39,12,25,0.48,2,12,0.167,4,4,1.0,1,3,4,5,1,0,3,0,30,-13,1
22022,203081,0022200597,"JAN 08, 2023",POR @ TOR,L,41,11,23,0.478,3,7,0.429,9,12,0.75,1,3,4,8,2,1,7,2,34,4,1
22022,203081,0022200580,"JAN 06, 2023",POR @ IND,L,36,7,24,0.292,1,8,0.125,4,5,0.8,0,2,2,8,0,0,2,3,19,-3,1
22022,203081,0022200571,"JAN 04, 2023",POR @ MIN,L,41,7,18,0.389,2,9,0.222,11,15,0.733,0,4,4,6,0,0,2,2,27,0,1
22022,203081,0022200559,"JAN 02, 2023",POR vs. DET,W,29,7,14,0.5,3,6,0.5,2,3,0.667,0,5,5,10,4,2,2,2,19,28,1
22022,203081,0022200536,"DEC 30, 2022",POR @ GSW,L,42,12,29,0.414,4,15,0.267,6,7,0.857,2,6,8,5,0,1,3,4,34,-5,1
22022,203081,0022200504,"DEC 26, 2022",POR vs. CHA,W,38,5,18,0.278,1,10,0.1,6,6,1.0,1,2,3,9,0,2,5,2,17,21,1
22022,203081,0022200489,"DEC 23, 2022",POR @ DEN,L,39,10,22,0.455,4,11,0.364,10,10,1.0,2,5,7,8,0,0,0,2,34,-3,1
22022,203081,0022200474,"DEC 21, 2022",POR @ OKC,L,36,6,19,0.316,2,11,0.182,2,2,1.0,0,2,2,8,2,0,4,2,16,-2,1
22022,203081,0022200458,"DEC 19, 2022",POR @ OKC,L,39,9,17,0.529,6,12,0.5,4,4,1.0,0,3,3,6,1,0,4,4,28,0,1
22022,203081,0022200441,"DEC 17, 2022",POR @ HOU,W,33,7,20,0.35,5,13,0.385,6,8,0.75,0,3,3,10,2,0,1,2,25,29,1
22022,203081,0022200436,"DEC 16, 2022",POR @ DAL,L,24,6,14,0.429,3,8,0.375,9,10,0.9,0,1,1,3,0,0,2,2,24,-14,1
22022,203081,0022200420,"DEC 14, 2022",POR @ SAS,W,36,14,23,0.609,7,14,0.5,2,2,1.0,0,5,5,8,2,0,5,1,37,7,1
22022,203081,0022200407,"DEC 12, 2022",POR vs. MIN,W,29,13,21,0.619,11,17,0.647,1,1,1.0,0,2,2,3,0,0,4,1,38,24,1
22022,203081,0022200394,"DEC 10, 2022",POR vs. MIN,W,41,9,22,0.409,3,11,0.273,15,15,1.0,0,3,3,8,2,0,5,1,36,4,1
22022,203081,0022200376,"DEC 08, 2022",POR vs. DEN,L,38,12,22,0.545,9,17,0.529,7,7,1.0,1,3,4,12,2,0,1,2,40,11,1
22022,203081,0022200351,"DEC 04, 2022",POR vs. IND,W,32,7,16,0.438,5,10,0.5,2,2,1.0,0,4,4,6,1,1,4,4,21,30,1
22022,203081,0022200238,"NOV 19, 2022",POR vs. UTA,L,27,2,14,0.143,1,12,0.083,8,9,0.889,0,2,2,7,0,0,2,2,13,-17,1
22022,203081,0022200221,"NOV 17, 2022",POR vs. BKN,L,38,8,24,0.333,3,12,0.25,6,6,1.0,1,2,3,11,1,0,2,2,25,-2,1
22022,203081,0022200209,"NOV 15, 2022",POR vs. SAS,W,40,8,20,0.4,2,9,0.222,4,5,0.8,0,2,2,11,0,1,4,2,22,15,1
22022,203081,0022200190,"NOV 12, 2022",POR @ DAL,L,38,6,16,0.375,2,7,0.286,15,17,0.882,2,5,7,12,1,0,5,1,29,-2,1
22022,203081,0022200159,"NOV 09, 2022",POR @ CHA,W,36,8,16,0.5,6,12,0.5,4,8,0.5,1,5,6,7,0,0,6,2,26,1,1
22022,203081,0022200150,"NOV 07, 2022",POR @ MIA,W,35,4,12,0.333,3,8,0.375,8,9,0.889,0,3,3,6,0,0,4,2,19,6,1
22022,203081,0022200065,"OCT 26, 2022",POR vs. MIA,L,26,6,13,0.462,4,11,0.364,6,6,1.0,0,2,2,2,1,0,4,0,22,-10,1
22022,203081,0022200051,"OCT 24, 2022",POR vs. DEN,W,35,10,16,0.625,4,7,0.571,7,8,0.875,1,5,6,8,1,0,1,2,31,24,1
22022,203081,0022200037,"OCT 23, 2022",POR @ LAL,W,34,15,25,0.6,6,13,0.462,5,7,0.714,1,4,5,2,0,1,6,3,41,2,1
22022,203081,0022200027,"OCT 21, 2022",POR vs. PHX,W,43,12,25,0.48,5,12,0.417,12,12,1.0,1,6,7,3,0,1,4,2,41,-2,1
22022,203081,0022200014,"OCT 19, 2022",POR @ SAC,W,37,5,18,0.278,1,8,0.125,9,9,1.0,3,1,4,8,2,0,4,0,20,-1,1
22021,203081,0022100538,"DEC 31, 2021",POR @ LAL,L,32,5,15,0.333,1,8,0.125,7,9,0.778,0,4,4,7,0,0,3,2,18,-17,1
22021,203081,0022100523,"DEC 29, 2021",POR vs. UTA,L,37,10,23,0.435,5,14,0.357,7,10,0.7,0,6,6,4,1,0,2,0,32,-22,1
22021,203081,0022100506,"DEC 27, 2021",POR vs. DAL,L,36,5,15,0.333,3,8,0.375,13,14,0.929,0,2,2,5,0,1,5,1,26,-28,1
22021,203081,0022100467,"DEC 21, 2021",POR @ NOP,L,40,13,24,0.542,6,11,0.545,7,8,0.875,0,2,2,7,1,0,1,0,39,2,1
22021,203081,0022100450,"DEC 19, 2021",POR @ MEM,W,38,9,19,0.474,3,9,0.333,11,12,0.917,0,5,5,5,0,0,5,3,32,-7,1
22021,203081,0022100439,"DEC 17, 2021",POR vs. CHA,W,37,12,19,0.632,6,11,0.545,13,14,0.929,1,3,4,8,1,0,3,1,43,13,1
22021,203081,0022100426,"DEC 15, 2021",POR vs. MEM,L,38,6,21,0.286,5,11,0.455,4,4,1.0,1,4,5,4,1,1,3,2,21,13,1
22021,203081,0022100416,"DEC 14, 2021",POR vs. PHX,L,47,11,31,0.355,5,16,0.313,4,5,0.8,0,2,2,10,0,1,4,0,31,0,2
22021,203081,0022100402,"DEC 12, 2021",POR vs. MIN,L,37,5,17,0.294,3,14,0.214,11,15,0.733,3,8,11,6,0,0,5,0,24,-8,1
22021,203081,0022100312,"NOV 29, 2021",POR @ UTA,L,31,4,12,0.333,1,4,0.25,2,2,1.0,0,6,6,5,0,1,2,0,11,-11,1
22021,203081,0022100290,"NOV 26, 2021",POR @ GSW,L,38,5,15,0.333,2,7,0.286,4,4,1.0,0,0,0,6,1,0,4,1,16,-12,1
22021,203081,0022100279,"NOV 24, 2021",POR @ SAC,L,40,7,18,0.389,3,12,0.25,15,16,0.938,2,4,6,10,0,0,2,3,32,-1,1
22021,203081,0022100265,"NOV 23, 2021",POR vs. DEN,W,31,9,13,0.692,5,8,0.625,2,2,1.0,0,3,3,5,1,0,1,1,25,13,1
22021,203081,0022100246,"NOV 20, 2021",POR vs. PHI,W,37,10,21,0.476,5,13,0.385,14,14,1.0,0,0,0,7,0,3,4,1,39,9,1
22021,203081,0022100223,"NOV 17, 2021",POR vs. CHI,W,40,6,18,0.333,3,9,0.333,7,7,1.0,0,4,4,10,1,1,4,1,22,15,1
22021,203081,0022100208,"NOV 15, 2021",POR vs. TOR,W,40,10,21,0.476,3,6,0.5,1,1,1.0,2,2,4,8,2,1,3,0,24,7,1
22021,203081,0022100177,"NOV 12, 2021",POR @ HOU,W,38,6,16,0.375,4,9,0.444,4,5,0.8,0,6,6,7,0,1,2,1,20,0,1
22021,203081,0022100168,"NOV 10, 2021",POR @ PHX,L,38,12,23,0.522,1,4,0.25,3,4,0.75,0,7,7,7,0,0,2,0,28,-13,1
22021,203081,0022100157,"NOV 09, 2021",POR @ LAC,L,39,11,23,0.478,4,13,0.308,1,1,1.0,1,4,5,6,0,0,2,0,27,-5,1
22021,203081,0022100138,"NOV 06, 2021",POR vs. LAL,W,31,9,19,0.474,6,14,0.429,1,2,0.5,0,3,3,6,2,0,3,3,25,29,1
22021,203081,0022100131,"NOV 05, 2021",POR vs. IND,W,38,2,13,0.154,0,6,0.0,0,0,0.0,0,4,4,11,1,1,2,1,4,-4,1
22021,203081,0022100108,"NOV 03, 2021",POR @ CLE,L,40,10,27,0.37,3,12,0.25,3,5,0.6,0,3,3,8,2,0,1,2,26,5,1
22021,203081,0022100096,"NOV 01, 2021",POR @ PHI,L,36,7,20,0.35,2,9,0.222,4,5,0.8,1,6,7,10,0,0,3,2,20,-14,1
22021,203081,0022100090,"OCT 31, 2021",POR @ CHA,L,38,5,20,0.25,2,14,0.143,2,2,1.0,0,4,4,12,0,0,2,3,14,-6,1
22021,203081,0022100076,"OCT 29, 2021",POR vs. LAC,W,34,9,17,0.529,5,7,0.714,2,2,1.0,1,3,4,6,1,0,6,3,25,9,1
22021,203081,0022100063,"OCT 27, 2021",POR vs. MEM,W,32,6,22,0.273,4,11,0.364,4,4,1.0,0,3,3,10,1,0,2,0,20,16,1
22021,203081,0022100049,"OCT 25, 2021",POR @ LAC,L,28,4,15,0.267,0,8,0.0,4,4,1.0,1,2,3,3,0,0,4,2,12,-22,1
22021,203081,0022100033,"OCT 23, 2021",POR vs. PHX,W,24,6,11,0.545,2,7,0.286,5,5,1.0,0,1,1,8,0,0,2,1,19,18,1
22021,203081,0022100013,"OCT 20, 2021",POR vs. SAC,L,40,8,24,0.333,0,9,0.0,4,5,0.8,0,6,6,11,1,0,1,3,20,-2,1
22020,203081,0022001076,"MAY 16, 2021",POR vs. DEN,W,31,7,13,0.538,5,9,0.556,3,3,1.0,0,3,3,10,0,0,4,2,22,24,1
22020,203081,0022001053,"MAY 13, 2021",POR @ PHX,L,43,16,23,0.696,2,6,0.333,7,8,0.875,0,5,5,5,1,0,3,0,41,-2,1
22020,203081,0022001045,"MAY 12, 2021",POR @ UTA,W,37,10,20,0.5,3,9,0.333,7,8,0.875,0,2,2,6,0,1,1,1,30,5,1
