SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631133,0022201230,"APR 09, 2023",POR vs. GSW,L,21,4,6,0.667,0,2,0.0,1,2,0.5,0,3,3,0,0,0,2,0,9,-29,1
22022,1631133,0022201215,"APR 08, 2023",POR @ LAC,L,22,2,6,0.333,0,2,0.0,3,4,0.75,2,3,5,1,0,0,1,3,7,-7,1
22022,1631133,0022201199,"APR 06, 2023",POR @ SAS,L,26,4,12,0.333,0,2,0.0,0,0,0.0,2,1,3,2,1,1,2,5,8,-10,1
22022,1631133,0022201184,"APR 04, 2023",POR @ MEM,L,20,6,11,0.545,3,5,0.6,1,2,0.5,1,5,6,1,0,0,2,4,16,-3,1
22022,1631133,0022201166,"APR 02, 2023",POR @ MIN,W,19,2,11,0.182,1,4,0.25,0,0,0.0,2,5,7,3,1,0,0,4,5,5,1
22022,1631133,0022201159,"MAR 31, 2023",POR vs. SAC,L,20,5,12,0.417,4,6,0.667,0,0,0.0,1,1,2,3,0,1,2,2,14,-8,1
22022,1631133,0022201145,"MAR 29, 2023",POR vs. SAC,L,27,5,9,0.556,1,3,0.333,1,1,1.0,0,5,5,1,0,0,0,2,12,-7,1
22022,1631133,0022201127,"MAR 27, 2023",POR vs. NOP,L,25,3,9,0.333,0,1,0.0,1,1,1.0,1,2,3,0,1,0,0,1,7,-17,1
22022,1631133,0022201120,"MAR 26, 2023",POR vs. OKC,L,15,0,2,0.0,0,1,0.0,2,2,1.0,2,0,2,0,1,1,0,2,2,-11,1
22022,1631133,0022201104,"MAR 24, 2023",POR vs. CHI,L,23,6,13,0.462,0,1,0.0,2,2,1.0,1,2,3,1,1,0,1,4,14,-15,1
22022,1631133,0022201053,"MAR 17, 2023",POR vs. BOS,L,8,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,3,1,0,1,1
22022,1631133,0022201034,"MAR 14, 2023",POR vs. NYK,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1,1
22022,1631133,0022201017,"MAR 12, 2023",POR @ NOP,L,12,1,4,0.25,1,1,1.0,2,2,1.0,2,2,4,0,1,1,1,0,5,19,1
22022,1631133,0022200986,"MAR 08, 2023",POR @ BOS,L,6,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,0,3,-1,1
