SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,201942,0022501141,"Apr 05, 2026",SAC vs. LAC,L,10,4,5,0.8,1,1,1.0,0,0,0.0,0,0,0,0,0,1,1,0,9,2,1
22025,201942,0022501128,"Apr 03, 2026",SAC vs. NOP,W,23,7,11,0.636,0,0,0.0,0,0,0.0,0,2,2,5,2,0,0,2,14,1,1
22025,201942,0022501108,"Apr 01, 2026",SAC @ TOR,W,35,7,18,0.389,2,4,0.5,12,12,1.0,1,0,1,4,0,0,1,2,28,2,1
22025,201942,0022501078,"Mar 28, 2026",SAC @ ATL,L,30,9,18,0.5,1,2,0.5,3,3,1.0,2,2,4,3,0,0,3,2,22,-7,1
22025,201942,0022501065,"Mar 26, 2026",SAC @ ORL,L,38,12,24,0.5,0,1,0.0,9,10,0.9,0,6,6,11,0,0,0,3,33,-5,1
22025,201942,0022501047,"Mar 24, 2026",SAC @ CHA,L,29,3,10,0.3,0,2,0.0,1,3,0.333,1,3,4,5,0,0,2,0,7,-29,1
22025,201942,0022501033,"Mar 22, 2026",SAC vs. BKN,W,32,3,7,0.429,0,2,0.0,4,4,1.0,0,0,0,8,0,1,2,2,10,0,1
22025,201942,0022501015,"Mar 19, 2026",SAC vs. PHI,L,23,6,10,0.6,0,1,0.0,1,2,0.5,1,2,3,5,0,0,2,2,13,-26,1
22025,201942,0022500998,"Mar 17, 2026",SAC vs. SAS,L,17,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,2,-30,1
22025,201942,0022500982,"Mar 15, 2026",SAC vs. UTA,W,38,11,21,0.524,1,3,0.333,18,21,0.857,1,3,4,11,3,0,5,0,41,16,1
22025,201942,0022500975,"Mar 14, 2026",SAC @ LAC,W,37,11,14,0.786,0,1,0.0,5,5,1.0,0,0,0,7,1,0,4,4,27,9,1
22025,201942,0022500951,"Mar 11, 2026",SAC vs. CHA,L,41,17,22,0.773,0,1,0.0,5,5,1.0,0,4,4,6,2,1,4,3,39,3,1
22025,201942,0022500945,"Mar 10, 2026",SAC vs. IND,W,24,4,13,0.308,0,0,0.0,4,4,1.0,1,2,3,1,1,2,2,2,12,-9,1
22025,201942,0022500907,"Mar 05, 2026",SAC vs. NOP,L,27,6,16,0.375,0,2,0.0,3,5,0.6,0,2,2,2,1,0,1,1,15,0,1
22025,201942,0022500892,"Mar 03, 2026",SAC vs. PHX,L,34,5,15,0.333,0,2,0.0,7,9,0.778,0,2,2,1,0,0,1,1,17,-14,1
22025,201942,0022500878,"Mar 01, 2026",SAC @ LAL,L,22,3,5,0.6,1,2,0.5,2,2,1.0,0,4,4,8,0,0,2,1,9,-9,1
22025,201942,0022500854,"Feb 26, 2026",SAC @ DAL,W,25,1,3,0.333,0,0,0.0,5,6,0.833,0,2,2,5,0,1,0,1,7,20,1
22025,201942,0022500845,"Feb 25, 2026",SAC @ HOU,L,24,4,7,0.571,0,0,0.0,7,8,0.875,0,1,1,7,1,0,1,2,15,-9,1
22025,201942,0022500829,"Feb 23, 2026",SAC @ MEM,W,29,7,9,0.778,0,0,0.0,5,6,0.833,0,2,2,4,2,2,0,2,19,1,1
22025,201942,0022500815,"Feb 21, 2026",SAC @ SAS,L,35,5,13,0.385,0,1,0.0,10,10,1.0,0,1,1,5,2,1,2,2,20,-31,1
22025,201942,0022500800,"Feb 19, 2026",SAC vs. ORL,L,19,3,11,0.273,0,0,0.0,7,8,0.875,0,3,3,6,0,0,0,1,13,-8,1
22025,201942,0022500786,"Feb 11, 2026",SAC @ UTA,L,29,7,19,0.368,1,5,0.2,5,5,1.0,2,1,3,1,0,0,0,1,20,-21,1
22025,201942,0022500766,"Feb 09, 2026",SAC @ NOP,L,20,3,11,0.273,0,2,0.0,2,3,0.667,0,1,1,1,0,0,1,2,8,-7,1
22025,201942,0022500756,"Feb 07, 2026",SAC vs. CLE,L,30,4,16,0.25,2,4,0.5,3,3,1.0,0,2,2,3,0,1,0,1,13,-8,1
22025,201942,0022500746,"Feb 06, 2026",SAC vs. LAC,L,20,1,3,0.333,0,0,0.0,3,4,0.75,1,4,5,1,2,1,1,1,5,-4,1
22025,201942,0022500731,"Feb 04, 2026",SAC vs. MEM,L,28,6,10,0.6,1,3,0.333,7,9,0.778,1,2,3,5,0,0,1,1,20,-4,1
22025,201942,0022500707,"Feb 01, 2026",SAC @ WAS,L,33,10,16,0.625,1,1,1.0,11,12,0.917,0,2,2,5,0,1,3,1,32,-14,1
22025,201942,0022500689,"Jan 30, 2026",SAC @ BOS,L,18,2,10,0.2,0,2,0.0,2,3,0.667,0,1,1,2,0,0,0,2,6,-11,1
22025,201942,0022500680,"Jan 29, 2026",SAC @ PHI,L,38,9,15,0.6,1,1,1.0,6,8,0.75,0,4,4,8,0,0,1,2,25,2,1
22025,201942,0022500665,"Jan 27, 2026",SAC @ NYK,L,39,13,26,0.5,1,7,0.143,7,8,0.875,0,5,5,0,0,0,2,3,34,-17,1
22025,201942,0022500650,"Jan 25, 2026",SAC @ DET,L,19,6,12,0.5,0,1,0.0,4,6,0.667,0,0,0,4,0,0,2,3,16,-9,1
