SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626168,0022201227,"APR 09, 2023",SAC @ DEN,L,20,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,0,0,0,2,1,2,-21,1
22022,1626168,0022201211,"APR 07, 2023",SAC vs. GSW,L,22,6,12,0.5,3,7,0.429,0,0,0.0,3,5,8,1,0,1,0,3,15,-2,1
22022,1626168,0022201195,"APR 05, 2023",SAC @ DAL,L,19,3,7,0.429,2,4,0.5,0,0,0.0,2,3,5,1,0,0,0,0,8,6,1
22022,1626168,0022201185,"APR 04, 2023",SAC @ NOP,W,13,0,4,0.0,0,4,0.0,0,0,0.0,0,3,3,0,0,0,0,3,0,14,1
22022,1626168,0022201170,"APR 02, 2023",SAC vs. SAS,L,12,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,1,1,2,1,2,3,6,1
22022,1626168,0022201159,"MAR 31, 2023",SAC @ POR,W,16,3,5,0.6,1,2,0.5,0,0,0.0,1,7,8,1,1,0,2,2,7,-1,1
22022,1626168,0022201145,"MAR 29, 2023",SAC @ POR,W,21,2,9,0.222,2,7,0.286,2,2,1.0,0,4,4,0,0,0,0,1,8,34,1
22022,1626168,0022201128,"MAR 27, 2023",SAC vs. MIN,L,22,1,6,0.167,0,2,0.0,3,4,0.75,4,7,11,0,2,0,3,2,5,6,1
22022,1626168,0022201111,"MAR 25, 2023",SAC vs. UTA,W,15,2,5,0.4,2,5,0.4,4,4,1.0,1,1,2,1,0,0,0,1,10,-10,1
22022,1626168,0022201105,"MAR 24, 2023",SAC vs. PHX,W,15,1,4,0.25,0,2,0.0,4,4,1.0,0,0,0,0,1,0,0,0,6,-9,1
22022,1626168,0022201081,"MAR 21, 2023",SAC vs. BOS,L,10,0,1,0.0,0,1,0.0,0,0,0.0,0,5,5,0,0,1,2,1,0,-4,1
22022,1626168,0022201076,"MAR 20, 2023",SAC @ UTA,L,26,1,6,0.167,1,4,0.25,0,0,0.0,0,3,3,2,0,0,1,1,3,-9,1
22022,1626168,0022201043,"MAR 16, 2023",SAC @ BKN,W,18,4,8,0.5,2,3,0.667,1,2,0.5,0,6,6,1,1,0,1,1,11,4,1
22022,1626168,0022201026,"MAR 13, 2023",SAC vs. MIL,L,26,2,7,0.286,2,6,0.333,0,0,0.0,1,6,7,4,0,0,0,2,6,6,1
22022,1626168,0022201013,"MAR 11, 2023",SAC @ PHX,W,21,4,8,0.5,3,5,0.6,2,2,1.0,1,3,4,1,0,0,2,1,13,16,1
22022,1626168,0022200997,"MAR 09, 2023",SAC vs. NYK,W,25,4,7,0.571,1,4,0.25,7,7,1.0,0,6,6,0,1,0,3,3,16,0,1
22022,1626168,0022200976,"MAR 06, 2023",SAC vs. NOP,W,18,6,9,0.667,1,4,0.25,1,2,0.5,0,5,5,4,0,0,1,2,14,17,1
22022,1626168,0022200961,"MAR 04, 2023",SAC vs. MIN,L,19,4,5,0.8,3,4,0.75,4,6,0.667,2,6,8,1,0,1,0,0,15,4,1
22022,1626168,0022200954,"MAR 03, 2023",SAC vs. LAC,W,22,3,5,0.6,2,4,0.5,2,2,1.0,1,7,8,1,0,1,1,4,10,10,1
22022,1626168,0022200928,"FEB 28, 2023",SAC @ OKC,W,13,3,7,0.429,1,4,0.25,2,4,0.5,2,3,5,0,0,1,2,3,9,-7,1
22022,1626168,0022200915,"FEB 26, 2023",SAC @ OKC,W,25,5,8,0.625,3,5,0.6,3,5,0.6,2,4,6,3,1,0,1,1,16,4,1
22022,1626168,0022200902,"FEB 24, 2023",SAC @ LAC,W,19,4,7,0.571,1,3,0.333,1,1,1.0,1,1,2,0,2,0,1,1,10,-10,1
22022,1626168,0022200894,"FEB 23, 2023",SAC vs. POR,W,21,3,6,0.5,1,4,0.25,0,0,0.0,1,4,5,2,0,0,0,2,7,20,1
22022,1626168,0022200870,"FEB 14, 2023",SAC @ PHX,L,18,1,7,0.143,0,2,0.0,2,2,1.0,2,5,7,0,0,0,1,1,4,-9,1
22022,1626168,0022200854,"FEB 11, 2023",SAC vs. DAL,W,25,5,7,0.714,1,2,0.5,3,3,1.0,1,5,6,3,0,0,2,1,14,14,1
22022,1626168,0022200844,"FEB 10, 2023",SAC vs. DAL,L,7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-13,1
22022,1626168,0022200827,"FEB 08, 2023",SAC @ HOU,W,16,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,1,0,2,0,-5,1
22022,1626168,0022200812,"FEB 06, 2023",SAC @ HOU,W,16,6,7,0.857,2,3,0.667,0,0,0.0,0,2,2,0,1,0,0,1,14,11,1
22022,1626168,0022200807,"FEB 05, 2023",SAC @ NOP,L,15,2,4,0.5,2,3,0.667,6,6,1.0,0,2,2,2,0,0,2,2,12,9,1
22022,1626168,0022200786,"FEB 03, 2023",SAC @ IND,L,20,3,9,0.333,1,4,0.25,0,0,0.0,3,1,4,1,0,0,2,2,7,-5,1
22022,1626168,0022200775,"FEB 01, 2023",SAC @ SAS,W,20,2,3,0.667,0,1,0.0,1,1,1.0,0,1,1,0,0,0,1,0,5,3,1
22022,1626168,0022200758,"JAN 30, 2023",SAC @ MIN,W,16,4,6,0.667,1,2,0.5,2,3,0.667,0,3,3,1,1,0,0,0,11,11,1
22022,1626168,0022200746,"JAN 28, 2023",SAC @ MIN,L,12,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,1,0,0,1,2,-5,1
22022,1626168,0022200728,"JAN 25, 2023",SAC vs. TOR,L,23,1,5,0.2,0,3,0.0,4,4,1.0,0,5,5,5,1,1,0,1,6,-14,1
22022,1626168,0022200712,"JAN 23, 2023",SAC vs. MEM,W,25,8,11,0.727,6,8,0.75,2,2,1.0,0,7,7,0,2,3,2,1,24,25,1
22022,1626168,0022200698,"JAN 21, 2023",SAC vs. PHI,L,11,1,3,0.333,0,1,0.0,0,2,0.0,0,1,1,0,0,0,0,1,2,-10,1
22022,1626168,0022200691,"JAN 20, 2023",SAC vs. OKC,W,14,2,9,0.222,1,5,0.2,2,2,1.0,1,4,5,0,0,0,0,0,7,-2,1
22022,1626168,0022200677,"JAN 18, 2023",SAC @ LAL,W,21,3,5,0.6,0,1,0.0,4,4,1.0,3,3,6,0,0,0,1,3,10,-6,1
22022,1626168,0022200652,"JAN 15, 2023",SAC @ SAS,W,22,4,4,1.0,1,1,1.0,3,3,1.0,0,2,2,0,0,1,0,2,12,-2,1
22022,1626168,0022200640,"JAN 13, 2023",SAC vs. HOU,W,30,6,9,0.667,1,3,0.333,0,0,0.0,0,5,5,2,2,2,1,3,13,23,1
22022,1626168,0022200625,"JAN 11, 2023",SAC vs. HOU,W,21,6,8,0.75,3,5,0.6,5,6,0.833,1,6,7,0,0,2,0,1,20,15,1
22022,1626168,0022200610,"JAN 09, 2023",SAC vs. ORL,W,16,4,8,0.5,3,5,0.6,3,4,0.75,0,5,5,2,0,0,0,1,14,9,1
22022,1626168,0022200595,"JAN 07, 2023",SAC vs. LAL,L,13,2,4,0.5,2,2,1.0,5,6,0.833,4,1,5,0,0,1,1,1,11,6,1
22022,1626168,0022200575,"JAN 04, 2023",SAC vs. ATL,L,14,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,2,2,-7,1
22022,1626168,0022200563,"JAN 03, 2023",SAC @ UTA,W,9,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,1,2,1,2,-12,1
22022,1626168,0022200547,"JAN 01, 2023",SAC @ MEM,L,18,2,7,0.286,1,5,0.2,2,2,1.0,2,3,5,2,0,2,1,2,7,-10,1
22022,1626168,0022200537,"DEC 30, 2022",SAC vs. UTA,W,19,2,6,0.333,1,4,0.25,0,0,0.0,2,6,8,1,0,2,0,2,5,0,1
22022,1626168,0022200522,"DEC 28, 2022",SAC vs. DEN,W,24,2,3,0.667,1,1,1.0,0,0,0.0,3,6,9,4,2,0,0,1,5,13,1
22022,1626168,0022200514,"DEC 27, 2022",SAC vs. DEN,L,24,4,10,0.4,1,6,0.167,2,2,1.0,1,9,10,1,0,0,3,1,11,-4,1
22022,1626168,0022200491,"DEC 23, 2022",SAC vs. WAS,L,23,6,6,1.0,2,2,1.0,0,1,0.0,1,3,4,1,1,1,2,1,14,8,1
22022,1626168,0022200475,"DEC 21, 2022",SAC vs. LAL,W,8,3,8,0.375,1,5,0.2,0,1,0.0,0,0,0,0,0,0,0,0,7,-4,1
22022,1626168,0022200460,"DEC 19, 2022",SAC vs. CHA,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-6,1
22022,1626168,0022200417,"DEC 14, 2022",SAC @ TOR,W,12,2,4,0.5,1,2,0.5,0,0,0.0,0,3,3,2,0,0,0,0,5,-9,1
22022,1626168,0022200409,"DEC 13, 2022",SAC @ PHI,L,17,1,4,0.25,0,2,0.0,0,0,0.0,1,5,6,0,0,0,0,1,2,0,1
22022,1626168,0022200397,"DEC 11, 2022",SAC @ NYK,L,9,3,6,0.5,1,2,0.5,1,1,1.0,2,1,3,0,0,0,1,1,8,-5,1
22022,1626168,0022200381,"DEC 09, 2022",SAC @ CLE,W,17,2,5,0.4,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,2,5,-3,1
22022,1626168,0022200369,"DEC 07, 2022",SAC @ MIL,L,7,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1
22022,1626168,0022200338,"DEC 03, 2022",SAC @ LAC,W,8,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,0,2,0,-2,1
22022,1626168,0022200275,"NOV 25, 2022",SAC @ BOS,L,8,1,1,1.0,1,1,1.0,3,4,0.75,1,1,2,0,0,0,2,0,6,4,1
22022,1626168,0022200263,"NOV 23, 2022",SAC @ ATL,L,20,4,7,0.571,1,3,0.333,3,3,1.0,5,2,7,2,1,1,2,4,12,-6,1
22022,1626168,0022200257,"NOV 22, 2022",SAC @ MEM,W,15,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,0,1,1,1,0,8,1
22022,1626168,0022200242,"NOV 20, 2022",SAC vs. DET,W,10,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,0,3,-4,1
22022,1626168,0022200222,"NOV 17, 2022",SAC vs. SAS,W,20,5,8,0.625,1,4,0.25,3,4,0.75,2,1,3,0,1,0,0,0,14,7,1
22022,1626168,0022200210,"NOV 15, 2022",SAC vs. BKN,W,18,4,13,0.308,3,8,0.375,1,2,0.5,4,1,5,0,0,0,2,1,12,-3,1
22022,1626168,0022200197,"NOV 13, 2022",SAC vs. GSW,W,5,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-9,1
