SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626224,0022201218,"APR 09, 2023",CLE vs. CHA,L,16,1,3,0.333,0,1,0.0,2,3,0.667,1,1,2,2,1,0,2,3,4,6,1
22022,1626224,0022201197,"APR 06, 2023",CLE @ ORL,W,22,7,11,0.636,4,6,0.667,1,1,1.0,0,5,5,4,0,0,1,0,19,15,1
22022,1626224,0022201178,"APR 04, 2023",CLE @ ORL,W,5,0,1,0.0,0,0,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,4,1
22022,1626224,0022201173,"APR 02, 2023",CLE vs. IND,W,9,1,3,0.333,1,2,0.5,1,2,0.5,0,0,0,1,0,0,0,0,4,-10,1
22022,1626224,0022201154,"MAR 31, 2023",CLE vs. NYK,L,21,4,9,0.444,4,8,0.5,2,2,1.0,1,0,1,2,0,1,1,3,14,2,1
22022,1626224,0022201131,"MAR 28, 2023",CLE @ ATL,L,12,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,0,1,0,1,2,3,-19,1
22022,1626224,0022201117,"MAR 26, 2023",CLE vs. HOU,W,17,2,10,0.2,1,6,0.167,0,0,0.0,0,2,2,0,0,0,0,2,5,1,1
22022,1626224,0022201094,"MAR 23, 2023",CLE @ BKN,W,22,3,7,0.429,1,5,0.2,1,2,0.5,0,2,2,0,0,1,0,3,8,-1,1
22022,1626224,0022201079,"MAR 21, 2023",CLE @ BKN,W,23,4,5,0.8,4,4,1.0,0,0,0.0,0,4,4,3,0,1,0,1,12,12,1
22022,1626224,0022201049,"MAR 17, 2023",CLE vs. WAS,W,18,2,3,0.667,1,1,1.0,0,0,0.0,0,3,3,4,2,0,1,3,5,21,1
22022,1626224,0022201035,"MAR 15, 2023",CLE vs. PHI,L,30,4,11,0.364,3,10,0.3,4,4,1.0,2,3,5,0,0,0,1,2,15,-2,1
22022,1626224,0022201027,"MAR 14, 2023",CLE @ CHA,W,31,8,14,0.571,6,10,0.6,2,2,1.0,0,2,2,3,0,0,0,3,24,11,1
22022,1626224,0022201015,"MAR 12, 2023",CLE @ CHA,W,8,1,3,0.333,1,1,1.0,0,0,0.0,3,1,4,0,0,0,0,0,3,-5,1
22022,1626224,0022201000,"MAR 10, 2023",CLE @ MIA,L,13,2,6,0.333,1,4,0.25,2,2,1.0,0,1,1,0,0,0,1,2,7,4,1
22022,1626224,0022200971,"MAR 06, 2023",CLE vs. BOS,W,18,2,4,0.5,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,2,6,-7,1
22022,1626224,0022200957,"MAR 04, 2023",CLE vs. DET,W,19,2,7,0.286,1,6,0.167,0,0,0.0,0,4,4,3,0,0,0,3,5,0,1
22022,1626224,0022200935,"MAR 01, 2023",CLE @ BOS,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
22022,1626224,0022200896,"FEB 24, 2023",CLE @ ATL,L,16,3,7,0.429,2,4,0.5,2,3,0.667,0,5,5,1,0,1,1,3,10,9,1
22022,1626224,0022200886,"FEB 23, 2023",CLE vs. DEN,L,27,2,8,0.25,1,6,0.167,0,2,0.0,1,1,2,3,0,0,1,1,5,1,1
22022,1626224,0022200858,"FEB 13, 2023",CLE vs. SAS,W,11,3,5,0.6,2,3,0.667,0,0,0.0,1,1,2,0,0,0,0,0,8,-6,1
22022,1626224,0022200852,"FEB 11, 2023",CLE vs. CHI,W,14,1,4,0.25,0,3,0.0,2,2,1.0,0,2,2,2,1,0,0,0,4,3,1
22022,1626224,0022200842,"FEB 10, 2023",CLE @ NOP,W,23,1,4,0.25,1,4,0.25,1,2,0.5,0,2,2,2,0,0,0,2,4,-3,1
22022,1626224,0022200822,"FEB 08, 2023",CLE vs. DET,W,23,3,13,0.231,0,6,0.0,0,0,0.0,0,4,4,3,0,0,0,0,6,8,1
22022,1626224,0022200809,"FEB 06, 2023",CLE @ WAS,W,14,1,5,0.2,1,3,0.333,0,0,0.0,1,1,2,3,1,1,0,1,3,8,1
22022,1626224,0022200803,"FEB 05, 2023",CLE @ IND,W,25,3,12,0.25,3,8,0.375,0,0,0.0,1,3,4,2,2,0,3,1,9,3,1
22022,1626224,0022200779,"FEB 02, 2023",CLE vs. MEM,W,32,7,11,0.636,4,8,0.5,3,5,0.6,0,0,0,4,2,1,1,2,21,20,1
22022,1626224,0022200764,"JAN 31, 2023",CLE vs. MIA,L,7,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22022,1626224,0022200754,"JAN 29, 2023",CLE vs. LAC,W,22,11,13,0.846,7,7,1.0,0,0,0.0,0,2,2,2,2,1,0,0,29,-8,1
22022,1626224,0022200739,"JAN 27, 2023",CLE @ OKC,L,13,2,5,0.4,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,1,5,0,1
22022,1626224,0022200733,"JAN 26, 2023",CLE @ HOU,W,24,4,10,0.4,1,6,0.167,1,1,1.0,0,2,2,1,1,0,1,3,10,-1,1
22022,1626224,0022200715,"JAN 24, 2023",CLE @ NYK,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1
22022,1626224,0022200695,"JAN 21, 2023",CLE vs. MIL,W,22,4,7,0.571,1,3,0.333,4,4,1.0,1,2,3,3,0,0,0,0,13,5,1
22022,1626224,0022200685,"JAN 20, 2023",CLE vs. GSW,L,25,5,9,0.556,3,5,0.6,0,0,0.0,0,3,3,2,1,0,1,0,13,1,1
22022,1626224,0022200672,"JAN 18, 2023",CLE @ MEM,L,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-11,1
22022,1626224,0022200658,"JAN 16, 2023",CLE vs. NOP,W,5,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,0,1
22022,1626224,0022200645,"JAN 14, 2023",CLE @ MIN,L,16,2,4,0.5,0,2,0.0,2,2,1.0,0,0,0,1,1,0,1,3,6,-5,1
22022,1626224,0022200631,"JAN 12, 2023",CLE @ POR,W,8,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,3,1
22022,1626224,0022200614,"JAN 10, 2023",CLE @ UTA,L,11,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-11,1
22022,1626224,0022200603,"JAN 08, 2023",CLE @ PHX,W,14,1,2,0.5,1,2,0.5,0,2,0.0,0,0,0,0,0,0,1,4,3,-6,1
22022,1626224,0022200588,"JAN 06, 2023",CLE @ DEN,L,28,6,10,0.6,3,6,0.5,0,0,0.0,0,1,1,2,2,0,0,2,15,-7,1
22022,1626224,0022200565,"JAN 04, 2023",CLE vs. PHX,W,33,4,12,0.333,2,6,0.333,2,4,0.5,1,2,3,1,1,0,1,0,12,11,1
22022,1626224,0022200552,"JAN 02, 2023",CLE vs. CHI,W,36,6,13,0.462,4,11,0.364,3,4,0.75,0,3,3,4,0,0,1,3,19,15,1
22022,1626224,0022200540,"DEC 31, 2022",CLE @ CHI,W,25,4,7,0.571,3,5,0.6,1,2,0.5,1,3,4,2,0,0,2,4,12,9,1
22022,1626224,0022200498,"DEC 26, 2022",CLE vs. BKN,L,30,5,10,0.5,1,6,0.167,0,0,0.0,0,0,0,2,1,0,0,5,11,10,1
22022,1626224,0022200484,"DEC 23, 2022",CLE vs. TOR,L,21,5,9,0.556,0,3,0.0,3,5,0.6,1,0,1,2,1,0,0,0,13,-3,1
22022,1626224,0022200466,"DEC 21, 2022",CLE vs. MIL,W,17,3,5,0.6,0,2,0.0,0,2,0.0,0,0,0,1,1,0,0,0,6,-5,1
22022,1626224,0022200452,"DEC 19, 2022",CLE vs. UTA,W,24,8,10,0.8,5,6,0.833,1,2,0.5,0,2,2,1,1,0,2,0,22,15,1
22022,1626224,0022200440,"DEC 17, 2022",CLE vs. DAL,W,17,3,8,0.375,1,3,0.333,0,0,0.0,1,1,2,0,0,0,0,2,7,1,1
22022,1626224,0022200431,"DEC 16, 2022",CLE vs. IND,W,21,4,7,0.571,1,3,0.333,5,5,1.0,0,1,1,2,1,0,0,2,14,0,1
22022,1626224,0022200406,"DEC 12, 2022",CLE @ SAS,L,7,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,-2,1
22022,1626224,0022200390,"DEC 10, 2022",CLE vs. OKC,W,26,3,10,0.3,0,4,0.0,2,2,1.0,1,4,5,1,0,0,1,1,8,-4,1
22022,1626224,0022200381,"DEC 09, 2022",CLE vs. SAC,L,35,7,14,0.5,3,8,0.375,0,2,0.0,0,4,4,1,3,1,1,4,17,-4,1
22022,1626224,0022200360,"DEC 06, 2022",CLE vs. LAL,W,23,3,10,0.3,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,0,6,-1,1
22022,1626224,0022200348,"DEC 04, 2022",CLE @ NYK,L,30,4,8,0.5,1,3,0.333,1,2,0.5,0,4,4,4,3,0,1,0,10,5,1
22022,1626224,0022200330,"DEC 02, 2022",CLE vs. ORL,W,20,2,5,0.4,1,4,0.25,0,0,0.0,0,2,2,2,0,0,0,1,5,12,1
22022,1626224,0022200312,"NOV 30, 2022",CLE vs. PHI,W,29,3,7,0.429,1,5,0.2,2,3,0.667,0,5,5,0,0,0,2,1,9,8,1
22022,1626224,0022200303,"NOV 28, 2022",CLE @ TOR,L,28,4,12,0.333,1,8,0.125,0,0,0.0,0,2,2,0,1,0,2,2,9,6,1
22022,1626224,0022200295,"NOV 27, 2022",CLE @ DET,W,27,4,8,0.5,1,4,0.25,1,1,1.0,0,3,3,0,0,1,3,2,10,12,1
22022,1626224,0022200280,"NOV 25, 2022",CLE @ MIL,L,32,3,8,0.375,2,5,0.4,0,0,0.0,0,4,4,2,3,0,1,1,8,-13,1
22022,1626224,0022200261,"NOV 23, 2022",CLE vs. POR,W,27,1,6,0.167,1,5,0.2,0,0,0.0,0,4,4,3,0,0,1,2,3,17,1
22022,1626224,0022200248,"NOV 21, 2022",CLE vs. ATL,W,29,8,10,0.8,3,4,0.75,4,5,0.8,0,3,3,0,0,0,1,4,23,7,1
22022,1626224,0022200244,"NOV 20, 2022",CLE vs. MIA,W,37,8,17,0.471,4,11,0.364,0,0,0.0,4,8,12,3,1,1,1,3,20,39,1
22022,1626224,0022200225,"NOV 18, 2022",CLE vs. CHA,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,2,1
22022,1626224,0022200216,"NOV 16, 2022",CLE @ MIL,L,13,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,4,-4,1
22022,1626224,0022200193,"NOV 13, 2022",CLE vs. MIN,L,28,4,10,0.4,2,4,0.5,4,6,0.667,0,4,4,2,0,0,1,4,14,-1,1
22022,1626224,0022200182,"NOV 11, 2022",CLE @ GSW,L,21,0,4,0.0,0,2,0.0,0,2,0.0,0,1,1,1,0,0,0,1,0,-9,1
22022,1626224,0022200171,"NOV 09, 2022",CLE @ SAC,L,15,3,4,0.75,1,1,1.0,0,0,0.0,0,3,3,2,0,0,1,1,7,1,1
22022,1626224,0022200158,"NOV 07, 2022",CLE @ LAC,L,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-5,1
22022,1626224,0022200140,"NOV 06, 2022",CLE @ LAL,W,19,3,5,0.6,1,3,0.333,2,2,1.0,0,1,1,1,0,0,0,1,9,19,1
22022,1626224,0022200120,"NOV 04, 2022",CLE @ DET,W,25,5,9,0.556,4,6,0.667,1,1,1.0,0,4,4,6,0,0,4,1,15,24,1
22022,1626224,0022200107,"NOV 02, 2022",CLE vs. BOS,W,13,0,3,0.0,0,3,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,2,1
22022,1626224,0022200090,"OCT 30, 2022",CLE vs. NYK,W,15,1,7,0.143,1,6,0.167,0,0,0.0,0,0,0,0,0,0,1,2,3,-4,1
22022,1626224,0022200072,"OCT 28, 2022",CLE @ BOS,W,22,1,6,0.167,1,5,0.2,1,2,0.5,1,1,2,1,0,0,1,4,4,-10,1
22022,1626224,0022200056,"OCT 26, 2022",CLE vs. ORL,W,31,5,12,0.417,1,5,0.2,3,5,0.6,2,5,7,3,0,1,1,2,14,5,1
22022,1626224,0022200039,"OCT 23, 2022",CLE vs. WAS,W,32,6,10,0.6,3,5,0.6,1,1,1.0,0,0,0,3,1,0,0,3,16,3,1
22022,1626224,0022200032,"OCT 22, 2022",CLE @ CHI,W,26,5,8,0.625,2,3,0.667,3,3,1.0,0,2,2,4,0,0,1,5,15,41,1
22022,1626224,0022200008,"OCT 19, 2022",CLE @ TOR,L,28,6,12,0.5,3,6,0.5,2,2,1.0,0,3,3,1,0,0,1,3,17,7,1
22021,1626224,0022101218,"APR 10, 2022",CLE vs. MIL,W,27,6,10,0.6,2,4,0.5,1,2,0.5,0,4,4,2,1,0,1,4,15,0,1
22021,1626224,0022101205,"APR 08, 2022",CLE @ BKN,L,26,3,6,0.5,1,4,0.25,2,2,1.0,0,2,2,2,0,0,0,2,9,6,1
22021,1626224,0022101179,"APR 05, 2022",CLE @ ORL,L,15,4,7,0.571,3,5,0.6,0,0,0.0,0,1,1,1,0,0,1,0,11,-7,1
22021,1626224,0022101170,"APR 03, 2022",CLE vs. PHI,L,7,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,2,1,0,1,1,3,5,1
22021,1626224,0022101162,"APR 02, 2022",CLE @ NYK,W,19,2,6,0.333,2,6,0.333,4,5,0.8,0,3,3,3,0,1,1,4,10,-1,1
22021,1626224,0022100452,"MAR 31, 2022",CLE @ ATL,L,27,7,10,0.7,3,6,0.5,4,6,0.667,3,3,6,4,0,1,3,3,21,-5,1
22021,1626224,0022101110,"MAR 26, 2022",CLE vs. CHI,L,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-8,1
22021,1626224,0022101095,"MAR 24, 2022",CLE @ TOR,L,11,1,5,0.2,0,3,0.0,2,2,1.0,1,0,1,1,0,0,1,2,4,-1,1
22021,1626224,0022101072,"MAR 21, 2022",CLE vs. LAL,L,18,2,7,0.286,1,6,0.167,0,0,0.0,0,1,1,0,1,0,0,1,5,-27,1
22021,1626224,0022101060,"MAR 19, 2022",CLE vs. DET,W,20,7,11,0.636,2,4,0.5,0,0,0.0,2,2,4,2,1,0,1,1,16,13,1
22021,1626224,0022101020,"MAR 14, 2022",CLE vs. LAC,W,8,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,1,0,0,0,0,0,-11,1
22021,1626224,0022101006,"MAR 12, 2022",CLE @ CHI,L,33,5,14,0.357,1,8,0.125,3,4,0.75,0,4,4,3,2,0,1,3,14,-18,1
