SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203476,0022201224,"APR 09, 2023",SAS @ DAL,W,23,4,8,0.5,2,6,0.333,3,4,0.75,1,9,10,4,0,1,3,2,13,11,1
22022,203476,0022201214,"APR 08, 2023",SAS vs. MIN,L,20,3,8,0.375,1,3,0.333,1,1,1.0,2,6,8,4,0,1,2,5,8,-10,1
22022,203476,0022201188,"APR 04, 2023",SAS @ PHX,L,21,2,6,0.333,0,3,0.0,0,0,0.0,0,4,4,2,0,1,0,4,4,-30,1
22022,203476,0022201158,"MAR 31, 2023",SAS @ GSW,L,17,5,7,0.714,4,5,0.8,0,0,0.0,0,10,10,2,0,0,3,3,14,-1,1
22022,203476,0022201116,"MAR 26, 2023",SAS @ BOS,L,7,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,-13,1
22022,203476,0022201089,"MAR 22, 2023",SAS @ MIL,L,19,2,3,0.667,2,3,0.667,1,2,0.5,1,5,6,4,0,1,4,3,7,-18,1
22022,203476,0022201080,"MAR 21, 2023",SAS @ NOP,L,16,2,6,0.333,0,2,0.0,0,0,0.0,1,3,4,1,0,0,0,4,4,-12,1
22022,203476,0022201052,"MAR 17, 2023",SAS vs. MEM,L,7,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,2,1,0,-16,1
22022,203476,0022201040,"MAR 15, 2023",SAS vs. DAL,L,16,1,5,0.2,0,2,0.0,0,0,0.0,3,2,5,3,0,2,0,4,2,-2,1
22022,203476,0022200967,"MAR 05, 2023",SAS @ HOU,L,12,2,5,0.4,0,3,0.0,0,0,0.0,1,1,2,1,1,1,2,2,4,-11,1
22022,203476,0022200909,"FEB 25, 2023",SAS @ UTA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1
22022,203476,0022200891,"FEB 23, 2023",SAS @ DAL,L,7,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-1,1
22022,203476,0022200850,"FEB 11, 2023",SAS @ ATL,L,9,1,3,0.333,1,3,0.333,0,0,0.0,1,1,2,0,1,0,0,0,3,5,1
22022,203476,0022200835,"FEB 10, 2023",SAS @ DET,L,18,1,3,0.333,1,2,0.5,2,2,1.0,1,2,3,1,0,0,2,4,5,-8,1
22022,203476,0022200735,"JAN 26, 2023",SAS @ LAC,L,7,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,-6,1
22022,203476,0022200729,"JAN 25, 2023",SAS @ LAL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22022,203476,0022200711,"JAN 23, 2023",SAS @ POR,L,6,1,2,0.5,0,1,0.0,0,0,0.0,2,2,4,0,0,0,2,0,2,2,1
22022,203476,0022200652,"JAN 15, 2023",SAS vs. SAC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,1
22022,203476,0022200555,"JAN 02, 2023",SAS @ BKN,L,10,2,4,0.5,1,2,0.5,0,0,0.0,2,1,3,4,0,1,0,1,5,-7,1
22022,203476,0022200420,"DEC 14, 2022",SAS vs. POR,L,24,2,7,0.286,1,4,0.25,0,0,0.0,3,5,8,3,0,0,1,3,5,4,1
22022,203476,0022200345,"DEC 04, 2022",SAS vs. PHX,L,13,2,5,0.4,1,4,0.25,0,0,0.0,0,4,4,1,0,0,3,2,5,-25,1
