SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1627751,0022201221,"APR 09, 2023",TOR vs. MIL,W,11,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,1,6,4,1
22022,1627751,0022201206,"APR 07, 2023",TOR @ BOS,L,21,1,3,0.333,0,0,0.0,1,2,0.5,2,5,7,0,1,0,0,3,3,-12,1
22022,1627751,0022201192,"APR 05, 2023",TOR @ BOS,L,23,5,8,0.625,0,0,0.0,0,2,0.0,3,4,7,2,1,0,2,2,10,10,1
22022,1627751,0022201176,"APR 04, 2023",TOR @ CHA,W,22,5,9,0.556,0,0,0.0,0,0,0.0,4,5,9,3,0,0,1,1,10,3,1
22022,1627751,0022201163,"APR 02, 2023",TOR @ CHA,W,30,8,12,0.667,0,0,0.0,0,0,0.0,4,5,9,3,1,4,1,3,16,16,1
22022,1627751,0022201150,"MAR 31, 2023",TOR @ PHI,L,33,6,8,0.75,0,0,0.0,2,4,0.5,4,6,10,2,0,0,2,2,14,-8,1
22022,1627751,0022201132,"MAR 28, 2023",TOR vs. MIA,W,23,1,5,0.2,0,0,0.0,0,0,0.0,3,7,10,1,0,1,0,4,2,15,1
22022,1627751,0022201119,"MAR 26, 2023",TOR vs. WAS,W,26,6,9,0.667,0,0,0.0,0,0,0.0,6,6,12,1,1,0,3,2,12,7,1
22022,1627751,0022201099,"MAR 24, 2023",TOR vs. DET,W,28,1,2,0.5,0,0,0.0,2,2,1.0,2,9,11,1,2,2,1,3,4,24,1
22022,1627751,0022201085,"MAR 22, 2023",TOR vs. IND,L,36,10,12,0.833,0,0,0.0,3,9,0.333,4,4,8,1,2,2,1,3,23,-13,1
22022,1627751,0022201068,"MAR 19, 2023",TOR @ MIL,L,31,10,18,0.556,0,0,0.0,0,0,0.0,1,5,6,0,0,2,1,5,20,-17,1
22022,1627751,0022201058,"MAR 18, 2023",TOR vs. MIN,W,25,7,8,0.875,0,0,0.0,0,0,0.0,4,7,11,2,0,0,2,5,14,12,1
22022,1627751,0022201044,"MAR 16, 2023",TOR vs. OKC,W,29,4,11,0.364,0,0,0.0,8,10,0.8,5,7,12,4,0,1,0,3,16,12,1
22022,1627751,0022201029,"MAR 14, 2023",TOR vs. DEN,W,27,5,6,0.833,0,0,0.0,2,2,1.0,3,8,11,5,1,2,1,4,12,30,1
22022,1627751,0022201003,"MAR 10, 2023",TOR @ LAL,L,33,8,17,0.471,0,0,0.0,1,2,0.5,4,6,10,4,3,1,0,2,17,5,1
22022,1627751,0022200991,"MAR 08, 2023",TOR @ LAC,L,30,4,8,0.5,0,0,0.0,0,0,0.0,4,7,11,2,0,2,3,2,8,-2,1
22022,1627751,0022200975,"MAR 06, 2023",TOR @ DEN,L,32,9,13,0.692,0,0,0.0,0,2,0.0,3,6,9,4,1,1,2,3,18,-4,1
22022,1627751,0022200956,"MAR 04, 2023",TOR @ WAS,W,24,6,8,0.75,0,0,0.0,2,3,0.667,1,4,5,0,1,0,2,4,14,0,1
22022,1627751,0022200942,"MAR 02, 2023",TOR @ WAS,L,32,8,9,0.889,0,0,0.0,7,7,1.0,4,9,13,4,3,2,1,3,23,9,1
22022,1627751,0022200925,"FEB 28, 2023",TOR vs. CHI,W,26,6,9,0.667,0,0,0.0,2,4,0.5,1,2,3,2,3,2,1,0,14,13,1
22022,1627751,0022200914,"FEB 26, 2023",TOR @ CLE,L,27,5,6,0.833,0,0,0.0,3,3,1.0,0,9,9,3,2,1,0,0,13,-16,1
22022,1627751,0022200903,"FEB 25, 2023",TOR @ DET,W,27,3,8,0.375,0,0,0.0,3,6,0.5,6,8,14,4,2,1,0,1,9,2,1
22022,1627751,0022200890,"FEB 23, 2023",TOR vs. NOP,W,30,9,11,0.818,0,0,0.0,3,7,0.429,7,11,18,2,3,1,0,5,21,4,1
22022,1627751,0022200868,"FEB 14, 2023",TOR vs. ORL,W,37,15,17,0.882,0,0,0.0,0,0,0.0,5,4,9,2,1,6,2,5,30,18,1
22022,1627751,0022200856,"FEB 12, 2023",TOR vs. DET,W,25,3,5,0.6,0,0,0.0,0,0,0.0,2,3,5,1,2,3,0,6,6,11,1
