SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630288,0022201176,"APR 04, 2023",TOR @ CHA,W,12,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,1,1,1,0,0,1,-2,1
22022,1630288,0022201163,"APR 02, 2023",TOR @ CHA,W,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,4,0,0,0,1,0,-3,1
22022,1630288,0022201150,"MAR 31, 2023",TOR @ PHI,L,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-13,1
22022,1630288,0022201132,"MAR 28, 2023",TOR vs. MIA,W,13,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,1,1,0,0,2,0,1
22022,1630288,0022201119,"MAR 26, 2023",TOR vs. WAS,W,19,1,2,0.5,1,1,1.0,0,0,0.0,0,2,2,4,0,0,0,0,3,14,1
22022,1630288,0022201099,"MAR 24, 2023",TOR vs. DET,W,29,3,7,0.429,1,2,0.5,2,3,0.667,0,3,3,4,3,0,0,2,9,10,1
22022,1630288,0022201085,"MAR 22, 2023",TOR vs. IND,L,6,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-5,1
22022,1630288,0022200914,"FEB 26, 2023",TOR @ CLE,L,18,3,7,0.429,1,1,1.0,0,0,0.0,0,1,1,2,0,0,2,1,7,-10,1
22022,1630288,0022200903,"FEB 25, 2023",TOR @ DET,W,20,2,5,0.4,0,2,0.0,0,1,0.0,0,1,1,0,1,0,0,1,4,0,1
22022,1630288,0022200890,"FEB 23, 2023",TOR vs. NOP,W,19,2,4,0.5,1,2,0.5,0,0,0.0,1,0,1,3,0,0,0,3,5,-1,1
22022,1630288,0022200868,"FEB 14, 2023",TOR vs. ORL,W,10,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,1,0,0,0,1
