SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,201567,0022501004,"Mar 18, 2026",UTA @ MIN,L,15,1,6,0.167,1,5,0.2,2,2,1.0,2,2,4,1,0,0,1,2,5,-4,1
22025,201567,0022500949,"Mar 11, 2026",UTA vs. NYK,L,10,2,4,0.5,2,3,0.667,0,0,0.0,1,5,6,2,1,0,1,0,6,13,1
22025,201567,0022500934,"Mar 09, 2026",UTA vs. GSW,W,15,3,4,0.75,3,3,1.0,3,3,1.0,1,7,8,1,1,0,0,0,12,6,1
22025,201567,0022500919,"Mar 07, 2026",UTA @ MIL,L,14,1,3,0.333,1,3,0.333,0,0,0.0,1,5,6,0,0,0,1,1,3,-8,1
22025,201567,0022500867,"Feb 28, 2026",UTA vs. NOP,L,9,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,2,1,0,0,1,3,-6,1
22025,201567,0022500856,"Feb 26, 2026",UTA vs. NOP,L,20,2,5,0.4,1,3,0.333,1,1,1.0,0,8,8,4,2,0,3,3,6,1,1
22025,201567,0022500830,"Feb 23, 2026",UTA @ HOU,L,24,2,8,0.25,1,6,0.167,0,0,0.0,2,7,9,5,0,1,0,0,5,4,1
22025,201567,0022500804,"Feb 20, 2026",UTA @ MEM,L,5,2,2,1.0,2,2,1.0,0,1,0.0,0,1,1,2,0,0,0,0,6,5,1
22025,201567,0022500786,"Feb 11, 2026",UTA vs. SAC,W,16,2,5,0.4,1,3,0.333,0,0,0.0,0,9,9,1,0,0,2,0,5,24,1
22025,201567,0022500750,"Feb 07, 2026",UTA @ ORL,L,12,3,3,1.0,3,3,1.0,4,4,1.0,2,4,6,0,0,0,0,0,13,7,1
22025,201567,0022500706,"Feb 01, 2026",UTA @ TOR,L,15,2,7,0.286,0,3,0.0,0,0,0.0,3,2,5,2,0,0,1,1,4,0,1
22025,201567,0022500670,"Jan 27, 2026",UTA vs. LAC,L,24,1,5,0.2,1,4,0.25,0,0,0.0,1,10,11,1,1,0,1,2,3,-20,1
22025,201567,0022500632,"Jan 22, 2026",UTA vs. SAS,L,13,2,3,0.667,1,1,1.0,0,0,0.0,0,4,4,1,0,1,1,1,5,4,1
22025,201567,0022500611,"Jan 19, 2026",UTA @ SAS,L,21,1,6,0.167,1,3,0.333,3,3,1.0,6,5,11,2,1,0,2,0,6,-4,1
22025,201567,0022500558,"Jan 12, 2026",UTA @ CLE,W,18,4,6,0.667,3,5,0.6,0,0,0.0,0,3,3,2,0,0,2,1,11,-2,1
22025,201567,0022500547,"Jan 10, 2026",UTA vs. CHA,L,15,1,5,0.2,0,2,0.0,0,0,0.0,3,2,5,0,0,0,1,1,2,-26,1
22025,201567,0022500531,"Jan 08, 2026",UTA vs. DAL,W,24,3,11,0.273,1,6,0.167,3,3,1.0,2,8,10,2,0,0,0,1,10,13,1
22025,201567,0022500492,"Jan 03, 2026",UTA @ GSW,L,24,2,6,0.333,1,4,0.25,0,0,0.0,1,9,10,5,0,0,1,1,5,-4,1
22025,201567,0022500430,"Dec 26, 2025",UTA vs. DET,W,16,3,7,0.429,3,5,0.6,5,5,1.0,2,3,5,3,1,1,1,2,14,-11,1
22025,201567,0022500419,"Dec 23, 2025",UTA vs. MEM,L,29,2,9,0.222,2,9,0.222,0,0,0.0,0,6,6,3,0,0,1,3,6,-3,1
22025,201567,0022500393,"Dec 20, 2025",UTA vs. ORL,L,32,6,12,0.5,4,7,0.571,0,1,0.0,7,9,16,1,1,1,0,5,16,4,1
22025,201567,0022500379,"Dec 18, 2025",UTA vs. LAL,L,16,1,5,0.2,1,5,0.2,2,3,0.667,0,2,2,1,0,0,0,3,5,-6,1
22025,201567,0022501213,"Dec 12, 2025",UTA @ MEM,W,20,8,15,0.533,4,10,0.4,0,0,0.0,3,5,8,1,1,0,0,3,20,6,1
22025,201567,0022500363,"Dec 07, 2025",UTA vs. OKC,L,16,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,2,0,0,1,1,0,-21,1
22025,201567,0022500343,"Dec 05, 2025",UTA @ NYK,L,17,2,5,0.4,2,4,0.5,1,2,0.5,1,1,2,1,1,0,0,2,7,-19,1
22025,201567,0022500316,"Dec 01, 2025",UTA vs. HOU,W,15,4,7,0.571,1,4,0.25,2,2,1.0,2,3,5,1,1,0,0,2,11,4,1
22025,201567,0022500077,"Nov 28, 2025",UTA vs. SAC,W,17,3,5,0.6,2,3,0.667,1,2,0.5,4,3,7,1,1,1,0,1,9,8,1
22025,201567,0022500282,"Nov 23, 2025",UTA vs. LAL,L,13,2,5,0.4,0,2,0.0,0,0,0.0,3,6,9,2,1,0,2,2,4,-7,1
22025,201567,0022500055,"Nov 21, 2025",UTA vs. OKC,L,13,4,6,0.667,4,5,0.8,0,0,0.0,1,0,1,0,0,1,1,5,12,-9,1
22025,201567,0022500253,"Nov 18, 2025",UTA @ LAL,L,14,0,2,0.0,0,2,0.0,0,0,0.0,1,3,4,0,0,1,0,2,0,-8,1
22025,201567,0022500240,"Nov 16, 2025",UTA vs. CHI,W,18,3,8,0.375,2,6,0.333,2,2,1.0,1,7,8,2,0,1,0,0,10,0,1
22025,201567,0022500227,"Nov 13, 2025",UTA vs. ATL,L,15,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,4,0,0,2,2,3,-2,1
22025,201567,0022500205,"Nov 10, 2025",UTA vs. MIN,L,17,3,6,0.5,2,5,0.4,2,2,1.0,0,3,3,1,0,1,1,2,10,1,1
22025,201567,0022500036,"Nov 07, 2025",UTA @ MIN,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-6,1
22025,201567,0022500172,"Nov 05, 2025",UTA @ DET,L,14,0,3,0.0,0,3,0.0,3,4,0.75,1,2,3,3,0,0,0,2,3,-10,1
22025,201567,0022500158,"Nov 03, 2025",UTA @ BOS,W,17,2,3,0.667,1,2,0.5,0,0,0.0,1,6,7,3,0,0,2,1,5,1,1
22025,201567,0022500150,"Nov 02, 2025",UTA @ CHA,L,14,0,2,0.0,0,2,0.0,3,4,0.75,2,3,5,5,0,0,2,1,3,-5,1
22024,201567,0022401015,"Mar 21, 2025",MIA vs. HOU,L,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1
22024,201567,0022400907,"Mar 07, 2025",MIA vs. MIN,L,10,2,4,0.5,2,3,0.667,0,0,0.0,1,1,2,1,0,0,0,1,6,-11,1
22024,201567,0022400893,"Mar 05, 2025",MIA @ CLE,L,16,3,8,0.375,1,4,0.25,3,4,0.75,3,3,6,1,1,2,1,2,10,-3,1
22024,201567,0022400877,"Mar 03, 2025",MIA vs. WAS,W,12,1,4,0.25,0,2,0.0,0,0,0.0,1,8,9,1,0,0,0,0,2,-4,1
22024,201567,0022400721,"Feb 05, 2025",MIA @ PHI,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-1,1
22024,201567,0022400652,"Jan 27, 2025",MIA vs. ORL,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22024,201567,0022400553,"Jan 13, 2025",MIA @ LAC,L,15,3,8,0.375,3,8,0.375,0,0,0.0,0,3,3,0,1,0,0,2,9,3,1
