SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628374,0022201164,"APR 02, 2023",UTA @ BKN,L,35,8,21,0.381,1,8,0.125,6,6,1.0,2,7,9,2,2,0,2,3,23,11,1
22022,1628374,0022201125,"MAR 27, 2023",UTA vs. PHX,L,36,6,22,0.273,2,10,0.2,11,12,0.917,3,6,9,2,0,0,1,1,25,-4,1
22022,1628374,0022201091,"MAR 22, 2023",UTA vs. POR,L,33,14,23,0.609,4,12,0.333,8,9,0.889,1,11,12,3,0,0,4,2,40,-16,1
22022,1628374,0022201062,"MAR 18, 2023",UTA vs. BOS,W,35,10,23,0.435,4,12,0.333,4,4,1.0,2,8,10,3,0,0,0,3,28,7,1
22022,1628374,0022201022,"MAR 13, 2023",UTA @ MIA,L,37,14,26,0.538,6,12,0.5,4,6,0.667,5,3,8,1,3,1,2,1,38,1,1
22022,1628374,0022201005,"MAR 11, 2023",UTA @ CHA,W,36,3,22,0.136,1,9,0.111,6,6,1.0,4,9,13,3,0,0,1,1,13,17,1
22022,1628374,0022200994,"MAR 09, 2023",UTA @ ORL,W,34,11,22,0.5,3,9,0.333,6,6,1.0,1,4,5,2,0,1,2,2,31,13,1
22022,1628374,0022200983,"MAR 07, 2023",UTA @ DAL,L,39,12,20,0.6,5,9,0.556,4,7,0.571,2,4,6,2,2,1,2,4,33,-9,1
22022,1628374,0022200951,"MAR 03, 2023",UTA @ OKC,L,30,6,14,0.429,0,5,0.0,8,11,0.727,4,6,10,2,0,1,6,3,20,-26,1
22022,1628374,0022200930,"FEB 28, 2023",UTA vs. SAS,L,35,9,21,0.429,4,8,0.5,6,8,0.75,3,7,10,1,1,0,3,1,28,5,1
22022,1628374,0022200909,"FEB 25, 2023",UTA vs. SAS,W,32,9,17,0.529,3,7,0.429,6,6,1.0,1,3,4,2,0,0,2,1,27,7,1
22022,1628374,0022200892,"FEB 23, 2023",UTA vs. OKC,W,40,15,28,0.536,3,12,0.25,10,10,1.0,5,5,10,2,0,0,4,3,43,14,1
22022,1628374,0022200859,"FEB 13, 2023",UTA @ IND,W,37,10,20,0.5,2,9,0.222,7,7,1.0,1,10,11,2,0,0,3,1,29,3,1
22022,1628374,0022200851,"FEB 11, 2023",UTA @ NYK,L,35,9,23,0.391,3,10,0.3,8,10,0.8,4,1,5,3,0,3,0,1,29,1,1
22022,1628374,0022200839,"FEB 10, 2023",UTA @ TOR,W,38,9,20,0.45,2,7,0.286,3,3,1.0,2,7,9,5,1,0,3,3,23,12,1
22022,1628374,0022200828,"FEB 08, 2023",UTA vs. MIN,L,23,8,16,0.5,3,7,0.429,2,2,1.0,1,4,5,3,0,0,2,2,21,-32,1
22022,1628374,0022200813,"FEB 06, 2023",UTA vs. DAL,L,36,9,17,0.529,1,7,0.143,0,0,0.0,1,6,7,0,2,1,2,6,19,-23,1
22022,1628374,0022200792,"FEB 03, 2023",UTA vs. ATL,L,37,8,19,0.421,3,11,0.273,6,7,0.857,4,6,10,1,0,0,0,1,25,3,1
22022,1628374,0022200776,"FEB 01, 2023",UTA vs. TOR,W,36,7,13,0.538,4,9,0.444,10,10,1.0,2,11,13,1,1,1,4,3,28,-1,1
