SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203488,0022201216,"APR 09, 2023",BOS vs. ATL,W,33,9,13,0.692,4,7,0.571,5,7,0.714,4,4,8,2,0,0,2,3,27,13,1
22022,203488,0022201206,"APR 07, 2023",BOS vs. TOR,W,22,4,8,0.5,1,5,0.2,2,2,1.0,3,4,7,1,0,0,0,0,11,4,1
22022,203488,0022201192,"APR 05, 2023",BOS vs. TOR,W,32,4,6,0.667,3,5,0.6,1,2,0.5,0,6,6,2,0,1,1,3,12,-5,1
22022,203488,0022201181,"APR 04, 2023",BOS @ PHI,L,13,0,1,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,6,1
22022,203488,0022201152,"MAR 31, 2023",BOS vs. UTA,W,12,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,5,1
22022,203488,0022201146,"MAR 30, 2023",BOS @ MIL,W,7,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-5,1
22022,203488,0022201130,"MAR 28, 2023",BOS @ WAS,L,9,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,3,1
22022,203488,0022201116,"MAR 26, 2023",BOS vs. SAS,W,12,3,4,0.75,3,4,0.75,0,0,0.0,1,2,3,1,0,0,0,1,9,16,1
22022,203488,0022201097,"MAR 24, 2023",BOS vs. IND,W,5,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,1,0,1,0,3,1
22022,203488,0022201081,"MAR 21, 2023",BOS @ SAC,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1,1
22022,203488,0022201062,"MAR 18, 2023",BOS @ UTA,L,22,3,5,0.6,2,3,0.667,0,0,0.0,0,6,6,1,0,0,0,1,8,5,1
22022,203488,0022200986,"MAR 08, 2023",BOS vs. POR,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,5,1
22022,203488,0022200971,"MAR 06, 2023",BOS @ CLE,L,35,2,6,0.333,1,5,0.2,0,0,0.0,1,5,6,0,2,1,0,2,5,9,1
22022,203488,0022200969,"MAR 05, 2023",BOS vs. NYK,L,12,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,0,1,0,2,3,3,-9,1
22022,203488,0022200948,"MAR 03, 2023",BOS vs. BKN,L,4,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,0,0,1,1
22022,203488,0022200935,"MAR 01, 2023",BOS vs. CLE,W,11,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-2,1
22022,203488,0022200921,"FEB 27, 2023",BOS @ NYK,L,11,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,2,3,0,1
22022,203488,0022200869,"FEB 14, 2023",BOS @ MIL,L,44,7,16,0.438,3,10,0.3,1,2,0.5,0,8,8,0,1,0,1,3,18,-4,1
22022,203488,0022200855,"FEB 12, 2023",BOS vs. MEM,W,17,4,7,0.571,2,5,0.4,0,0,0.0,1,4,5,0,0,0,1,2,10,2,1
22022,203488,0022200838,"FEB 10, 2023",BOS vs. CHA,W,16,4,8,0.5,4,8,0.5,0,0,0.0,0,1,1,2,0,1,0,1,12,5,1
22022,203488,0022200821,"FEB 07, 2023",OKC @ LAL,W,17,6,10,0.6,4,7,0.571,0,0,0.0,0,4,4,2,1,0,0,1,16,1,1
22022,203488,0022200814,"FEB 06, 2023",OKC @ GSW,L,15,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,3,0,1,0,1,0,-4,1
22022,203488,0022200799,"FEB 04, 2023",OKC vs. HOU,W,18,7,10,0.7,5,8,0.625,0,0,0.0,1,5,6,0,0,0,0,1,19,19,1
