SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,204001,0022201130,"MAR 28, 2023",WAS vs. BOS,W,34,14,21,0.667,3,5,0.6,1,1,1.0,2,11,13,6,1,1,0,1,32,26,1
22022,204001,0022201119,"MAR 26, 2023",WAS @ TOR,L,34,9,17,0.529,4,7,0.571,4,5,0.8,1,5,6,2,2,0,3,2,26,1,1
22022,204001,0022201098,"MAR 24, 2023",WAS vs. SAS,W,28,7,11,0.636,2,3,0.667,7,7,1.0,1,8,9,5,0,3,1,0,23,10,1
22022,204001,0022201083,"MAR 22, 2023",WAS vs. DEN,L,22,11,17,0.647,1,3,0.333,2,2,1.0,0,3,3,2,0,0,1,3,25,-18,1
22022,204001,0022201077,"MAR 21, 2023",WAS @ ORL,L,38,12,22,0.545,3,7,0.429,3,3,1.0,1,5,6,3,1,2,2,3,30,6,1
22022,204001,0022201049,"MAR 17, 2023",WAS @ CLE,L,32,7,16,0.438,1,5,0.2,5,5,1.0,0,9,9,3,2,2,4,1,20,-8,1
22022,204001,0022201028,"MAR 14, 2023",WAS vs. DET,W,31,5,15,0.333,0,6,0.0,8,8,1.0,1,6,7,4,3,4,1,2,18,6,1
22022,204001,0022201016,"MAR 12, 2023",WAS @ PHI,L,25,4,15,0.267,0,3,0.0,1,2,0.5,1,5,6,1,1,2,1,4,9,-23,1
22022,204001,0022200999,"MAR 10, 2023",WAS vs. ATL,L,32,8,18,0.444,3,7,0.429,3,5,0.6,0,9,9,0,1,2,2,4,22,2,1
22022,204001,0022200985,"MAR 08, 2023",WAS vs. ATL,L,38,17,22,0.773,7,10,0.7,2,3,0.667,0,5,5,5,0,0,1,5,43,8,1
22022,204001,0022200769,"MAR 07, 2023",WAS @ DET,W,32,8,15,0.533,3,7,0.429,5,6,0.833,4,3,7,2,0,0,1,6,24,4,1
22022,204001,0022200973,"MAR 05, 2023",WAS vs. MIL,L,36,11,29,0.379,1,8,0.125,1,1,1.0,5,8,13,5,0,2,1,4,24,11,1
22022,204001,0022200956,"MAR 04, 2023",WAS vs. TOR,L,40,9,14,0.643,2,2,1.0,2,3,0.667,1,10,11,4,2,2,3,1,22,4,1
22022,204001,0022200942,"MAR 02, 2023",WAS vs. TOR,W,36,8,12,0.667,2,4,0.5,7,7,1.0,1,4,5,2,1,2,4,4,25,7,1
22022,204001,0022200895,"FEB 24, 2023",WAS vs. NYK,L,35,5,10,0.5,5,9,0.556,8,8,1.0,1,5,6,3,0,2,3,2,23,-16,1
22022,204001,0022200884,"FEB 16, 2023",WAS @ MIN,W,32,4,12,0.333,1,3,0.333,5,7,0.714,0,5,5,2,2,2,0,3,14,-2,1
22022,204001,0022200872,"FEB 14, 2023",WAS @ POR,W,30,10,15,0.667,1,3,0.333,7,7,1.0,3,9,12,5,0,1,4,5,28,14,1
22022,204001,0022200866,"FEB 13, 2023",WAS @ GSW,L,36,12,16,0.75,2,3,0.667,8,8,1.0,1,6,7,2,1,0,4,1,34,-14,1
22022,204001,0022200849,"FEB 11, 2023",WAS vs. IND,W,32,4,8,0.5,1,3,0.333,8,8,1.0,4,6,10,5,0,1,0,2,17,14,1
22022,204001,0022200823,"FEB 08, 2023",WAS vs. CHA,W,35,13,22,0.591,8,14,0.571,2,3,0.667,2,7,9,2,0,2,1,2,36,12,1
22022,204001,0022200809,"FEB 06, 2023",WAS vs. CLE,L,26,7,13,0.538,1,6,0.167,3,3,1.0,1,6,7,1,0,1,2,3,18,-21,1
22022,204001,0022200793,"FEB 04, 2023",WAS @ BKN,L,33,11,20,0.55,4,5,0.8,12,13,0.923,1,4,5,2,0,2,5,6,38,3,1
22022,204001,0022200787,"FEB 03, 2023",WAS vs. POR,L,35,9,15,0.6,3,6,0.5,11,12,0.917,0,8,8,4,0,1,1,5,32,1,1
22022,204001,0022200760,"JAN 30, 2023",WAS @ SAS,W,30,7,13,0.538,1,3,0.333,2,2,1.0,1,8,9,7,3,5,2,5,17,9,1
22022,204001,0022200693,"JAN 21, 2023",WAS vs. ORL,W,23,3,10,0.3,1,3,0.333,10,10,1.0,1,5,6,0,0,1,2,2,17,5,1
22022,204001,0022200669,"JAN 18, 2023",WAS @ NYK,W,33,6,17,0.353,4,9,0.444,6,6,1.0,5,6,11,5,0,2,3,6,22,8,1
22022,204001,0022200660,"JAN 16, 2023",WAS vs. GSW,L,37,9,15,0.6,3,7,0.429,11,12,0.917,0,5,5,3,1,2,1,3,32,-17,1
22022,204001,0022200634,"JAN 13, 2023",WAS vs. NYK,L,35,6,19,0.316,4,8,0.5,5,6,0.833,1,3,4,1,0,0,2,4,21,-4,1
22022,204001,0022200605,"JAN 09, 2023",WAS vs. NOP,L,34,8,16,0.5,3,5,0.6,4,4,1.0,3,7,10,1,0,0,1,0,23,-2,1
22022,204001,0022200584,"JAN 06, 2023",WAS @ OKC,L,25,3,11,0.273,0,2,0.0,8,10,0.8,3,7,10,0,0,0,3,0,14,-17,1
22022,204001,0022200561,"JAN 03, 2023",WAS @ MIL,L,35,7,13,0.538,2,5,0.4,6,6,1.0,1,8,9,4,1,1,3,5,22,-15,1
22022,204001,0022200548,"JAN 01, 2023",WAS @ MIL,W,29,9,16,0.563,0,5,0.0,4,4,1.0,1,4,5,0,2,2,2,3,22,13,1
22022,204001,0022200529,"DEC 30, 2022",WAS @ ORL,W,35,9,13,0.692,3,6,0.5,9,11,0.818,2,11,13,2,1,4,5,4,30,32,1
22022,204001,0022200516,"DEC 28, 2022",WAS vs. PHX,W,34,8,15,0.533,2,6,0.333,4,4,1.0,1,5,6,2,1,1,3,2,22,23,1
22022,204001,0022200506,"DEC 27, 2022",WAS vs. PHI,W,35,7,15,0.467,3,5,0.6,7,9,0.778,3,7,10,1,2,3,2,2,24,14,1
22022,204001,0022200491,"DEC 23, 2022",WAS @ SAC,W,34,2,11,0.182,0,3,0.0,3,5,0.6,2,11,13,1,1,2,0,3,7,9,1
22022,204001,0022200451,"DEC 18, 2022",WAS @ LAL,L,38,7,18,0.389,2,9,0.222,5,7,0.714,4,7,11,5,2,1,2,2,21,5,1
22022,204001,0022200438,"DEC 17, 2022",WAS @ LAC,L,35,8,19,0.421,0,3,0.0,3,4,0.75,1,6,7,2,4,0,2,2,19,-9,1
22022,204001,0022200403,"DEC 12, 2022",WAS vs. BKN,L,24,7,11,0.636,0,1,0.0,6,6,1.0,0,3,3,1,2,1,5,2,20,-22,1
22022,204001,0022200389,"DEC 10, 2022",WAS vs. LAC,L,37,8,20,0.4,2,4,0.5,12,13,0.923,0,15,15,5,0,2,3,3,30,6,1
22022,204001,0022200378,"DEC 09, 2022",WAS @ IND,L,35,11,13,0.846,1,2,0.5,6,8,0.75,2,7,9,2,0,2,4,1,29,-7,1
22022,204001,0022200367,"DEC 07, 2022",WAS @ CHI,L,35,8,17,0.471,0,6,0.0,12,16,0.75,1,8,9,4,2,2,5,4,28,-14,1
22022,204001,0022200349,"DEC 04, 2022",WAS vs. LAL,L,34,11,25,0.44,1,6,0.167,4,6,0.667,1,8,9,3,2,1,0,2,27,-7,1
22022,204001,0022200326,"DEC 02, 2022",WAS @ CHA,L,36,5,14,0.357,0,6,0.0,11,13,0.846,4,7,11,3,1,1,4,3,21,0,1
22022,204001,0022200315,"NOV 30, 2022",WAS @ BKN,L,38,8,14,0.571,2,3,0.667,9,14,0.643,4,15,19,0,1,2,2,2,27,-3,1
22022,204001,0022200300,"NOV 28, 2022",WAS vs. MIN,W,31,12,18,0.667,6,10,0.6,11,11,1.0,2,2,4,3,2,3,1,3,41,13,1
22022,204001,0022200294,"NOV 27, 2022",WAS @ BOS,L,26,7,11,0.636,0,1,0.0,7,8,0.875,0,4,4,2,0,0,1,2,21,-23,1
22022,204001,0022200277,"NOV 25, 2022",WAS @ MIA,L,36,7,18,0.389,1,4,0.25,3,3,1.0,2,5,7,1,0,2,1,3,18,-6,1
22022,204001,0022200265,"NOV 23, 2022",WAS @ MIA,L,33,8,19,0.421,2,9,0.222,3,6,0.5,1,8,9,4,0,0,3,5,21,-3,1
22022,204001,0022200241,"NOV 20, 2022",WAS vs. CHA,W,34,4,19,0.211,2,8,0.25,2,2,1.0,4,4,8,2,1,5,4,5,12,5,1
22022,204001,0022200224,"NOV 18, 2022",WAS vs. MIA,W,39,7,20,0.35,1,6,0.167,5,7,0.714,2,15,17,5,1,2,1,5,20,-2,1
22022,204001,0022200213,"NOV 16, 2022",WAS vs. OKC,L,36,8,15,0.533,4,7,0.571,7,9,0.778,2,7,9,4,1,1,2,1,27,16,1
22022,204001,0022200194,"NOV 13, 2022",WAS vs. MEM,W,31,7,15,0.467,6,10,0.6,5,6,0.833,3,3,6,2,2,2,2,4,25,10,1
22022,204001,0022200185,"NOV 12, 2022",WAS vs. UTA,W,33,12,20,0.6,4,8,0.5,3,5,0.6,1,9,10,2,1,2,1,0,31,24,1
22022,204001,0022200144,"NOV 07, 2022",WAS @ CHA,W,31,6,14,0.429,1,6,0.167,6,8,0.75,1,7,8,5,0,1,1,4,19,3,1
22022,204001,0022200142,"NOV 06, 2022",WAS @ MEM,L,31,3,13,0.231,1,6,0.167,3,4,0.75,1,3,4,3,1,3,4,5,10,2,1
22022,204001,0022200123,"NOV 04, 2022",WAS vs. BKN,L,26,4,11,0.364,2,4,0.5,4,6,0.667,3,7,10,1,0,0,1,2,14,-17,1
22022,204001,0022200108,"NOV 02, 2022",WAS @ PHI,W,34,9,13,0.692,1,4,0.25,11,11,1.0,0,9,9,3,1,3,1,1,30,7,1
22022,204001,0022200097,"OCT 31, 2022",WAS vs. PHI,L,35,10,17,0.588,3,7,0.429,9,9,1.0,4,5,9,3,2,0,0,3,32,8,1
22022,204001,0022200089,"OCT 30, 2022",WAS @ BOS,L,28,8,16,0.5,0,4,0.0,1,2,0.5,7,6,13,1,0,2,3,3,17,-4,1
22022,204001,0022200074,"OCT 28, 2022",WAS vs. IND,L,31,7,13,0.538,2,4,0.5,6,7,0.857,2,4,6,1,1,0,2,4,22,-13,1
22022,204001,0022200052,"OCT 25, 2022",WAS vs. DET,W,25,8,13,0.615,2,4,0.5,2,2,1.0,4,3,7,2,0,0,3,5,20,1,1
22022,204001,0022200039,"OCT 23, 2022",WAS @ CLE,L,38,7,16,0.438,4,8,0.5,0,1,0.0,1,10,11,3,1,1,2,4,18,1,1
22022,204001,0022200019,"OCT 21, 2022",WAS vs. CHI,W,29,6,13,0.462,2,5,0.4,0,0,0.0,0,3,3,2,1,2,1,6,14,17,1
22022,204001,0022200004,"OCT 19, 2022",WAS @ IND,W,32,5,14,0.357,1,5,0.2,4,6,0.667,2,8,10,3,0,2,2,2,15,7,1
22021,204001,0022101192,"APR 06, 2022",WAS @ ATL,L,32,8,16,0.5,4,8,0.5,6,7,0.857,3,15,18,4,1,2,3,3,26,-3,1
22021,204001,0022101184,"APR 05, 2022",WAS @ MIN,W,27,11,17,0.647,3,5,0.6,0,0,0.0,2,6,8,1,0,1,0,3,25,2,1
22021,204001,0022101166,"APR 03, 2022",WAS @ BOS,L,26,5,15,0.333,2,3,0.667,5,5,1.0,2,5,7,1,0,0,2,0,17,-19,1
22021,204001,0022101152,"APR 01, 2022",WAS vs. DAL,W,30,8,18,0.444,2,4,0.5,6,7,0.857,3,6,9,4,2,1,0,2,24,12,1
22021,204001,0022101138,"MAR 30, 2022",WAS vs. ORL,W,29,11,18,0.611,3,6,0.5,10,13,0.769,3,5,8,3,0,2,2,3,35,23,1
22021,204001,0022101132,"MAR 29, 2022",WAS vs. CHI,L,29,6,14,0.429,0,3,0.0,2,2,1.0,1,9,10,5,0,3,2,2,14,-9,1
22021,204001,0022101117,"MAR 27, 2022",WAS vs. GSW,W,31,6,21,0.286,1,6,0.167,10,11,0.909,2,7,9,6,1,1,4,4,23,9,1
22021,204001,0022101101,"MAR 25, 2022",WAS @ DET,W,32,11,22,0.5,3,8,0.375,5,7,0.714,2,8,10,3,2,2,2,3,30,-4,1
22021,204001,0022101097,"MAR 24, 2022",WAS @ MIL,L,32,6,12,0.5,2,6,0.333,2,2,1.0,1,8,9,3,2,0,2,5,16,2,1
