SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630560,0022201217,"APR 09, 2023",BKN vs. PHI,L,43,16,29,0.552,6,8,0.75,8,8,1.0,0,2,2,1,1,1,4,1,46,-20,1
22022,1630560,0022201180,"APR 04, 2023",BKN vs. MIN,L,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,4,1
22022,1630560,0022201164,"APR 02, 2023",BKN vs. UTA,W,9,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,-4,1
22022,1630560,0022201153,"MAR 31, 2023",BKN vs. ATL,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1
22022,1630560,0022201118,"MAR 26, 2023",BKN @ ORL,L,28,7,16,0.438,0,4,0.0,4,4,1.0,0,2,2,2,0,0,3,2,18,-2,1
22022,1630560,0022201063,"MAR 19, 2023",BKN vs. DEN,L,22,3,9,0.333,1,4,0.25,0,0,0.0,0,1,1,2,1,0,1,0,7,16,1
22022,1630560,0022201043,"MAR 16, 2023",BKN vs. SAC,L,6,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-7,1
22022,1630560,0022201031,"MAR 14, 2023",BKN @ OKC,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,4,1
22022,1630560,0022201001,"MAR 10, 2023",BKN @ MIN,W,5,0,1,0.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,1,0,1,-1,1
22022,1630560,0022200995,"MAR 09, 2023",BKN @ MIL,L,26,7,13,0.538,3,6,0.5,4,4,1.0,1,3,4,0,0,0,2,2,21,-9,1
22022,1630560,0022200965,"MAR 05, 2023",BKN vs. CHA,W,7,2,4,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,8,1
22022,1630560,0022200948,"MAR 03, 2023",BKN @ BOS,W,7,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,-14,1
22022,1630560,0022200937,"MAR 01, 2023",BKN @ NYK,L,24,6,13,0.462,1,4,0.25,2,2,1.0,0,1,1,1,1,1,2,4,15,-9,1
22022,1630560,0022200924,"FEB 28, 2023",BKN vs. MIL,L,23,0,7,0.0,0,3,0.0,2,2,1.0,0,5,5,2,0,0,2,0,2,0,1
22022,1630560,0022200911,"FEB 26, 2023",BKN @ ATL,L,29,6,14,0.429,1,3,0.333,9,9,1.0,1,1,2,3,2,0,2,1,22,-5,1
22022,1630560,0022200900,"FEB 24, 2023",BKN @ CHI,L,30,6,15,0.4,3,6,0.5,7,9,0.778,0,1,1,2,0,0,0,0,22,-20,1
22022,1630560,0022200878,"FEB 15, 2023",BKN vs. MIA,W,21,6,11,0.545,3,5,0.6,4,4,1.0,0,2,2,4,1,0,2,3,19,0,1
22022,1630560,0022200862,"FEB 13, 2023",BKN @ NYK,L,20,2,8,0.25,0,0,0.0,3,4,0.75,0,1,1,0,0,0,0,1,7,-10,1
22022,1630560,0022200846,"FEB 11, 2023",BKN vs. PHI,L,18,7,12,0.583,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,14,-3,1
22022,1630560,0022200833,"FEB 09, 2023",BKN vs. CHI,W,33,3,16,0.188,1,6,0.167,13,13,1.0,0,6,6,4,0,0,4,3,20,18,1
22022,1630560,0022200817,"FEB 07, 2023",BKN vs. PHX,L,39,11,23,0.478,3,9,0.333,18,20,0.9,0,5,5,3,1,1,3,2,43,-4,1
22022,1630560,0022200810,"FEB 06, 2023",BKN vs. LAC,L,39,15,29,0.517,7,11,0.636,10,11,0.909,1,3,4,3,0,0,4,3,47,3,1
22022,1630560,0022200793,"FEB 04, 2023",BKN vs. WAS,W,29,16,23,0.696,4,5,0.8,8,9,0.889,2,3,5,5,0,0,4,2,44,6,1
