SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203915,0022201207,"APR 07, 2023",BKN vs. ORL,W,36,2,11,0.182,0,6,0.0,2,2,1.0,1,6,7,14,1,0,1,3,6,8,1
22022,203915,0022201189,"APR 05, 2023",BKN @ DET,W,33,1,10,0.1,0,4,0.0,4,4,1.0,0,3,3,16,1,1,2,1,6,15,1
22022,203915,0022201180,"APR 04, 2023",BKN vs. MIN,L,38,13,24,0.542,3,9,0.333,1,2,0.5,0,3,3,6,0,1,0,2,30,-3,1
22022,203915,0022201164,"APR 02, 2023",BKN vs. UTA,W,35,5,13,0.385,2,5,0.4,5,6,0.833,0,4,4,12,0,0,2,1,17,4,1
22022,203915,0022201153,"MAR 31, 2023",BKN vs. ATL,W,33,3,9,0.333,1,3,0.333,2,2,1.0,0,4,4,12,2,0,2,3,9,21,1
22022,203915,0022201137,"MAR 29, 2023",BKN vs. HOU,W,38,8,11,0.727,3,4,0.75,1,4,0.25,0,4,4,11,1,0,1,3,20,20,1
22022,203915,0022201118,"MAR 26, 2023",BKN @ ORL,L,29,0,11,0.0,0,6,0.0,2,2,1.0,0,3,3,5,1,0,2,3,2,-2,1
22022,203915,0022201108,"MAR 25, 2023",BKN @ MIA,W,36,4,11,0.364,2,5,0.4,5,6,0.833,1,6,7,9,1,0,2,3,15,17,1
22022,203915,0022201094,"MAR 23, 2023",BKN vs. CLE,L,42,9,15,0.6,2,4,0.5,5,6,0.833,0,4,4,12,1,0,2,1,25,9,1
22022,203915,0022201079,"MAR 21, 2023",BKN vs. CLE,L,38,6,15,0.4,1,5,0.2,6,8,0.75,1,4,5,11,0,0,2,1,19,12,1
22022,203915,0022201063,"MAR 19, 2023",BKN vs. DEN,L,27,3,6,0.5,1,3,0.333,1,1,1.0,0,2,2,11,1,0,2,1,8,-24,1
22022,203915,0022201043,"MAR 16, 2023",BKN vs. SAC,L,38,6,15,0.4,3,7,0.429,3,8,0.375,0,3,3,7,2,1,2,3,18,-4,1
22022,203915,0022201031,"MAR 14, 2023",BKN @ OKC,L,39,5,16,0.313,0,4,0.0,6,6,1.0,1,5,6,11,2,0,6,5,16,-14,1
22022,203915,0022201014,"MAR 12, 2023",BKN @ DEN,W,38,5,15,0.333,0,7,0.0,5,6,0.833,0,6,6,16,1,1,3,5,15,-2,1
22022,203915,0022201001,"MAR 10, 2023",BKN @ MIN,W,45,11,24,0.458,3,7,0.429,4,6,0.667,1,2,3,11,1,0,1,3,29,6,1
22022,203915,0022200981,"MAR 07, 2023",BKN @ HOU,W,29,8,16,0.5,3,7,0.429,4,4,1.0,0,1,1,4,0,1,2,2,23,3,1
22022,203915,0022200965,"MAR 05, 2023",BKN vs. CHA,W,39,9,19,0.474,3,10,0.3,3,4,0.75,1,7,8,8,1,2,1,2,24,13,1
22022,203915,0022200948,"MAR 03, 2023",BKN @ BOS,W,36,6,14,0.429,1,5,0.2,4,6,0.667,1,2,3,8,3,1,3,2,17,5,1
22022,203915,0022200937,"MAR 01, 2023",BKN @ NYK,L,29,3,10,0.3,0,3,0.0,5,5,1.0,1,1,2,10,2,0,3,2,11,-18,1
22022,203915,0022200924,"FEB 28, 2023",BKN vs. MIL,L,35,9,17,0.529,5,10,0.5,3,4,0.75,0,6,6,8,1,0,4,2,26,-4,1
22022,203915,0022200911,"FEB 26, 2023",BKN @ ATL,L,41,7,16,0.438,2,7,0.286,4,4,1.0,0,4,4,8,0,0,4,4,20,7,1
22022,203915,0022200900,"FEB 24, 2023",BKN @ CHI,L,24,0,6,0.0,0,3,0.0,2,3,0.667,0,1,1,5,0,0,1,1,2,-31,1
22022,203915,0022200878,"FEB 15, 2023",BKN vs. MIA,W,36,3,4,0.75,3,4,0.75,0,0,0.0,0,4,4,5,0,0,1,4,9,6,1
