SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628372,0022201113,"MAR 26, 2023",CHA vs. DAL,W,28,5,11,0.455,1,4,0.25,3,4,0.75,1,4,5,6,1,0,3,4,14,4,1
22022,1628372,0022201101,"MAR 24, 2023",CHA @ DAL,W,30,4,9,0.444,2,4,0.5,3,4,0.75,0,5,5,9,1,0,1,3,13,12,1
22022,1628372,0022201095,"MAR 23, 2023",CHA @ NOP,L,22,4,8,0.5,0,2,0.0,0,0,0.0,1,1,2,4,1,0,3,1,8,-7,1
22022,1628372,0022201071,"MAR 20, 2023",CHA vs. IND,W,26,1,10,0.1,0,2,0.0,0,0,0.0,2,3,5,6,2,0,1,2,2,-20,1
22022,1628372,0022201047,"MAR 17, 2023",CHA vs. PHI,L,32,2,11,0.182,0,4,0.0,1,2,0.5,0,5,5,8,0,1,2,2,5,-22,1
22022,1628372,0022201027,"MAR 14, 2023",CHA vs. CLE,L,32,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,8,2,2,2,2,6,-5,1
22022,1628372,0022201015,"MAR 12, 2023",CHA vs. CLE,L,37,5,14,0.357,0,1,0.0,4,4,1.0,1,7,8,7,3,0,2,4,14,1,1
22022,1628372,0022201005,"MAR 11, 2023",CHA vs. UTA,L,24,4,11,0.364,2,3,0.667,3,4,0.75,1,2,3,5,0,2,1,3,13,3,1
22022,1628372,0022200992,"MAR 09, 2023",CHA @ DET,W,23,7,10,0.7,0,1,0.0,0,2,0.0,0,0,0,3,3,0,2,3,14,11,1
22022,1628372,0022200979,"MAR 07, 2023",CHA @ NYK,W,24,1,6,0.167,1,3,0.333,0,0,0.0,0,5,5,6,0,0,2,1,3,-2,1
22022,1628372,0022200965,"MAR 05, 2023",CHA @ BKN,L,27,6,14,0.429,1,6,0.167,2,3,0.667,2,4,6,6,1,1,0,3,15,-13,1
22022,1628372,0022200946,"MAR 03, 2023",CHA vs. ORL,L,21,3,8,0.375,0,1,0.0,4,6,0.667,1,1,2,6,2,0,0,1,10,-3,1
22022,1628372,0022200933,"MAR 01, 2023",CHA vs. PHX,L,26,2,7,0.286,0,2,0.0,4,6,0.667,0,5,5,6,1,2,0,2,8,-11,1
22022,1628372,0022200919,"FEB 27, 2023",CHA vs. DET,W,32,1,8,0.125,0,1,0.0,5,6,0.833,1,2,3,7,1,0,1,2,7,9,1
22022,1628372,0022200904,"FEB 25, 2023",CHA vs. MIA,W,28,5,7,0.714,1,2,0.5,4,4,1.0,0,2,2,2,3,0,2,4,15,12,1
22022,1628372,0022200898,"FEB 24, 2023",CHA @ MIN,W,26,3,8,0.375,1,3,0.333,0,0,0.0,0,2,2,4,2,0,1,0,7,1,1
22022,1628372,0022200873,"FEB 15, 2023",CHA vs. SAS,W,31,3,8,0.375,0,2,0.0,4,4,1.0,2,3,5,9,3,0,2,3,10,14,1
22022,1628372,0022200857,"FEB 13, 2023",CHA vs. ATL,W,24,5,8,0.625,0,2,0.0,2,2,1.0,0,1,1,2,1,1,4,3,12,5,1
22022,1628372,0022200847,"FEB 11, 2023",CHA vs. DEN,L,27,6,10,0.6,2,5,0.4,1,2,0.5,0,4,4,3,1,2,1,2,15,-3,1
22022,1628372,0022200838,"FEB 10, 2023",CHA @ BOS,L,23,3,9,0.333,1,3,0.333,2,4,0.5,0,2,2,3,2,1,2,1,9,3,1
22022,1628372,0022200823,"FEB 08, 2023",CHA @ WAS,L,25,4,6,0.667,0,0,0.0,1,2,0.5,0,0,0,3,2,0,0,2,9,-19,1
22022,1628372,0022200802,"FEB 05, 2023",CHA vs. ORL,L,22,5,8,0.625,0,2,0.0,4,6,0.667,0,4,4,3,0,0,3,1,14,3,1
22022,1628372,0022200785,"FEB 03, 2023",CHA @ DET,L,20,4,6,0.667,0,0,0.0,1,1,1.0,0,3,3,3,2,1,3,1,9,4,1
22022,1628372,0022200781,"FEB 02, 2023",CHA @ CHI,L,20,3,6,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,0,7,-3,1
22022,1628372,0022200767,"JAN 31, 2023",CHA @ MIL,L,17,1,8,0.125,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,2,2,-6,1
22022,1628372,0022200752,"JAN 29, 2023",CHA vs. MIA,W,20,1,5,0.2,0,1,0.0,2,2,1.0,2,1,3,1,1,0,2,1,4,19,1
22022,1628372,0022200732,"JAN 26, 2023",CHA vs. CHI,W,21,2,5,0.4,0,1,0.0,0,0,0.0,1,5,6,1,0,0,1,2,4,-6,1
22022,1628372,0022200718,"JAN 24, 2023",CHA @ PHX,L,27,4,13,0.308,0,2,0.0,0,0,0.0,0,3,3,3,1,0,2,3,8,-26,1
22022,1628372,0022200710,"JAN 23, 2023",CHA @ UTA,L,29,6,11,0.545,0,1,0.0,3,4,0.75,0,3,3,9,0,0,0,3,15,-15,1
22022,1628372,0022200694,"JAN 21, 2023",CHA @ ATL,W,27,2,7,0.286,0,4,0.0,4,4,1.0,0,1,1,8,1,0,4,4,8,-2,1
22022,1628372,0022200671,"JAN 18, 2023",CHA @ HOU,W,29,2,8,0.25,0,2,0.0,5,6,0.833,1,1,2,7,1,0,1,3,9,-14,1
22022,1628372,0022200656,"JAN 16, 2023",CHA vs. BOS,L,25,3,10,0.3,0,4,0.0,2,2,1.0,0,1,1,1,1,0,0,4,8,-7,1
22022,1628372,0022200642,"JAN 14, 2023",CHA vs. BOS,L,17,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,3,1,0,2,1,2,-1,1
22022,1628372,0022200629,"JAN 12, 2023",CHA @ TOR,L,20,2,5,0.4,0,1,0.0,1,1,1.0,0,3,3,7,0,0,1,3,5,2,1
22022,1628372,0022200613,"JAN 10, 2023",CHA @ TOR,L,24,1,7,0.143,0,3,0.0,0,0,0.0,0,2,2,6,3,0,1,0,2,-9,1
22022,1628372,0022200598,"JAN 08, 2023",CHA @ IND,L,23,2,5,0.4,0,1,0.0,3,3,1.0,0,1,1,4,1,1,2,5,7,9,1
22022,1628372,0022200583,"JAN 06, 2023",CHA @ MIL,W,20,2,3,0.667,0,0,0.0,2,2,1.0,0,2,2,1,1,1,1,2,6,19,1
22022,1628372,0022200564,"JAN 04, 2023",CHA vs. MEM,L,23,3,8,0.375,0,1,0.0,1,2,0.5,0,2,2,3,2,0,2,2,7,-15,1
22022,1628372,0022200551,"JAN 02, 2023",CHA vs. LAL,L,18,3,10,0.3,1,3,0.333,1,2,0.5,1,2,3,1,1,0,1,3,8,-5,1
22022,1628372,0022200260,"NOV 23, 2022",CHA vs. PHI,W,11,1,3,0.333,0,0,0.0,0,1,0.0,0,0,0,2,0,0,1,1,2,-8,1
22022,1628372,0022200241,"NOV 20, 2022",CHA @ WAS,L,25,3,6,0.5,0,2,0.0,0,0,0.0,0,2,2,3,2,2,1,1,6,15,1
22022,1628372,0022200174,"NOV 10, 2022",CHA @ MIA,L,34,6,9,0.667,0,3,0.0,0,0,0.0,0,2,2,8,1,0,2,4,12,10,1
22022,1628372,0022200159,"NOV 09, 2022",CHA vs. POR,L,33,6,12,0.5,1,2,0.5,0,0,0.0,1,1,2,4,4,0,1,5,13,1,1
22022,1628372,0022200144,"NOV 07, 2022",CHA vs. WAS,L,34,1,11,0.091,0,2,0.0,1,2,0.5,2,3,5,10,0,3,1,2,3,-5,1
22022,1628372,0022200133,"NOV 05, 2022",CHA vs. BKN,L,7,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-3,1
22022,1628372,0022200125,"NOV 04, 2022",CHA @ MEM,L,29,3,7,0.429,1,2,0.5,1,2,0.5,0,3,3,5,2,1,3,1,8,-28,1
22022,1628372,0022200111,"NOV 02, 2022",CHA @ CHI,L,32,5,9,0.556,0,1,0.0,0,0,0.0,0,5,5,6,2,0,1,0,10,0,1
22022,1628372,0022200096,"OCT 31, 2022",CHA vs. SAC,L,37,7,13,0.538,1,5,0.2,0,0,0.0,2,5,7,8,6,1,4,4,15,-1,1
22022,1628372,0022200082,"OCT 29, 2022",CHA vs. GSW,W,37,4,10,0.4,2,2,1.0,3,4,0.75,2,7,9,8,0,0,2,2,13,12,1
22022,1628372,0022200071,"OCT 28, 2022",CHA @ ORL,L,27,2,7,0.286,0,1,0.0,0,0,0.0,1,3,4,4,1,0,2,2,4,-14,1
22022,1628372,0022200058,"OCT 26, 2022",CHA @ NYK,L,37,7,16,0.438,0,3,0.0,0,2,0.0,0,3,3,11,2,0,1,5,14,-5,1
22022,1628372,0022200038,"OCT 23, 2022",CHA @ ATL,W,34,8,16,0.5,1,2,0.5,1,1,1.0,1,1,2,6,3,1,2,3,18,9,1
22022,1628372,0022200017,"OCT 21, 2022",CHA vs. NOP,L,22,4,7,0.571,2,3,0.667,0,0,0.0,0,2,2,4,2,0,1,1,10,2,1
22022,1628372,0022200011,"OCT 19, 2022",CHA @ SAS,W,21,5,7,0.714,2,2,1.0,0,0,0.0,0,2,2,4,2,2,1,2,12,28,1
22021,1628372,0022100829,"FEB 09, 2022",POR vs. LAL,W,22,3,5,0.6,0,0,0.0,1,1,1.0,0,2,2,11,6,0,3,3,7,-2,1
22021,1628372,0022100823,"FEB 08, 2022",POR vs. ORL,L,20,0,4,0.0,0,0,0.0,3,5,0.6,0,3,3,2,2,1,0,3,3,-7,1
22021,1628372,0022100800,"FEB 05, 2022",POR vs. MIL,L,20,2,3,0.667,0,0,0.0,2,4,0.5,1,1,2,6,2,0,1,0,6,6,1
22021,1628372,0022100795,"FEB 04, 2022",POR vs. OKC,L,16,3,7,0.429,0,0,0.0,0,0,0.0,2,1,3,3,0,0,2,1,6,-11,1
22021,1628372,0022100781,"FEB 02, 2022",POR @ LAL,L,17,1,5,0.2,0,0,0.0,2,5,0.4,2,1,3,2,0,0,0,0,4,0,1
22021,1628372,0022100765,"JAN 31, 2022",POR @ OKC,L,18,3,4,0.75,0,0,0.0,0,0,0.0,0,5,5,1,0,1,3,3,6,0,1
22021,1628372,0022100753,"JAN 30, 2022",POR @ CHI,L,15,0,2,0.0,0,0,0.0,0,0,0.0,1,4,5,5,0,0,0,0,0,-5,1
22021,1628372,0022100739,"JAN 28, 2022",POR @ HOU,W,12,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,9,1
22021,1628372,0022100721,"JAN 25, 2022",POR vs. MIN,L,12,3,5,0.6,0,0,0.0,2,2,1.0,1,1,2,6,1,0,2,2,8,-2,1
22021,1628372,0022100702,"JAN 23, 2022",POR @ TOR,W,14,2,3,0.667,0,0,0.0,1,2,0.5,0,1,1,6,0,0,1,3,5,14,1
22021,1628372,0022100688,"JAN 21, 2022",POR @ BOS,W,10,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,2,2,0,1,4,2,-4,1
22021,1628372,0022100672,"JAN 19, 2022",POR @ MIA,L,13,2,3,0.667,0,1,0.0,1,2,0.5,0,1,1,1,0,1,2,2,5,-22,1
22021,1628372,0022100661,"JAN 17, 2022",POR @ ORL,W,13,2,5,0.4,0,0,0.0,2,2,1.0,0,2,2,2,0,0,1,3,6,-11,1
22021,1628372,0022100642,"JAN 15, 2022",POR @ WAS,W,23,3,9,0.333,0,0,0.0,3,3,1.0,1,3,4,2,3,0,0,0,9,3,1
22021,1628372,0022100631,"JAN 13, 2022",POR @ DEN,L,36,7,12,0.583,0,1,0.0,3,5,0.6,0,2,2,8,1,0,1,3,17,-14,1
22021,1628372,0022100486,"JAN 10, 2022",POR vs. BKN,W,13,3,6,0.5,0,0,0.0,0,0,0.0,1,0,1,3,1,0,1,0,6,-8,1
22021,1628372,0022100605,"JAN 09, 2022",POR vs. SAC,W,19,2,9,0.222,0,3,0.0,0,1,0.0,1,2,3,4,1,0,1,1,4,11,1
22021,1628372,0022100590,"JAN 07, 2022",POR vs. CLE,L,17,4,8,0.5,0,0,0.0,2,2,1.0,0,3,3,4,1,1,0,0,10,0,1
22021,1628372,0022100576,"JAN 05, 2022",POR vs. MIA,L,13,1,4,0.25,0,0,0.0,1,2,0.5,0,1,1,3,2,0,0,2,3,-5,1
22021,1628372,0022100560,"JAN 03, 2022",POR vs. ATL,W,12,1,4,0.25,1,2,0.5,0,0,0.0,1,0,1,3,0,1,1,0,3,-3,1
22021,1628372,0022100538,"DEC 31, 2021",POR @ LAL,L,24,2,8,0.25,0,2,0.0,0,1,0.0,3,4,7,6,1,1,3,0,4,-18,1
22021,1628372,0022100402,"DEC 12, 2021",POR vs. MIN,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-7,1
22021,1628372,0022100376,"DEC 08, 2021",POR @ GSW,L,42,5,9,0.556,0,2,0.0,2,2,1.0,1,5,6,5,1,2,4,4,12,-18,1
22021,1628372,0022100362,"DEC 06, 2021",POR vs. LAC,L,39,6,11,0.545,1,1,1.0,0,0,0.0,2,4,6,7,1,1,7,1,13,-10,1
22021,1628372,0022100347,"DEC 04, 2021",POR vs. BOS,L,37,7,14,0.5,1,3,0.333,6,8,0.75,0,4,4,6,3,0,0,3,21,-14,1
22021,1628372,0022100332,"DEC 02, 2021",POR vs. SAS,L,19,2,8,0.25,1,3,0.333,1,1,1.0,0,3,3,5,2,0,3,5,6,-8,1
