SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,202330,0022201113,"MAR 26, 2023",CHA vs. DAL,W,32,8,14,0.571,1,1,1.0,5,5,1.0,1,5,6,4,0,0,3,2,22,4,1
22022,202330,0022201101,"MAR 24, 2023",CHA @ DAL,W,32,9,15,0.6,1,2,0.5,6,6,1.0,0,3,3,9,0,0,1,0,25,10,1
22022,202330,0022201095,"MAR 23, 2023",CHA @ NOP,L,31,5,12,0.417,1,5,0.2,1,2,0.5,0,3,3,6,1,0,2,0,12,-17,1
22022,202330,0022201071,"MAR 20, 2023",CHA vs. IND,W,34,8,15,0.533,1,4,0.25,5,6,0.833,0,3,3,5,1,0,1,1,22,26,1
22022,202330,0022201047,"MAR 17, 2023",CHA vs. PHI,L,22,2,4,0.5,0,0,0.0,2,2,1.0,0,5,5,2,1,0,1,0,6,-15,1
22022,202330,0022201027,"MAR 14, 2023",CHA vs. CLE,L,29,4,8,0.5,1,4,0.25,1,2,0.5,0,3,3,6,0,1,2,0,10,-22,1
22022,202330,0022201015,"MAR 12, 2023",CHA vs. CLE,L,33,6,10,0.6,1,2,0.5,3,5,0.6,1,3,4,6,1,0,1,3,16,13,1
22022,202330,0022201005,"MAR 11, 2023",CHA vs. UTA,L,35,4,10,0.4,1,5,0.2,2,2,1.0,0,3,3,4,1,0,3,0,11,-17,1
22022,202330,0022200992,"MAR 09, 2023",CHA @ DET,W,33,1,9,0.111,0,2,0.0,0,0,0.0,0,5,5,6,0,1,3,2,2,-8,1
22022,202330,0022200979,"MAR 07, 2023",CHA @ NYK,W,36,9,17,0.529,3,6,0.5,2,3,0.667,4,5,9,8,0,1,3,2,23,14,1
22022,202330,0022200965,"MAR 05, 2023",CHA @ BKN,L,35,6,13,0.462,0,1,0.0,0,0,0.0,0,4,4,3,0,1,1,3,12,-9,1
22022,202330,0022200946,"MAR 03, 2023",CHA vs. ORL,L,34,7,12,0.583,1,1,1.0,2,2,1.0,0,1,1,7,1,0,5,3,17,-14,1
22022,202330,0022200933,"MAR 01, 2023",CHA vs. PHX,L,33,5,14,0.357,3,8,0.375,2,4,0.5,0,2,2,4,1,0,1,1,15,-9,1
22022,202330,0022200919,"FEB 27, 2023",CHA vs. DET,W,36,8,15,0.533,0,3,0.0,3,3,1.0,0,5,5,6,2,0,5,1,19,6,1
22022,202330,0022200904,"FEB 25, 2023",CHA vs. MIA,W,30,8,14,0.571,1,2,0.5,4,5,0.8,0,3,3,2,1,0,2,5,21,2,1
