SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203526,0022201218,"APR 09, 2023",CLE vs. CHA,L,22,4,9,0.444,0,3,0.0,5,5,1.0,1,0,1,6,1,0,2,4,13,-12,1
22022,203526,0022201197,"APR 06, 2023",CLE @ ORL,W,24,3,6,0.5,0,1,0.0,2,2,1.0,1,1,2,8,0,1,6,4,8,3,1
22022,203526,0022201154,"MAR 31, 2023",CLE vs. NYK,L,10,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,1,0,-7,1
22022,203526,0022201049,"MAR 17, 2023",CLE vs. WAS,W,4,2,2,1.0,0,0,0.0,1,2,0.5,0,0,0,2,0,0,0,0,5,3,1
22022,203526,0022201035,"MAR 15, 2023",CLE vs. PHI,L,13,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,4,5,1
22022,203526,0022201027,"MAR 14, 2023",CLE @ CHA,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,2,0,0,-2,1
22022,203526,0022200957,"MAR 04, 2023",CLE vs. DET,W,8,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
22022,203526,0022200914,"FEB 26, 2023",CLE vs. TOR,W,5,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-1,1
22022,203526,0022200896,"FEB 24, 2023",CLE @ ATL,L,10,3,5,0.6,1,1,1.0,0,0,0.0,1,1,2,4,0,0,0,1,7,-1,1
22022,203526,0022200875,"FEB 15, 2023",CLE @ PHI,L,10,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,-1,1
22022,203526,0022200842,"FEB 10, 2023",CLE @ NOP,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
22022,203526,0022200822,"FEB 08, 2023",CLE vs. DET,W,36,5,11,0.455,1,4,0.25,3,3,1.0,0,0,0,8,4,0,1,5,14,23,1
22022,203526,0022200809,"FEB 06, 2023",CLE @ WAS,W,9,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,0,2,-5,1
22022,203526,0022200803,"FEB 05, 2023",CLE @ IND,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5,1
22022,203526,0022200779,"FEB 02, 2023",CLE vs. MEM,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1
22022,203526,0022200754,"JAN 29, 2023",CLE vs. LAC,W,8,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,3,0,0,0,0,4,0,1
22022,203526,0022200739,"JAN 27, 2023",CLE @ OKC,L,12,2,3,0.667,1,2,0.5,2,2,1.0,0,2,2,0,1,0,1,0,7,-6,1
22022,203526,0022200733,"JAN 26, 2023",CLE @ HOU,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
