SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203200,0022201224,"APR 09, 2023",DAL vs. SAS,L,23,2,9,0.222,1,5,0.2,0,0,0.0,0,2,2,0,1,0,0,3,5,-15,1
22022,203200,0022201210,"APR 07, 2023",DAL vs. CHI,L,26,5,11,0.455,1,6,0.167,0,1,0.0,1,5,6,3,2,1,1,2,11,12,1
22022,203200,0022201161,"APR 01, 2023",DAL @ MIA,L,4,0,1,0.0,0,1,0.0,3,3,1.0,0,0,0,0,0,0,0,0,3,0,1
22022,203200,0022201123,"MAR 27, 2023",DAL @ IND,W,9,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,0,4,-6,1
22022,203200,0022201113,"MAR 26, 2023",DAL @ CHA,L,14,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,7,1
22022,203200,0022201101,"MAR 24, 2023",DAL vs. CHA,L,1,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-8,1
22022,203200,0022201086,"MAR 22, 2023",DAL vs. GSW,L,23,2,6,0.333,1,5,0.2,0,0,0.0,0,2,2,1,0,0,0,4,5,-2,1
22022,203200,0022201054,"MAR 17, 2023",DAL @ LAL,W,16,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,1,2,2,1,1,2,3,1
22022,203200,0022201040,"MAR 15, 2023",DAL @ SAS,W,12,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-12,1
22022,203200,0022201023,"MAR 13, 2023",DAL vs. MEM,L,17,4,7,0.571,1,3,0.333,0,0,0.0,0,2,2,2,1,0,1,1,9,-5,1
22022,203200,0022201010,"MAR 11, 2023",DAL @ MEM,L,13,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,1,3,-2,1
