SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,202693,0022201224,"APR 09, 2023",DAL vs. SAS,L,27,4,17,0.235,2,11,0.182,0,0,0.0,0,7,7,2,0,0,0,4,10,-21,1
22022,202693,0022201210,"APR 07, 2023",DAL vs. CHI,L,8,5,6,0.833,3,4,0.75,0,0,0.0,0,2,2,1,0,0,0,2,13,6,1
22022,202693,0022201123,"MAR 27, 2023",DAL @ IND,W,11,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,2,0,0,1,4,3,-5,1
22022,202693,0022201023,"MAR 13, 2023",DAL vs. MEM,L,5,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,4,1,1
22022,202693,0022200988,"MAR 08, 2023",DAL @ NOP,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-6,1
22022,202693,0022200962,"MAR 05, 2023",DAL vs. PHX,L,2,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,7,1
22022,202693,0022200929,"FEB 28, 2023",DAL vs. IND,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-5,1
22022,202693,0022200913,"FEB 26, 2023",DAL vs. LAL,L,9,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,1,0,1,3,3,3,1
22022,202693,0022200793,"FEB 04, 2023",BKN vs. WAS,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,2,1
22022,202693,0022200772,"FEB 01, 2023",BKN @ BOS,L,7,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,1,1,0,1,0,0,-10,1
22022,202693,0022200757,"JAN 30, 2023",BKN vs. LAL,W,7,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,2,2,6,1
22022,202693,0022200731,"JAN 26, 2023",BKN vs. DET,L,16,2,9,0.222,1,6,0.167,0,0,0.0,2,1,3,1,0,0,0,1,5,-8,1
