SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628467,0022201195,"APR 05, 2023",DAL vs. SAC,W,15,1,3,0.333,0,2,0.0,1,1,1.0,0,2,2,3,0,0,1,1,3,-3,1
22022,1628467,0022201167,"APR 02, 2023",DAL @ ATL,L,8,1,4,0.25,0,2,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,-20,1
22022,1628467,0022201161,"APR 01, 2023",DAL @ MIA,L,27,3,4,0.75,2,3,0.667,0,0,0.0,0,5,5,3,1,0,3,3,8,2,1
22022,1628467,0022201139,"MAR 29, 2023",DAL @ PHI,L,26,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,2,0,1,3,3,5,0,1
22022,1628467,0022201113,"MAR 26, 2023",DAL @ CHA,L,32,4,9,0.444,4,7,0.571,2,2,1.0,1,3,4,1,1,2,0,5,14,2,1
22022,1628467,0022201101,"MAR 24, 2023",DAL vs. CHA,L,20,2,5,0.4,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,2,4,-16,1
22022,1628467,0022201086,"MAR 22, 2023",DAL vs. GSW,L,29,1,3,0.333,1,3,0.333,1,1,1.0,2,1,3,2,1,0,0,3,4,-12,1
22022,1628467,0022201075,"MAR 20, 2023",DAL @ MEM,L,33,0,3,0.0,0,2,0.0,2,2,1.0,2,6,8,4,1,1,2,1,2,1,1
22022,1628467,0022201054,"MAR 17, 2023",DAL @ LAL,W,29,2,4,0.5,1,3,0.333,5,6,0.833,0,4,4,2,0,0,0,4,10,-11,1
22022,1628467,0022201040,"MAR 15, 2023",DAL @ SAS,W,28,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,2,0,0,3,2,3,5,1
22022,1628467,0022201023,"MAR 13, 2023",DAL vs. MEM,L,25,0,3,0.0,0,2,0.0,1,2,0.5,2,1,3,1,0,2,2,2,1,-18,1
22022,1628467,0022201010,"MAR 11, 2023",DAL @ MEM,L,26,1,3,0.333,1,3,0.333,1,2,0.5,1,7,8,4,0,1,0,3,4,-8,1
22022,1628467,0022200983,"MAR 07, 2023",DAL vs. UTA,W,26,2,5,0.4,1,4,0.25,0,0,0.0,1,6,7,1,1,0,0,1,5,5,1
