SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626163,0022201222,"APR 09, 2023",HOU @ WAS,W,17,3,7,0.429,1,3,0.333,0,0,0.0,2,4,6,3,0,1,0,0,7,4,1
22022,1626163,0022201171,"APR 02, 2023",HOU vs. LAL,L,4,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,-2,1
22022,1626163,0022201117,"MAR 26, 2023",HOU @ CLE,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22022,1626163,0022201024,"MAR 13, 2023",HOU vs. BOS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
22022,1626163,0022200981,"MAR 07, 2023",HOU vs. BKN,L,3,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,0,1
22022,1626163,0022200938,"MAR 01, 2023",HOU vs. MEM,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,5,1
22022,1626163,0022200926,"FEB 28, 2023",HOU vs. DEN,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,2,1
22022,1626163,0022200901,"FEB 24, 2023",HOU @ GSW,L,4,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,0,0,2,-10,1
22022,1626163,0022200880,"FEB 15, 2023",HOU @ OKC,L,13,1,4,0.25,0,2,0.0,2,2,1.0,1,2,3,5,0,1,0,1,4,-3,1
22022,1626163,0022200860,"FEB 13, 2023",HOU @ PHI,L,6,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,-1,1
22022,1626163,0022200801,"FEB 04, 2023",ATL @ DEN,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-1,1
22022,1626163,0022200777,"FEB 01, 2023",ATL @ PHX,W,6,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,2,-9,1
22022,1626163,0022200708,"JAN 23, 2023",ATL @ CHI,L,5,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,1,1,1,0,2,-1,1
22022,1626163,0022200684,"JAN 20, 2023",ATL vs. NYK,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,1
22022,1626163,0022200644,"JAN 14, 2023",ATL @ TOR,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1
22022,1626163,0022200620,"JAN 11, 2023",ATL vs. MIL,L,14,5,7,0.714,3,4,0.75,0,0,0.0,0,2,2,2,1,0,1,2,13,13,1
22022,1626163,0022200604,"JAN 08, 2023",ATL @ LAC,W,11,1,2,0.5,0,0,0.0,2,4,0.5,2,3,5,1,0,0,0,2,4,4,1
22022,1626163,0022200590,"JAN 06, 2023",ATL @ LAL,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,1
22022,1626163,0022200575,"JAN 04, 2023",ATL @ SAC,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1
22022,1626163,0022200530,"DEC 30, 2022",ATL vs. LAL,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
22022,1626163,0022200508,"DEC 27, 2022",ATL @ IND,L,8,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4,1,1
22022,1626163,0022200481,"DEC 23, 2022",ATL vs. DET,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,1
22022,1626163,0022200468,"DEC 21, 2022",ATL vs. CHI,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-10,1
22022,1626163,0022200428,"DEC 16, 2022",ATL @ CHA,W,22,4,5,0.8,2,3,0.667,2,2,1.0,0,7,7,5,1,0,1,4,12,17,1
