SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630256,0022201067,"MAR 19, 2023",HOU vs. NOP,L,22,1,4,0.25,0,0,0.0,0,0,0.0,1,0,1,4,2,0,2,4,2,-7,1
22022,1630256,0022201051,"MAR 17, 2023",HOU vs. NOP,W,21,4,6,0.667,1,2,0.5,3,5,0.6,1,5,6,5,0,1,0,1,12,17,1
22022,1630256,0022201038,"MAR 15, 2023",HOU vs. LAL,W,21,6,7,0.857,0,1,0.0,1,1,1.0,1,3,4,4,0,0,2,5,13,3,1
22022,1630256,0022201024,"MAR 13, 2023",HOU vs. BOS,W,24,4,10,0.4,0,3,0.0,3,4,0.75,0,2,2,2,2,0,3,6,11,-6,1
22022,1630256,0022201009,"MAR 11, 2023",HOU vs. CHI,L,23,3,10,0.3,1,3,0.333,2,2,1.0,0,5,5,6,1,0,3,2,9,10,1
22022,1630256,0022200993,"MAR 09, 2023",HOU @ IND,L,29,5,11,0.455,0,1,0.0,3,4,0.75,2,6,8,3,0,1,0,6,13,-9,1
22022,1630256,0022200981,"MAR 07, 2023",HOU vs. BKN,L,22,4,7,0.571,1,2,0.5,2,2,1.0,1,4,5,1,1,0,2,4,11,2,1
22022,1630256,0022200967,"MAR 05, 2023",HOU vs. SAS,W,23,5,7,0.714,1,1,1.0,5,5,1.0,1,1,2,1,1,1,0,2,16,10,1
22022,1630256,0022200938,"MAR 01, 2023",HOU vs. MEM,L,18,4,9,0.444,0,2,0.0,3,4,0.75,1,2,3,1,0,0,0,3,11,-3,1
22022,1630256,0022200917,"FEB 26, 2023",HOU @ POR,L,25,7,11,0.636,0,2,0.0,3,4,0.75,1,1,2,2,0,0,1,5,17,-7,1
22022,1630256,0022200901,"FEB 24, 2023",HOU @ GSW,L,28,6,12,0.5,1,3,0.333,1,1,1.0,0,3,3,4,3,0,1,3,14,-7,1
22022,1630256,0022200880,"FEB 15, 2023",HOU @ OKC,L,19,4,7,0.571,1,2,0.5,2,5,0.4,1,1,2,1,0,0,2,4,11,-23,1
22022,1630256,0022200860,"FEB 13, 2023",HOU @ PHI,L,24,2,3,0.667,0,1,0.0,2,2,1.0,0,2,2,1,1,1,2,1,6,-12,1
22022,1630256,0022200840,"FEB 10, 2023",HOU @ MIA,L,24,2,7,0.286,0,0,0.0,1,3,0.333,2,2,4,1,0,0,1,4,5,-13,1
