SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630528,0022201222,"APR 09, 2023",HOU @ WAS,W,30,6,10,0.6,0,1,0.0,1,2,0.5,1,1,2,4,0,0,4,1,13,6,1
22022,1630528,0022201202,"APR 07, 2023",HOU @ CHA,W,20,3,10,0.3,0,2,0.0,0,0,0.0,1,1,2,1,0,2,2,0,6,1,1
22022,1630528,0022201183,"APR 04, 2023",HOU vs. DEN,W,18,4,8,0.5,0,2,0.0,2,4,0.5,2,1,3,0,3,0,1,1,10,13,1
22022,1630528,0022201171,"APR 02, 2023",HOU vs. LAL,L,17,4,8,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,2,9,-17,1
22022,1630528,0022201155,"MAR 31, 2023",HOU vs. DET,W,15,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,1,3,0,0,0,4,-1,1
22022,1630528,0022201137,"MAR 29, 2023",HOU @ BKN,L,17,6,10,0.6,0,2,0.0,2,2,1.0,0,0,0,4,1,0,1,0,14,3,1
22022,1630528,0022201124,"MAR 27, 2023",HOU @ NYK,L,13,6,10,0.6,0,1,0.0,0,0,0.0,1,0,1,0,1,0,2,2,12,-2,1
22022,1630528,0022201117,"MAR 26, 2023",HOU @ CLE,L,6,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-3,1
22022,1630528,0022201100,"MAR 24, 2023",HOU @ MEM,L,16,3,6,0.5,1,3,0.333,1,2,0.5,0,0,0,3,1,1,1,0,8,-9,1
22022,1630528,0022201088,"MAR 22, 2023",HOU @ MEM,L,10,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,4,1,0,0,0,2,-6,1
22022,1630528,0022201074,"MAR 20, 2023",HOU vs. GSW,L,22,3,9,0.333,0,3,0.0,4,4,1.0,2,1,3,1,3,0,2,3,10,-16,1
22022,1630528,0022201067,"MAR 19, 2023",HOU vs. NOP,L,8,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,-2,1
22022,1630528,0022201051,"MAR 17, 2023",HOU vs. NOP,W,12,2,6,0.333,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,1,6,3,1
22022,1630528,0022201038,"MAR 15, 2023",HOU vs. LAL,W,13,5,6,0.833,2,3,0.667,0,0,0.0,0,3,3,1,0,0,1,2,12,3,1
22022,1630528,0022201024,"MAR 13, 2023",HOU vs. BOS,W,3,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-5,1
22022,1630528,0022201009,"MAR 11, 2023",HOU vs. CHI,L,15,4,8,0.5,2,4,0.5,1,1,1.0,0,1,1,1,1,0,1,1,11,-16,1
22022,1630528,0022200993,"MAR 09, 2023",HOU @ IND,L,16,3,7,0.429,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,3,7,3,1
22022,1630528,0022200981,"MAR 07, 2023",HOU vs. BKN,L,16,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,1,2,-18,1
22022,1630528,0022200967,"MAR 05, 2023",HOU vs. SAS,W,20,3,6,0.5,0,0,0.0,2,2,1.0,0,0,0,1,1,1,0,1,8,8,1
22022,1630528,0022200959,"MAR 04, 2023",HOU @ SAS,W,19,6,12,0.5,0,2,0.0,2,2,1.0,1,0,1,4,0,2,2,3,14,2,1
22022,1630528,0022200938,"MAR 01, 2023",HOU vs. MEM,L,16,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,2,1,0,1,1,4,1,1
22022,1630528,0022200926,"FEB 28, 2023",HOU vs. DEN,L,23,5,11,0.455,1,3,0.333,0,0,0.0,0,4,4,3,0,0,1,1,11,6,1
22022,1630528,0022200917,"FEB 26, 2023",HOU @ POR,L,15,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,0,1,0,0,1,3,-10,1
22022,1630528,0022200901,"FEB 24, 2023",HOU @ GSW,L,18,6,10,0.6,1,4,0.25,0,0,0.0,0,1,1,0,0,0,0,1,13,-13,1
22022,1630528,0022200880,"FEB 15, 2023",HOU @ OKC,L,22,4,6,0.667,1,1,1.0,1,2,0.5,1,1,2,3,1,1,4,5,10,-13,1
