SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630537,0022201107,"MAR 25, 2023",IND @ ATL,L,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,-2,1
22022,1630537,0022201020,"MAR 13, 2023",IND @ DET,L,24,4,8,0.5,2,4,0.5,2,2,1.0,1,0,1,0,0,0,0,0,12,-6,1
22022,1630537,0022201006,"MAR 11, 2023",IND @ DET,W,33,2,11,0.182,1,6,0.167,1,1,1.0,2,4,6,0,1,0,3,4,6,-10,1
22022,1630537,0022200993,"MAR 09, 2023",IND vs. HOU,W,24,3,10,0.3,2,6,0.333,2,2,1.0,0,3,3,3,2,1,0,0,10,-4,1
22022,1630537,0022200972,"MAR 06, 2023",IND vs. PHI,L,24,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,3,1,0,1,1,4,-4,1
22022,1630537,0022200963,"MAR 05, 2023",IND @ CHI,W,22,5,10,0.5,5,8,0.625,0,0,0.0,0,2,2,0,1,0,2,2,15,3,1
22022,1630537,0022200944,"MAR 02, 2023",IND @ SAS,L,34,8,14,0.571,2,3,0.667,0,0,0.0,1,8,9,2,0,0,1,2,18,0,1
22022,1630537,0022200929,"FEB 28, 2023",IND @ DAL,W,7,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,2,1
22022,1630537,0022200905,"FEB 25, 2023",IND @ ORL,W,15,2,5,0.4,1,3,0.333,1,1,1.0,0,2,2,1,0,0,0,2,6,-2,1
22022,1630537,0022200887,"FEB 23, 2023",IND vs. BOS,L,16,3,6,0.5,1,2,0.5,0,0,0.0,0,3,3,0,1,0,0,0,7,-3,1
22022,1630537,0022200874,"FEB 15, 2023",IND vs. CHI,W,20,5,11,0.455,4,7,0.571,0,0,0.0,1,1,2,0,2,0,2,3,14,2,1
22022,1630537,0022200849,"FEB 11, 2023",IND @ WAS,L,18,3,6,0.5,1,3,0.333,2,2,1.0,2,0,2,1,0,0,2,0,9,-8,1
22022,1630537,0022200836,"FEB 10, 2023",IND vs. PHX,L,29,2,9,0.222,0,6,0.0,3,4,0.75,2,4,6,1,2,0,1,2,7,5,1
22022,1630537,0022200825,"FEB 08, 2023",IND @ MIA,L,20,2,4,0.5,0,0,0.0,0,1,0.0,0,1,1,2,0,0,1,2,4,3,1
22022,1630537,0022200778,"FEB 02, 2023",IND vs. LAL,L,6,0,4,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-8,1
22022,1630537,0022200753,"JAN 29, 2023",IND @ MEM,L,26,4,7,0.571,1,4,0.25,0,0,0.0,1,2,3,2,0,2,1,2,9,-5,1
22022,1630537,0022200736,"JAN 27, 2023",IND vs. MIL,L,34,7,11,0.636,2,5,0.4,1,1,1.0,1,3,4,6,1,0,0,1,17,10,1
22022,1630537,0022200720,"JAN 25, 2023",IND @ ORL,L,39,4,9,0.444,2,5,0.4,6,8,0.75,0,2,2,5,6,0,2,3,16,3,1
22022,1630537,0022200713,"JAN 24, 2023",IND vs. CHI,W,26,2,11,0.182,2,8,0.25,5,5,1.0,2,7,9,3,1,0,2,2,11,-3,1
22022,1630537,0022200697,"JAN 21, 2023",IND @ PHX,L,17,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,1,2,-18,1
22022,1630537,0022200688,"JAN 20, 2023",IND @ DEN,L,17,5,8,0.625,1,2,0.5,7,8,0.875,0,1,1,1,2,0,2,2,18,-7,1
22022,1630537,0022200674,"JAN 18, 2023",IND @ OKC,L,22,4,11,0.364,2,5,0.4,1,2,0.5,1,4,5,3,0,0,2,2,11,-3,1
22022,1630537,0022200657,"JAN 16, 2023",IND @ MIL,L,20,2,5,0.4,2,3,0.667,0,0,0.0,0,0,0,2,0,0,0,1,6,-4,1
22022,1630537,0022200643,"JAN 14, 2023",IND vs. MEM,L,30,7,15,0.467,4,9,0.444,7,7,1.0,0,3,3,3,0,0,0,1,25,2,1
22022,1630537,0022200633,"JAN 13, 2023",IND vs. ATL,L,26,2,9,0.222,1,6,0.167,2,3,0.667,0,2,2,1,0,0,0,1,7,-24,1
