SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1628464,0022200887,"FEB 23, 2023",IND vs. BOS,L,16,3,7,0.429,1,3,0.333,1,2,0.5,3,2,5,3,1,2,1,1,8,-13,1
22022,1628464,0022200859,"FEB 13, 2023",IND vs. UTA,L,22,5,13,0.385,0,3,0.0,1,2,0.5,3,2,5,3,1,1,0,2,11,-5,1
22022,1628464,0022200836,"FEB 10, 2023",IND vs. PHX,L,15,3,5,0.6,0,1,0.0,0,2,0.0,0,2,2,1,0,1,0,0,6,6,1
22022,1628464,0022200825,"FEB 08, 2023",IND @ MIA,L,18,4,7,0.571,0,0,0.0,1,2,0.5,0,4,4,0,0,0,0,0,9,-3,1
22022,1628464,0022200803,"FEB 05, 2023",IND vs. CLE,L,15,3,6,0.5,0,1,0.0,1,2,0.5,1,1,2,1,0,2,0,1,7,-4,1
22022,1628464,0022200786,"FEB 03, 2023",IND vs. SAC,W,15,3,4,0.75,1,2,0.5,1,2,0.5,0,4,4,1,0,0,2,2,8,12,1
22022,1628464,0022200778,"FEB 02, 2023",IND vs. LAL,L,7,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-12,1
22021,1628464,0022101223,"APR 10, 2022",BOS @ MEM,W,26,5,8,0.625,0,1,0.0,1,1,1.0,5,4,9,3,0,0,0,1,11,19,1
22021,1628464,0022101198,"APR 07, 2022",BOS @ MIL,L,32,8,12,0.667,3,3,1.0,3,5,0.6,2,3,5,3,0,0,1,1,22,-5,1
22021,1628464,0022101193,"APR 06, 2022",BOS @ CHI,W,30,6,12,0.5,1,4,0.25,2,2,1.0,3,3,6,1,0,0,1,6,15,19,1
22021,1628464,0022101166,"APR 03, 2022",BOS vs. WAS,W,24,3,8,0.375,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,6,19,1
22021,1628464,0022101153,"APR 01, 2022",BOS vs. IND,W,29,5,8,0.625,0,1,0.0,0,0,0.0,2,6,8,0,1,1,2,3,10,3,1
22021,1628464,0022101139,"MAR 30, 2022",BOS vs. MIA,L,17,6,6,1.0,1,1,1.0,2,3,0.667,0,1,1,0,0,0,0,0,15,7,1
22021,1628464,0022101127,"MAR 28, 2022",BOS @ TOR,L,41,5,10,0.5,0,2,0.0,3,4,0.75,2,8,10,2,1,2,2,1,13,-11,1
22021,1628464,0022101116,"MAR 27, 2022",BOS vs. MIN,W,18,2,5,0.4,0,1,0.0,0,0,0.0,2,4,6,0,1,0,1,5,4,17,1
22021,1628464,0022101087,"MAR 23, 2022",BOS vs. UTA,W,17,5,8,0.625,1,3,0.333,0,0,0.0,1,2,3,1,2,1,0,2,11,17,1
22021,1628464,0022101078,"MAR 21, 2022",BOS @ OKC,W,19,4,6,0.667,0,0,0.0,1,1,1.0,3,5,8,0,0,1,1,6,9,-1,1
22021,1628464,0022101068,"MAR 20, 2022",BOS @ DEN,W,12,3,5,0.6,1,2,0.5,0,0,0.0,0,0,0,1,0,1,0,2,7,-5,1
22021,1628464,0022101057,"MAR 18, 2022",BOS @ SAC,W,22,4,6,0.667,1,3,0.333,2,2,1.0,1,4,5,2,2,0,2,4,11,28,1
22021,1628464,0022101042,"MAR 16, 2022",BOS @ GSW,W,11,1,1,1.0,0,0,0.0,1,1,1.0,2,3,5,0,0,0,0,2,3,6,1
22021,1628464,0022100997,"MAR 11, 2022",BOS vs. DET,W,11,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,2,0,1,1
22021,1628464,0022100981,"MAR 09, 2022",BOS @ CHA,W,5,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,1,1,1,2,-3,1
22021,1628464,0022100960,"MAR 06, 2022",BOS vs. BKN,W,11,0,0,0.0,0,0,0.0,3,8,0.375,0,1,1,1,0,1,1,0,3,11,1
22021,1628464,0022100940,"MAR 03, 2022",BOS vs. MEM,W,13,2,4,0.5,0,2,0.0,2,3,0.667,2,4,6,2,0,0,1,2,6,0,1
22021,1628464,0022100914,"FEB 27, 2022",BOS @ IND,L,15,2,4,0.5,1,2,0.5,0,0,0.0,0,5,5,1,0,1,0,3,5,-5,1
22021,1628464,0022100890,"FEB 24, 2022",BOS @ BKN,W,6,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,4,-3,1
22021,1628464,0022100875,"FEB 16, 2022",BOS vs. DET,L,16,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,0,2,0,0,1,4,3,1
22021,1628464,0022100869,"FEB 15, 2022",BOS @ PHI,W,20,2,2,1.0,1,1,1.0,0,0,0.0,0,9,9,2,0,4,0,5,5,14,1
22021,1628464,0022100640,"JAN 14, 2022",HOU @ SAC,L,6,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,1,1,2,0,-1,1
22021,1628464,0022100623,"JAN 12, 2022",HOU @ SAS,W,16,3,4,0.75,1,2,0.5,1,2,0.5,0,2,2,1,0,0,0,2,8,5,1
22021,1628464,0022100711,"JAN 10, 2022",HOU vs. PHI,L,22,4,7,0.571,3,5,0.6,1,2,0.5,1,3,4,1,2,1,1,3,12,-16,1
22021,1628464,0022100552,"JAN 03, 2022",HOU @ PHI,L,34,3,13,0.231,1,7,0.143,0,1,0.0,3,6,9,0,0,1,1,4,7,-10,1
22021,1628464,0022100543,"JAN 01, 2022",HOU vs. DEN,L,27,3,8,0.375,0,2,0.0,2,2,1.0,1,4,5,1,0,1,2,2,8,-9,1
22021,1628464,0022100501,"DEC 27, 2021",HOU @ CHA,L,22,3,8,0.375,0,2,0.0,0,2,0.0,3,1,4,1,0,0,1,0,6,-11,1
22021,1628464,0022100431,"DEC 16, 2021",HOU vs. NYK,L,33,8,12,0.667,2,4,0.5,4,5,0.8,2,8,10,1,1,2,1,4,22,10,1
22021,1628464,0022100417,"DEC 15, 2021",HOU @ CLE,L,18,2,7,0.286,0,2,0.0,1,2,0.5,1,5,6,1,1,0,2,3,5,-24,1
22021,1628464,0022100395,"DEC 11, 2021",HOU @ MEM,L,18,4,8,0.5,0,3,0.0,0,0,0.0,2,4,6,0,0,2,1,0,8,-6,1
22021,1628464,0022100352,"DEC 05, 2021",HOU vs. NOP,W,17,4,6,0.667,2,4,0.5,2,2,1.0,1,2,3,1,0,0,1,2,12,0,1
22021,1628464,0022100326,"DEC 01, 2021",HOU @ OKC,W,21,0,1,0.0,0,1,0.0,1,2,0.5,1,8,9,2,0,1,1,2,1,12,1
22021,1628464,0022100256,"NOV 22, 2021",HOU @ BOS,L,22,3,9,0.333,0,3,0.0,1,2,0.5,1,4,5,1,0,1,2,4,7,-24,1
22021,1628464,0022100239,"NOV 20, 2021",HOU @ NYK,L,23,1,6,0.167,0,4,0.0,0,0,0.0,1,4,5,1,0,1,2,2,2,-19,1
22021,1628464,0022100221,"NOV 17, 2021",HOU @ OKC,L,24,4,8,0.5,2,5,0.4,0,0,0.0,0,5,5,2,2,0,1,2,10,4,1
22021,1628464,0022100205,"NOV 15, 2021",HOU @ MEM,L,21,3,5,0.6,2,4,0.5,2,2,1.0,0,5,5,0,0,0,5,2,10,-14,1
22021,1628464,0022100195,"NOV 14, 2021",HOU vs. PHX,L,18,3,5,0.6,2,4,0.5,0,1,0.0,0,1,1,0,0,0,1,1,8,-26,1
22021,1628464,0022100177,"NOV 12, 2021",HOU vs. POR,L,29,4,9,0.444,1,5,0.2,0,0,0.0,2,3,5,1,1,1,1,5,9,6,1
22021,1628464,0022100162,"NOV 10, 2021",HOU vs. DET,L,27,3,4,0.75,0,1,0.0,0,0,0.0,0,4,4,1,1,2,1,4,6,-14,1
22021,1628464,0022100145,"NOV 07, 2021",HOU @ GSW,L,21,5,7,0.714,2,2,1.0,2,2,1.0,2,3,5,2,1,1,3,1,14,-13,1
22021,1628464,0022100133,"NOV 06, 2021",HOU @ DEN,L,32,8,12,0.667,1,2,0.5,1,2,0.5,2,3,5,0,2,0,1,2,18,-7,1
22021,1628464,0022100093,"OCT 31, 2021",HOU @ LAL,L,21,1,5,0.2,0,2,0.0,1,2,0.5,1,3,4,0,0,0,0,2,3,-12,1
22021,1628464,0022100068,"OCT 28, 2021",HOU vs. UTA,L,20,2,7,0.286,0,4,0.0,3,3,1.0,1,2,3,0,0,0,0,3,7,-18,1
22021,1628464,0022100052,"OCT 26, 2021",HOU @ DAL,L,29,5,11,0.455,3,4,0.75,2,2,1.0,4,6,10,1,0,1,1,2,15,-12,1
22021,1628464,0022100037,"OCT 24, 2021",HOU vs. BOS,L,23,3,7,0.429,0,3,0.0,0,0,0.0,0,5,5,2,0,1,0,2,6,-11,1
22021,1628464,0022100023,"OCT 22, 2021",HOU vs. OKC,W,18,1,2,0.5,0,1,0.0,1,2,0.5,0,3,3,0,0,0,0,4,3,14,1
22021,1628464,0022100008,"OCT 20, 2021",HOU @ MIN,L,21,4,6,0.667,1,2,0.5,2,2,1.0,2,3,5,0,0,0,1,2,11,-23,1
22020,1628464,0022001036,"MAY 11, 2021",CHI vs. BKN,L,21,3,4,0.75,2,2,1.0,2,2,1.0,2,4,6,2,0,1,1,4,10,-13,1
22020,1628464,0022000160,"MAY 07, 2021",CHI vs. BOS,W,29,3,9,0.333,1,3,0.333,2,2,1.0,2,6,8,0,1,0,0,3,9,7,1
22020,1628464,0022000434,"MAY 06, 2021",CHI @ CHA,W,26,5,8,0.625,1,2,0.5,1,2,0.5,4,3,7,2,2,2,3,3,12,7,1
22020,1628464,0022000979,"MAY 03, 2021",CHI vs. PHI,L,40,4,10,0.4,1,2,0.5,2,2,1.0,3,5,8,3,2,0,1,3,11,-11,1
22020,1628464,0022000959,"MAY 01, 2021",CHI @ ATL,L,29,3,8,0.375,0,3,0.0,1,2,0.5,2,5,7,0,3,0,1,0,7,-9,1
22020,1628464,0022000954,"APR 30, 2021",CHI vs. MIL,L,25,7,9,0.778,1,1,1.0,1,3,0.333,3,7,10,0,0,0,0,4,16,-8,1
22020,1628464,0022000937,"APR 28, 2021",CHI @ NYK,L,21,3,9,0.333,0,3,0.0,0,0,0.0,0,4,4,0,0,0,2,2,6,-23,1
22020,1628464,0022000922,"APR 26, 2021",CHI @ MIA,W,32,10,13,0.769,1,2,0.5,2,3,0.667,2,10,12,5,0,2,0,1,23,5,1
22020,1628464,0022000907,"APR 24, 2021",CHI @ MIA,L,26,3,6,0.5,1,2,0.5,2,2,1.0,2,4,6,2,1,0,0,3,9,-5,1
22020,1628464,0022000896,"APR 22, 2021",CHI vs. CHA,W,25,3,7,0.429,0,3,0.0,3,3,1.0,2,5,7,1,0,2,3,1,9,5,1
22020,1628464,0022000881,"APR 21, 2021",CHI @ CLE,L,20,3,6,0.5,1,3,0.333,0,0,0.0,2,2,4,1,0,0,1,2,7,-18,1
22020,1628464,0022000869,"APR 19, 2021",CHI @ BOS,W,29,3,9,0.333,0,3,0.0,0,0,0.0,2,4,6,4,1,1,1,5,6,1,1
22020,1628464,0022000857,"APR 17, 2021",CHI vs. CLE,W,23,3,8,0.375,2,6,0.333,0,0,0.0,1,2,3,1,1,0,1,1,8,-4,1
22020,1628464,0022000850,"APR 16, 2021",CHI vs. MEM,L,20,3,6,0.5,0,1,0.0,1,3,0.333,0,3,3,3,0,0,2,2,7,-10,1
22020,1628464,0022000833,"APR 14, 2021",CHI vs. ORL,L,27,7,12,0.583,1,3,0.333,1,2,0.5,4,2,6,1,1,1,1,3,16,-4,1
22020,1628464,0022000278,"APR 12, 2021",CHI @ MEM,L,27,8,12,0.667,0,3,0.0,2,3,0.667,0,4,4,2,0,0,1,1,18,-13,1
22020,1628464,0022000812,"APR 11, 2021",CHI @ MIN,L,29,5,10,0.5,2,6,0.333,1,2,0.5,1,6,7,3,3,0,1,1,13,3,1
22020,1628464,0022000791,"APR 09, 2021",CHI @ ATL,L,12,1,2,0.5,0,0,0.0,2,2,1.0,1,2,3,0,0,0,0,2,4,2,1
22020,1628464,0022000523,"APR 08, 2021",CHI @ TOR,W,27,6,9,0.667,0,1,0.0,2,3,0.667,3,7,10,3,0,0,3,2,14,16,1
22020,1628464,0022000755,"APR 04, 2021",CHI vs. BKN,W,24,4,6,0.667,2,3,0.667,0,2,0.0,0,3,3,2,0,0,1,2,10,-4,1
22020,1628464,0022000743,"APR 02, 2021",CHI @ UTA,L,20,1,5,0.2,0,2,0.0,1,2,0.5,0,5,5,1,0,1,0,0,3,-3,1
22020,1628464,0022000730,"MAR 31, 2021",CHI @ PHX,L,20,2,5,0.4,0,2,0.0,2,2,1.0,2,3,5,2,0,2,1,2,6,-4,1
22020,1628464,0022000716,"MAR 29, 2021",CHI @ GSW,L,22,3,5,0.6,0,1,0.0,0,1,0.0,1,1,2,3,1,2,1,0,6,-15,1
22020,1628464,0022000669,"MAR 24, 2021",BOS @ MIL,L,31,4,9,0.444,1,4,0.25,1,1,1.0,0,2,2,1,0,2,0,3,10,-11,1
22020,1628464,0022000658,"MAR 22, 2021",BOS @ MEM,L,25,5,12,0.417,2,2,1.0,1,2,0.5,1,5,6,4,0,0,1,2,13,-7,1
22020,1628464,0022000167,"MAR 21, 2021",BOS vs. ORL,W,32,6,11,0.545,1,4,0.25,0,0,0.0,2,9,11,3,1,1,2,3,13,27,1
22020,1628464,0022000631,"MAR 19, 2021",BOS vs. SAC,L,25,6,12,0.5,0,5,0.0,2,2,1.0,1,7,8,1,1,1,1,4,14,-3,1
22020,1628464,0022000620,"MAR 17, 2021",BOS @ CLE,L,26,0,1,0.0,0,1,0.0,0,0,0.0,2,2,4,5,0,0,2,3,0,-1,1
22020,1628464,0022000609,"MAR 16, 2021",BOS vs. UTA,L,26,7,13,0.538,1,3,0.333,0,0,0.0,3,8,11,6,0,0,0,5,15,-12,1
22020,1628464,0022000598,"MAR 14, 2021",BOS @ HOU,W,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-6,1
22020,1628464,0022000569,"MAR 11, 2021",BOS @ BKN,L,28,7,10,0.7,1,3,0.333,2,2,1.0,2,6,8,0,2,1,0,2,17,6,1
22020,1628464,0022000552,"MAR 04, 2021",BOS vs. TOR,W,7,2,3,0.667,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,1,5,0,1
22020,1628464,0022000537,"MAR 02, 2021",BOS vs. LAC,W,25,2,7,0.286,0,1,0.0,5,6,0.833,3,3,6,1,1,0,0,3,9,-5,1
22020,1628464,0022000524,"FEB 28, 2021",BOS vs. WAS,W,32,8,11,0.727,1,3,0.333,3,6,0.5,3,6,9,3,1,0,2,3,20,5,1
