SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203486,0022201229,"APR 09, 2023",LAC @ PHX,W,22,4,6,0.667,0,0,0.0,1,2,0.5,3,1,4,3,1,0,0,3,9,12,1
22022,203486,0022201215,"APR 08, 2023",LAC vs. POR,W,20,4,4,1.0,0,0,0.0,3,3,1.0,1,3,4,2,0,1,0,4,11,-1,1
22022,203486,0022201196,"APR 05, 2023",LAC vs. LAL,W,14,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,3,4,0,1
22022,203486,0022201162,"APR 01, 2023",LAC @ NOP,L,18,3,5,0.6,0,0,0.0,0,0,0.0,3,2,5,1,1,0,1,4,6,-13,1
22022,203486,0022201156,"MAR 31, 2023",LAC @ MEM,L,13,1,3,0.333,0,0,0.0,2,2,1.0,3,1,4,2,0,1,2,2,4,-22,1
22022,203486,0022201141,"MAR 29, 2023",LAC @ MEM,W,22,3,3,1.0,0,0,0.0,0,0,0.0,0,4,4,3,0,0,1,3,6,6,1
22022,203486,0022201129,"MAR 27, 2023",LAC vs. CHI,W,19,5,7,0.714,0,0,0.0,0,0,0.0,2,3,5,2,0,1,3,1,10,7,1
22022,203486,0022201112,"MAR 25, 2023",LAC vs. NOP,L,18,2,2,1.0,0,0,0.0,1,2,0.5,1,4,5,3,1,2,1,0,5,-8,1
22022,203486,0022201096,"MAR 23, 2023",LAC vs. OKC,W,24,1,2,0.5,0,0,0.0,0,0,0.0,0,7,7,0,0,1,1,0,2,28,1
22022,203486,0022201082,"MAR 21, 2023",LAC vs. OKC,L,21,3,4,0.75,0,0,0.0,0,0,0.0,4,8,12,1,0,0,2,2,6,-4,1
22022,203486,0022201069,"MAR 19, 2023",LAC @ POR,W,14,3,6,0.5,0,0,0.0,1,1,1.0,4,1,5,0,0,0,0,3,7,-11,1
22022,203486,0022201056,"MAR 18, 2023",LAC vs. ORL,L,19,2,3,0.667,0,0,0.0,4,6,0.667,1,9,10,3,1,0,0,4,8,-3,1
22022,203486,0022201041,"MAR 15, 2023",LAC vs. GSW,W,17,2,2,1.0,0,0,0.0,0,0,0.0,2,3,5,1,2,0,1,1,4,1,1
22022,203486,0022201004,"MAR 11, 2023",LAC vs. NYK,W,21,1,4,0.25,0,0,0.0,4,5,0.8,2,2,4,1,0,2,2,3,6,5,1
22022,203486,0022200991,"MAR 08, 2023",LAC vs. TOR,W,16,2,3,0.667,0,0,0.0,4,6,0.667,1,4,5,0,1,0,1,1,8,8,1
22022,203486,0022200970,"MAR 05, 2023",LAC vs. MEM,W,21,7,8,0.875,0,0,0.0,1,2,0.5,2,7,9,2,1,0,2,2,15,3,1
22022,203486,0022200954,"MAR 03, 2023",LAC @ SAC,L,26,5,7,0.714,0,0,0.0,3,5,0.6,3,5,8,3,0,1,1,3,13,1,1
22022,203486,0022200945,"MAR 02, 2023",LAC @ GSW,L,29,3,5,0.6,0,0,0.0,6,6,1.0,2,18,20,2,0,0,3,2,12,-11,1
22022,203486,0022200932,"FEB 28, 2023",LAC vs. MIN,L,14,1,2,0.5,0,0,0.0,3,3,1.0,2,7,9,0,0,0,3,3,5,-3,1
