SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629623,0022201221,"APR 09, 2023",MIL @ TOR,L,27,5,8,0.625,2,4,0.5,5,6,0.833,0,1,1,1,0,1,5,2,17,-10,1
22022,1629623,0022201208,"APR 07, 2023",MIL vs. MEM,L,41,10,20,0.5,4,10,0.4,1,1,1.0,0,5,5,11,0,1,5,3,25,-27,1
22022,1629623,0022201122,"MAR 27, 2023",MIL @ DET,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-3,1
22022,1629623,0022201102,"MAR 24, 2023",MIL @ UTA,W,8,1,4,0.25,0,2,0.0,2,2,1.0,0,1,1,1,0,0,1,1,4,-6,1
22022,1629623,0022201089,"MAR 22, 2023",MIL vs. SAS,W,6,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,11,1
22022,1629623,0022201045,"MAR 16, 2023",MIL vs. IND,L,2,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1
22022,1629623,0022200978,"MAR 07, 2023",MIL @ ORL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1
22021,1629623,0022101218,"APR 10, 2022",MIL @ CLE,L,40,7,15,0.467,2,6,0.333,2,6,0.333,1,2,3,8,1,0,2,4,18,-14,1
22021,1629623,0022101203,"APR 08, 2022",MIL @ DET,W,8,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,2,0,0,0,1,2,5,1
22021,1629623,0022101156,"APR 01, 2022",MIL vs. LAC,L,25,3,8,0.375,0,2,0.0,4,7,0.571,0,3,3,4,1,0,2,3,10,-15,1
22021,1629623,0022101112,"MAR 26, 2022",MIL @ MEM,L,5,1,3,0.333,0,2,0.0,1,2,0.5,0,0,0,1,0,0,1,0,3,-6,1
22021,1629623,0022100979,"MAR 08, 2022",MIL @ OKC,W,6,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,8,1
22021,1629623,0022100961,"MAR 06, 2022",MIL vs. PHX,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22021,1629623,0022100949,"MAR 04, 2022",MIL @ CHI,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22021,1629623,0022100924,"FEB 28, 2022",MIL vs. CHA,W,10,1,3,0.333,0,1,0.0,1,5,0.2,1,0,1,0,0,0,1,1,3,-10,1
22021,1629623,0022100910,"FEB 26, 2022",MIL vs. BKN,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22021,1629623,0022100887,"FEB 17, 2022",MIL vs. PHI,L,16,0,1,0.0,0,0,0.0,2,2,1.0,0,5,5,0,0,0,0,0,2,6,1
22021,1629623,0022100870,"FEB 15, 2022",MIL vs. IND,W,28,4,8,0.5,3,6,0.5,1,3,0.333,0,2,2,1,1,0,2,1,12,1,1
22021,1629623,0022100862,"FEB 14, 2022",MIL vs. POR,L,17,2,6,0.333,1,3,0.333,6,8,0.75,0,4,4,1,0,0,0,1,11,13,1
22021,1629623,0022100836,"FEB 10, 2022",MIL @ PHX,L,18,2,5,0.4,1,2,0.5,0,0,0.0,1,2,3,2,0,0,3,3,5,-11,1
22021,1629623,0022100822,"FEB 08, 2022",MIL @ LAL,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22021,1629623,0022100809,"FEB 06, 2022",MIL @ LAC,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22021,1629623,0022100800,"FEB 05, 2022",MIL @ POR,W,12,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,3,1,1,0,2,5,-2,1
22021,1629623,0022100756,"JAN 30, 2022",MIL vs. DEN,L,6,3,3,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0,7,-11,1
22021,1629623,0022100744,"JAN 28, 2022",MIL vs. NYK,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
22021,1629623,0022100627,"JAN 13, 2022",MIL vs. GSW,W,5,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,-8,1
