SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,203086,0022201221,"APR 09, 2023",MIL @ TOR,L,31,3,4,0.75,1,2,0.5,3,3,1.0,5,7,12,1,1,0,1,3,10,-10,1
22022,203086,0022201208,"APR 07, 2023",MIL vs. MEM,L,26,3,9,0.333,1,5,0.2,2,2,1.0,3,4,7,0,0,0,3,4,9,-4,1
22022,203086,0022201193,"APR 05, 2023",MIL vs. CHI,W,7,0,2,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,2,0,-9,1
22022,203086,0022201045,"MAR 16, 2023",MIL vs. IND,L,16,4,4,1.0,1,1,1.0,1,2,0.5,0,3,3,0,0,0,0,1,10,-5,1
22022,203086,0022200978,"MAR 07, 2023",MIL @ ORL,W,8,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,0,0,1,2,3,-6,1
22022,203086,0022200939,"MAR 01, 2023",MIL vs. ORL,W,5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1,1
22022,203086,0022200924,"FEB 28, 2023",MIL @ BKN,W,2,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,3,2,1
22022,203086,0022200910,"FEB 26, 2023",MIL vs. PHX,W,5,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,5,1
22022,203086,0022200897,"FEB 24, 2023",MIL vs. MIA,W,15,1,3,0.333,1,2,0.5,2,2,1.0,2,4,6,0,1,0,1,3,5,0,1
22020,203086,0022000136,"JAN 09, 2021",MIA @ WAS,W,8,0,1,0.0,0,1,0.0,1,2,0.5,0,4,4,1,0,0,1,0,1,5,1
22020,203086,0022000051,"DEC 29, 2020",MIA vs. MIL,L,2,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-10,1
22020,203086,0022000005,"DEC 25, 2020",MIA vs. NOP,W,20,3,5,0.6,3,5,0.6,0,0,0.0,0,2,2,1,0,0,1,5,9,1,1
22019,203086,0021901316,"AUG 14, 2020",MIA @ IND,L,29,3,7,0.429,2,5,0.4,1,2,0.5,2,5,7,0,0,0,3,0,9,-10,1
22019,203086,0021901306,"AUG 12, 2020",MIA @ OKC,L,18,0,4,0.0,0,4,0.0,0,0,0.0,1,4,5,2,1,0,1,4,0,-8,1
22019,203086,0021900747,"FEB 03, 2020",MIA vs. PHI,W,16,1,3,0.333,1,2,0.5,0,2,0.0,0,5,5,0,0,0,0,2,3,4,1
22019,203086,0021900729,"FEB 01, 2020",MIA @ ORL,W,29,7,14,0.5,4,9,0.444,0,0,0.0,1,13,14,1,0,0,2,5,18,6,1
22019,203086,0021900701,"JAN 28, 2020",MIA vs. BOS,L,11,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,-11,1
22019,203086,0021900694,"JAN 27, 2020",MIA vs. ORL,W,20,2,2,1.0,1,1,1.0,0,0,0.0,0,8,8,0,0,0,0,2,5,24,1
22019,203086,0021900673,"JAN 24, 2020",MIA vs. LAC,L,26,3,6,0.5,0,1,0.0,1,1,1.0,1,1,2,0,0,0,1,2,7,-11,1
22019,203086,0021900658,"JAN 22, 2020",MIA vs. WAS,W,14,1,3,0.333,0,0,0.0,1,2,0.5,0,3,3,0,0,1,1,3,3,-9,1
22019,203086,0021900644,"JAN 20, 2020",MIA vs. SAC,W,20,3,6,0.5,1,4,0.25,0,0,0.0,1,5,6,2,3,0,1,1,7,2,1
22019,203086,0021900637,"JAN 19, 2020",MIA @ SAS,L,29,1,7,0.143,1,6,0.167,2,2,1.0,2,4,6,2,0,0,0,3,5,7,1
22019,203086,0021900623,"JAN 17, 2020",MIA @ OKC,W,15,3,4,0.75,2,2,1.0,1,1,1.0,1,2,3,2,0,0,0,0,9,9,1
22019,203086,0021900606,"JAN 15, 2020",MIA vs. SAS,W,28,3,4,0.75,1,2,0.5,0,0,0.0,0,6,6,2,1,0,0,1,7,5,1
22019,203086,0021900584,"JAN 12, 2020",MIA @ NYK,L,24,2,3,0.667,2,3,0.667,1,2,0.5,1,3,4,3,0,0,1,2,7,-4,1
22019,203086,0021900568,"JAN 10, 2020",MIA @ BKN,L,27,1,3,0.333,0,2,0.0,0,0,0.0,0,8,8,2,0,0,1,4,2,-1,1
22019,203086,0021900556,"JAN 08, 2020",MIA @ IND,W,30,2,5,0.4,2,5,0.4,0,0,0.0,0,8,8,2,1,0,0,5,6,0,1
22019,203086,0021900535,"JAN 05, 2020",MIA vs. POR,W,23,4,8,0.5,3,7,0.429,0,0,0.0,0,9,9,3,0,0,0,1,11,11,1
22019,203086,0021900518,"JAN 03, 2020",MIA @ ORL,L,27,3,8,0.375,2,6,0.333,0,0,0.0,0,7,7,1,1,0,1,3,8,-13,1
22019,203086,0021900510,"JAN 02, 2020",MIA vs. TOR,W,21,3,7,0.429,1,3,0.333,1,1,1.0,0,2,2,0,0,0,0,0,8,-4,1
22019,203086,0021900492,"DEC 30, 2019",MIA @ WAS,L,24,2,3,0.667,1,1,1.0,2,2,1.0,3,4,7,1,0,0,2,3,7,10,1
22019,203086,0021900475,"DEC 28, 2019",MIA vs. PHI,W,30,3,5,0.6,1,2,0.5,0,0,0.0,1,7,8,1,0,1,1,2,7,19,1
22019,203086,0021900470,"DEC 27, 2019",MIA vs. IND,W,19,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-8,1
22019,203086,0021900449,"DEC 23, 2019",MIA vs. UTA,W,22,4,5,0.8,1,1,1.0,2,2,1.0,3,7,10,0,0,0,2,0,11,-2,1
22019,203086,0021900424,"DEC 20, 2019",MIA vs. NYK,W,22,3,5,0.6,0,1,0.0,1,2,0.5,2,11,13,2,0,0,0,4,7,28,1
22019,203086,0021900410,"DEC 18, 2019",MIA @ PHI,W,29,2,7,0.286,2,5,0.4,0,0,0.0,2,3,5,2,0,1,1,2,6,-1,1
22019,203086,0021900397,"DEC 16, 2019",MIA @ MEM,L,17,1,2,0.5,1,2,0.5,0,0,0.0,1,3,4,2,0,1,0,3,3,7,1
22019,203086,0021900384,"DEC 14, 2019",MIA @ DAL,W,16,4,7,0.571,2,5,0.4,0,0,0.0,0,4,4,1,0,0,0,2,10,4,1
22019,203086,0021900374,"DEC 13, 2019",MIA vs. LAL,L,14,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,2,5,-13,1
22019,203086,0021900354,"DEC 10, 2019",MIA vs. ATL,W,12,2,4,0.5,0,2,0.0,0,0,0.0,0,3,3,2,0,1,0,1,4,9,1
22019,203086,0021900337,"DEC 08, 2019",MIA vs. CHI,W,14,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-7,1
22019,203086,0021900324,"DEC 06, 2019",MIA vs. WAS,W,14,1,2,0.5,0,0,0.0,1,1,1.0,1,2,3,3,0,1,0,1,3,4,1
22019,203086,0021900310,"DEC 04, 2019",MIA @ BOS,L,20,1,4,0.25,1,2,0.5,0,0,0.0,1,4,5,0,0,1,0,3,3,-11,1
22019,203086,0021900301,"DEC 03, 2019",MIA @ TOR,W,17,3,4,0.75,2,3,0.667,0,0,0.0,0,8,8,2,0,0,0,3,8,8,1
22019,203086,0021900284,"DEC 01, 2019",MIA @ BKN,W,19,3,5,0.6,3,5,0.6,0,0,0.0,1,5,6,1,1,0,1,1,9,-2,1
