SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630540,0022201220,"APR 09, 2023",NYK vs. IND,L,12,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,2,5,-12,1
22022,1630540,0022201209,"APR 07, 2023",NYK @ NOP,L,18,3,7,0.429,1,3,0.333,0,0,0.0,0,1,1,0,1,0,0,0,7,-8,1
22022,1630540,0022201190,"APR 05, 2023",NYK @ IND,W,13,1,6,0.167,0,3,0.0,1,2,0.5,0,0,0,3,0,0,1,3,3,-23,1
22022,1630540,0022201168,"APR 02, 2023",NYK vs. WAS,W,9,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-13,1
22022,1630540,0022201154,"MAR 31, 2023",NYK @ CLE,W,10,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,11,1
22022,1630540,0022201124,"MAR 27, 2023",NYK vs. HOU,W,18,1,4,0.25,0,2,0.0,1,2,0.5,0,2,2,4,2,1,2,3,3,4,1
22022,1630540,0022201093,"MAR 23, 2023",NYK @ ORL,L,6,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,1,0,1,0,3,-12,1
22022,1630540,0022201084,"MAR 22, 2023",NYK @ MIA,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22022,1630540,0022201034,"MAR 14, 2023",NYK @ POR,W,25,6,8,0.75,4,5,0.8,2,4,0.5,0,1,1,3,1,2,0,1,18,17,1
22022,1630540,0022201019,"MAR 12, 2023",NYK @ LAL,W,17,3,5,0.6,2,4,0.5,0,0,0.0,2,0,2,1,3,0,0,1,8,15,1
22022,1630540,0022201004,"MAR 11, 2023",NYK @ LAC,L,6,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,1,1,0,1,2,-2,1
22022,1630540,0022200997,"MAR 09, 2023",NYK @ SAC,L,7,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,3,0,0,0,1,0,8,1
22022,1630540,0022200979,"MAR 07, 2023",NYK vs. CHA,L,13,3,5,0.6,1,2,0.5,0,0,0.0,0,0,0,0,2,2,0,0,7,8,1
22022,1630540,0022200969,"MAR 05, 2023",NYK @ BOS,W,8,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2,1
22022,1630540,0022200937,"MAR 01, 2023",NYK vs. BKN,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22022,1630540,0022200921,"FEB 27, 2023",NYK vs. BOS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
