SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1630598,0022201226,"APR 09, 2023",OKC vs. MEM,W,8,3,4,0.75,0,1,0.0,0,0,0.0,2,0,2,0,0,0,1,0,6,1,1
22022,1630598,0022201200,"APR 06, 2023",OKC @ UTA,W,28,5,9,0.556,1,4,0.25,4,4,1.0,0,4,4,3,3,0,0,2,15,19,1
22022,1630598,0022201187,"APR 04, 2023",OKC @ GSW,L,27,4,8,0.5,1,2,0.5,2,2,1.0,0,3,3,0,0,0,0,3,11,-6,1
22022,1630598,0022201172,"APR 02, 2023",OKC vs. PHX,L,22,5,8,0.625,2,3,0.667,2,2,1.0,0,1,1,0,0,0,0,2,14,-8,1
22022,1630598,0022201149,"MAR 31, 2023",OKC @ IND,L,28,5,6,0.833,1,2,0.5,1,1,1.0,2,1,3,2,1,1,1,3,12,-5,1
22022,1630598,0022201142,"MAR 29, 2023",OKC vs. DET,W,32,8,11,0.727,3,3,1.0,0,0,0.0,1,3,4,2,1,2,1,3,19,2,1
22022,1630598,0022201134,"MAR 28, 2023",OKC vs. CHA,L,12,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,0,1,0,1,0,2,5,1
22022,1630598,0022201120,"MAR 26, 2023",OKC @ POR,W,8,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-7,1
22022,1630598,0022201106,"MAR 24, 2023",OKC @ LAL,L,12,2,3,0.667,1,1,1.0,1,2,0.5,1,3,4,0,1,0,2,0,6,-10,1
22022,1630598,0022201096,"MAR 23, 2023",OKC @ LAC,L,13,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,0,0,1,3,3,-6,1
22022,1630598,0022201082,"MAR 21, 2023",OKC @ LAC,W,20,1,3,0.333,0,0,0.0,0,0,0.0,1,5,6,1,0,0,0,2,2,7,1
22022,1630598,0022201064,"MAR 19, 2023",OKC vs. PHX,W,12,3,4,0.75,0,0,0.0,1,1,1.0,1,1,2,0,2,0,0,1,7,8,1
22022,1630598,0022201044,"MAR 16, 2023",OKC @ TOR,L,9,0,1,0.0,0,0,0.0,2,2,1.0,0,3,3,0,0,0,2,0,2,-1,1
22022,1630598,0022201031,"MAR 14, 2023",OKC vs. BKN,W,11,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,1,4,-7,1
22022,1630598,0022201018,"MAR 12, 2023",OKC @ SAS,W,20,2,6,0.333,1,3,0.333,0,0,0.0,1,3,4,1,0,0,0,1,5,16,1
22022,1630598,0022201011,"MAR 11, 2023",OKC @ NOP,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1
22022,1630598,0022200990,"MAR 08, 2023",OKC @ PHX,L,18,3,8,0.375,0,2,0.0,0,0,0.0,0,1,1,0,1,0,2,0,6,-23,1
22022,1630598,0022200982,"MAR 07, 2023",OKC vs. GSW,W,33,5,12,0.417,1,3,0.333,2,2,1.0,3,1,4,0,1,1,1,2,13,-14,1
22022,1630598,0022200968,"MAR 05, 2023",OKC vs. UTA,W,15,0,4,0.0,0,1,0.0,1,2,0.5,0,1,1,2,0,1,1,0,1,8,1
22022,1630598,0022200951,"MAR 03, 2023",OKC vs. UTA,W,27,12,16,0.75,1,2,0.5,2,4,0.5,2,2,4,0,2,0,0,3,27,19,1
22022,1630598,0022200940,"MAR 01, 2023",OKC vs. LAL,L,23,4,7,0.571,0,2,0.0,0,0,0.0,1,3,4,0,2,1,0,2,8,1,1
22022,1630598,0022200928,"FEB 28, 2023",OKC vs. SAC,L,29,4,10,0.4,2,4,0.5,0,0,0.0,2,4,6,3,0,0,1,2,10,4,1
22022,1630598,0022200915,"FEB 26, 2023",OKC vs. SAC,L,24,3,6,0.5,1,3,0.333,0,0,0.0,2,0,2,3,2,0,0,0,7,-10,1
22022,1630598,0022200899,"FEB 24, 2023",OKC @ PHX,L,19,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,1,1,3,4,4,-21,1
22022,1630598,0022200880,"FEB 15, 2023",OKC vs. HOU,W,10,1,1,1.0,0,0,0.0,4,4,1.0,1,1,2,0,0,0,0,1,6,-8,1
22022,1630598,0022200864,"FEB 13, 2023",OKC vs. NOP,L,12,1,1,1.0,1,1,1.0,0,0,0.0,1,0,1,1,0,0,1,0,3,-1,1
22022,1630598,0022200843,"FEB 10, 2023",OKC @ POR,W,21,1,5,0.2,0,1,0.0,0,0,0.0,2,2,4,1,0,0,1,5,2,-10,1
22022,1630598,0022200821,"FEB 07, 2023",OKC @ LAL,W,22,2,5,0.4,1,1,1.0,0,0,0.0,0,3,3,0,0,1,0,3,5,4,1
22022,1630598,0022200814,"FEB 06, 2023",OKC @ GSW,L,25,8,10,0.8,2,3,0.667,1,1,1.0,1,1,2,1,2,0,0,0,19,-12,1
22022,1630598,0022200799,"FEB 04, 2023",OKC vs. HOU,W,23,4,9,0.444,1,5,0.2,0,0,0.0,0,1,1,1,0,1,0,1,9,34,1
22022,1630598,0022200773,"FEB 01, 2023",OKC @ HOU,L,17,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,8,1
22022,1630598,0022200759,"JAN 30, 2023",OKC vs. GSW,L,23,1,2,0.5,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,1,3,-8,1
22022,1630598,0022200739,"JAN 27, 2023",OKC vs. CLE,W,31,4,6,0.667,0,2,0.0,2,2,1.0,1,6,7,2,2,0,2,3,10,8,1
22022,1630598,0022200725,"JAN 25, 2023",OKC vs. ATL,L,14,3,4,0.75,3,4,0.75,0,0,0.0,1,3,4,2,1,0,1,1,9,6,1
22022,1630598,0022200702,"JAN 22, 2023",OKC @ DEN,W,16,1,3,0.333,0,1,0.0,2,2,1.0,4,0,4,1,0,0,0,3,4,-3,1
22022,1630598,0022200674,"JAN 18, 2023",OKC vs. IND,W,26,5,10,0.5,0,3,0.0,0,1,0.0,1,0,1,4,0,0,1,2,10,-11,1
22022,1630598,0022200651,"JAN 15, 2023",OKC @ BKN,W,9,2,4,0.5,1,1,1.0,0,0,0.0,0,0,0,0,1,1,1,1,5,-12,1
22022,1630598,0022200636,"JAN 13, 2023",OKC @ CHI,W,16,2,4,0.5,0,0,0.0,2,2,1.0,1,2,3,1,0,1,1,3,6,4,1
22022,1630598,0022200611,"JAN 10, 2023",OKC @ MIA,L,13,3,5,0.6,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,3,6,-1,1
22022,1630598,0022200602,"JAN 08, 2023",OKC vs. DAL,W,16,2,5,0.4,2,3,0.667,0,0,0.0,2,1,3,5,0,0,0,2,6,6,1
22022,1630598,0022200584,"JAN 06, 2023",OKC vs. WAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1
22022,1630598,0022200566,"JAN 04, 2023",OKC @ ORL,L,11,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,1,2,-9,1
22022,1630598,0022200562,"JAN 03, 2023",OKC vs. BOS,W,32,7,8,0.875,2,2,1.0,1,1,1.0,2,4,6,3,0,0,2,0,17,22,1
22022,1630598,0022200523,"DEC 29, 2022",OKC @ CHA,L,17,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,2,0,-6,1
22022,1630598,0022200511,"DEC 27, 2022",OKC vs. SAS,W,24,5,9,0.556,1,1,1.0,1,1,1.0,4,2,6,0,1,0,3,2,12,13,1
22022,1630598,0022200488,"DEC 23, 2022",OKC vs. NOP,L,6,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,2,0,0,-2,1
22022,1630598,0022200474,"DEC 21, 2022",OKC vs. POR,W,10,0,4,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,1,0,-2,1
22022,1630598,0022200458,"DEC 19, 2022",OKC vs. POR,W,25,4,9,0.444,0,3,0.0,4,4,1.0,2,2,4,1,1,0,0,2,12,-21,1
22022,1630598,0022200443,"DEC 17, 2022",OKC vs. MEM,W,21,4,8,0.5,2,5,0.4,4,6,0.667,1,6,7,4,0,0,1,1,14,11,1
22022,1630598,0022200435,"DEC 16, 2022",OKC vs. MIN,L,28,6,11,0.545,2,5,0.4,0,0,0.0,1,5,6,1,0,0,3,4,14,7,1
22022,1630598,0022200419,"DEC 14, 2022",OKC vs. MIA,L,25,3,3,1.0,0,0,0.0,2,3,0.667,2,2,4,1,3,0,1,3,8,-17,1
22022,1630598,0022200390,"DEC 10, 2022",OKC @ CLE,L,7,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,-2,1
22022,1630598,0022200368,"DEC 07, 2022",OKC @ MEM,L,16,3,5,0.6,0,0,0.0,0,0,0.0,0,4,4,1,0,0,2,3,6,4,1
22022,1630598,0022200354,"DEC 05, 2022",OKC @ ATL,W,13,0,2,0.0,0,1,0.0,1,2,0.5,4,0,4,3,0,0,0,0,1,3,1
22022,1630598,0022200319,"NOV 30, 2022",OKC vs. SAS,W,6,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-11,1
22022,1630598,0022200287,"NOV 26, 2022",OKC @ HOU,L,23,5,10,0.5,3,6,0.5,2,2,1.0,1,1,2,0,3,0,0,1,15,-2,1
22022,1630598,0022200254,"NOV 21, 2022",OKC vs. NYK,L,11,1,1,1.0,0,0,0.0,2,2,1.0,0,3,3,0,0,0,1,0,4,-4,1
22022,1630598,0022200229,"NOV 18, 2022",OKC @ MEM,L,21,4,7,0.571,2,4,0.5,0,0,0.0,2,3,5,5,0,0,1,3,10,-1,1
22022,1630598,0022200213,"NOV 16, 2022",OKC @ WAS,W,27,3,4,0.75,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,2,7,-5,1
22022,1630598,0022200201,"NOV 14, 2022",OKC @ BOS,L,14,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,1,0,0,1,0,4,-8,1
22022,1630598,0022200192,"NOV 13, 2022",OKC @ NYK,W,21,1,3,0.333,1,1,1.0,0,0,0.0,0,3,3,2,1,0,0,5,3,2,1
22022,1630598,0022200179,"NOV 11, 2022",OKC vs. TOR,W,34,6,12,0.5,1,4,0.25,4,5,0.8,1,4,5,7,1,1,1,4,17,13,1
22022,1630598,0022200168,"NOV 09, 2022",OKC vs. MIL,L,7,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,0,0,7,1
22022,1630598,0022200136,"NOV 05, 2022",OKC @ MIL,L,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,3,0,1,1
22022,1630598,0022200105,"NOV 01, 2022",OKC vs. ORL,W,13,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,0,0,0,2,1,3,-14,1
22022,1630598,0022200086,"OCT 29, 2022",OKC @ DAL,W,28,2,5,0.4,0,1,0.0,1,2,0.5,2,3,5,4,0,0,0,0,5,18,1
22022,1630598,0022200067,"OCT 27, 2022",OKC vs. LAC,W,35,4,7,0.571,3,6,0.5,0,0,0.0,1,5,6,3,1,0,1,3,11,16,1
22022,1630598,0022200054,"OCT 25, 2022",OKC vs. LAC,W,28,5,14,0.357,0,1,0.0,1,1,1.0,3,7,10,0,3,1,1,2,11,18,1
22022,1630598,0022200041,"OCT 23, 2022",OKC vs. MIN,L,25,1,3,0.333,0,2,0.0,3,4,0.75,0,2,2,1,0,1,0,0,5,-7,1
22022,1630598,0022200035,"OCT 22, 2022",OKC @ DEN,L,16,1,3,0.333,1,2,0.5,2,2,1.0,0,6,6,1,0,0,0,1,5,7,1
