SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629026,0022200928,"FEB 28, 2023",OKC vs. SAC,L,29,5,9,0.556,0,2,0.0,1,2,0.5,1,3,4,0,5,0,3,5,11,14,1
22022,1629026,0022200915,"FEB 26, 2023",OKC vs. SAC,L,20,3,8,0.375,0,3,0.0,1,3,0.333,1,4,5,2,2,0,2,4,7,1,1
22022,1629026,0022200899,"FEB 24, 2023",OKC @ PHX,L,28,3,9,0.333,1,2,0.5,1,2,0.5,2,3,5,3,1,0,0,5,8,-2,1
22022,1629026,0022200892,"FEB 23, 2023",OKC @ UTA,L,28,7,10,0.7,2,4,0.5,0,0,0.0,0,4,4,3,0,0,0,3,16,6,1
22022,1629026,0022200880,"FEB 15, 2023",OKC vs. HOU,W,18,3,7,0.429,0,2,0.0,0,0,0.0,2,3,5,2,0,1,1,1,6,23,1
22022,1629026,0022200864,"FEB 13, 2023",OKC vs. NOP,L,31,4,7,0.571,1,1,1.0,0,0,0.0,5,3,8,3,1,1,2,2,9,1,1
22022,1629026,0022200843,"FEB 10, 2023",OKC @ POR,W,27,4,9,0.444,0,3,0.0,0,0,0.0,0,3,3,0,2,0,0,2,8,2,1
22022,1629026,0022200821,"FEB 07, 2023",OKC @ LAL,W,30,3,6,0.5,1,4,0.25,1,2,0.5,1,3,4,5,1,0,1,2,8,-12,1
22022,1629026,0022200814,"FEB 06, 2023",OKC @ GSW,L,19,4,8,0.5,1,5,0.2,0,0,0.0,2,2,4,2,0,0,2,0,9,-14,1
22022,1629026,0022200799,"FEB 04, 2023",OKC vs. HOU,W,11,4,5,0.8,2,2,1.0,0,0,0.0,1,2,3,4,1,0,0,2,10,14,1
22022,1629026,0022200773,"FEB 01, 2023",OKC @ HOU,L,30,6,12,0.5,1,5,0.2,0,0,0.0,3,3,6,2,3,0,1,3,13,-1,1
22022,1629026,0022200759,"JAN 30, 2023",OKC vs. GSW,L,33,3,9,0.333,0,2,0.0,1,2,0.5,2,6,8,2,3,0,2,1,7,-1,1
22022,1629026,0022200739,"JAN 27, 2023",OKC vs. CLE,W,20,3,5,0.6,1,2,0.5,0,0,0.0,3,4,7,1,0,1,0,1,7,8,1
22022,1629026,0022200725,"JAN 25, 2023",OKC vs. ATL,L,30,4,10,0.4,1,6,0.167,0,0,0.0,2,5,7,7,0,0,1,3,9,19,1
22022,1629026,0022200702,"JAN 22, 2023",OKC @ DEN,W,25,4,7,0.571,3,5,0.6,0,0,0.0,2,4,6,4,1,0,0,4,11,-3,1
22022,1629026,0022200691,"JAN 20, 2023",OKC @ SAC,L,26,1,8,0.125,1,6,0.167,0,2,0.0,3,3,6,3,0,0,1,1,3,2,1
22022,1629026,0022200674,"JAN 18, 2023",OKC vs. IND,W,22,5,8,0.625,2,4,0.5,0,0,0.0,3,2,5,10,1,2,1,2,12,24,1
22022,1629026,0022200651,"JAN 15, 2023",OKC @ BKN,W,23,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,1,1,0,0,2,2,9,1
22022,1629026,0022200636,"JAN 13, 2023",OKC @ CHI,W,24,3,9,0.333,2,4,0.5,0,0,0.0,2,6,8,0,1,0,0,0,8,7,1
22022,1629026,0022200626,"JAN 12, 2023",OKC @ PHI,W,17,3,5,0.6,2,3,0.667,0,0,0.0,0,4,4,1,0,1,1,1,8,-2,1
22022,1629026,0022200611,"JAN 10, 2023",OKC @ MIA,L,24,6,8,0.75,1,3,0.333,0,2,0.0,1,3,4,1,1,0,0,0,13,6,1
22022,1629026,0022200602,"JAN 08, 2023",OKC vs. DAL,W,25,6,9,0.667,2,3,0.667,0,0,0.0,5,5,10,2,1,0,0,2,14,-12,1
22022,1629026,0022200584,"JAN 06, 2023",OKC vs. WAS,W,24,3,4,0.75,2,2,1.0,0,0,0.0,0,4,4,1,0,1,0,3,8,-3,1
22022,1629026,0022200566,"JAN 04, 2023",OKC @ ORL,L,20,5,7,0.714,2,2,1.0,0,0,0.0,5,4,9,1,1,0,1,5,12,-14,1
