SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629643,0022201219,"APR 09, 2023",ORL @ MIA,L,33,5,11,0.455,4,8,0.5,0,0,0.0,1,3,4,5,3,0,2,1,14,-14,1
22022,1629643,0022201207,"APR 07, 2023",ORL @ BKN,L,25,2,9,0.222,1,8,0.125,0,0,0.0,2,4,6,3,1,0,3,1,5,-15,1
22022,1629643,0022201197,"APR 06, 2023",ORL vs. CLE,L,32,1,6,0.167,0,3,0.0,0,0,0.0,1,4,5,3,3,2,1,3,2,-10,1
22022,1629643,0022201169,"APR 02, 2023",ORL vs. DET,W,11,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,-1,1
22022,1629643,0022201118,"MAR 26, 2023",ORL vs. BKN,W,4,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,1
22022,1629643,0022201007,"MAR 11, 2023",ORL vs. MIA,W,3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3,1
22022,1629643,0022200978,"MAR 07, 2023",ORL vs. MIL,L,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3,1
22022,1629643,0022200939,"MAR 01, 2023",ORL @ MIL,L,5,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,3,1,1
22022,1629643,0022200868,"FEB 14, 2023",ORL @ TOR,L,13,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-5,1
22022,1629643,0022200249,"NOV 21, 2022",ORL @ IND,L,12,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-9,1
22022,1629643,0022200236,"NOV 19, 2022",ORL @ IND,L,25,1,3,0.333,1,3,0.333,1,2,0.5,1,2,3,1,2,0,0,1,4,-7,1
22022,1629643,0022200227,"NOV 18, 2022",ORL @ CHI,W,29,1,5,0.2,0,2,0.0,2,2,1.0,0,7,7,2,1,2,0,4,4,-12,1
22022,1629643,0022200212,"NOV 16, 2022",ORL vs. MIN,L,32,2,8,0.25,1,6,0.167,0,0,0.0,0,5,5,1,2,0,1,3,5,-11,1
22022,1629643,0022200200,"NOV 14, 2022",ORL vs. CHA,L,33,4,10,0.4,2,6,0.333,0,0,0.0,2,1,3,0,1,1,0,2,10,-13,1
22022,1629643,0022200177,"NOV 11, 2022",ORL vs. PHX,W,30,4,10,0.4,2,6,0.333,1,1,1.0,3,2,5,3,1,1,0,1,11,13,1
22022,1629643,0022200161,"NOV 09, 2022",ORL vs. DAL,W,32,2,5,0.4,1,2,0.5,3,6,0.5,1,6,7,2,0,1,3,4,8,4,1
22022,1629643,0022200145,"NOV 07, 2022",ORL vs. HOU,L,16,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,2,0,1,0,1,2,-6,1
22022,1629643,0022200132,"NOV 05, 2022",ORL vs. SAC,L,23,2,6,0.333,0,3,0.0,0,0,0.0,2,4,6,0,2,2,1,1,4,-12,1
22022,1629643,0022200118,"NOV 03, 2022",ORL vs. GSW,W,27,4,6,0.667,3,5,0.6,5,6,0.833,2,7,9,3,0,1,0,2,16,13,1
22022,1629643,0022200105,"NOV 01, 2022",ORL @ OKC,L,13,2,3,0.667,2,3,0.667,0,0,0.0,2,3,5,1,1,0,3,1,6,-12,1
22022,1629643,0022200093,"OCT 30, 2022",ORL @ DAL,L,25,2,5,0.4,1,4,0.25,0,0,0.0,2,6,8,3,0,0,0,2,5,-14,1
22022,1629643,0022200071,"OCT 28, 2022",ORL vs. CHA,W,29,3,7,0.429,2,5,0.4,2,2,1.0,1,5,6,2,1,0,0,4,10,0,1
22022,1629643,0022200056,"OCT 26, 2022",ORL @ CLE,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,4,1
22022,1629643,0022200046,"OCT 24, 2022",ORL @ NYK,L,12,0,5,0.0,0,5,0.0,0,0,0.0,1,1,2,2,0,0,1,2,0,-4,1
22022,1629643,0022200030,"OCT 22, 2022",ORL vs. BOS,L,16,3,3,1.0,2,2,1.0,0,0,0.0,2,2,4,2,0,0,0,3,8,-1,1
22022,1629643,0022200020,"OCT 21, 2022",ORL @ ATL,L,14,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,0,1
22022,1629643,0022200003,"OCT 19, 2022",ORL @ DET,L,18,0,3,0.0,0,1,0.0,2,2,1.0,1,3,4,1,0,0,0,2,2,-7,1
22021,1629643,0022101227,"APR 10, 2022",ORL vs. MIA,W,29,6,13,0.462,5,12,0.417,0,0,0.0,0,6,6,0,1,1,1,2,17,-4,1
22021,1629643,0022101196,"APR 07, 2022",ORL @ CHA,L,34,8,15,0.533,4,11,0.364,0,0,0.0,1,6,7,4,3,2,0,2,20,6,1
22021,1629643,0022101179,"APR 05, 2022",ORL vs. CLE,W,33,3,9,0.333,3,7,0.429,2,2,1.0,1,8,9,2,2,1,0,2,11,-1,1
22021,1629643,0022101171,"APR 03, 2022",ORL vs. NYK,L,20,1,7,0.143,1,6,0.167,1,2,0.5,0,5,5,1,1,0,0,0,4,-27,1
22021,1629643,0022101151,"APR 01, 2022",ORL vs. TOR,L,24,2,6,0.333,2,6,0.333,0,0,0.0,0,2,2,1,2,0,2,0,6,-19,1
22021,1629643,0022101138,"MAR 30, 2022",ORL @ WAS,L,30,2,9,0.222,2,6,0.333,0,0,0.0,2,6,8,1,0,0,1,3,6,-7,1
22021,1629643,0022101123,"MAR 28, 2022",ORL @ CLE,L,25,3,11,0.273,1,6,0.167,0,0,0.0,0,5,5,3,1,0,2,0,7,-8,1
22021,1629643,0022101108,"MAR 26, 2022",ORL vs. SAC,L,34,2,7,0.286,2,6,0.333,0,0,0.0,0,4,4,1,0,2,1,1,6,-7,1
22021,1629643,0022101091,"MAR 23, 2022",ORL @ OKC,L,35,6,16,0.375,5,10,0.5,2,2,1.0,0,5,5,0,0,1,1,3,19,10,1
22021,1629643,0022101080,"MAR 22, 2022",ORL vs. GSW,W,25,3,8,0.375,1,6,0.167,1,2,0.5,1,4,5,4,1,1,2,0,8,3,1
22021,1629643,0022101065,"MAR 20, 2022",ORL vs. OKC,W,31,2,7,0.286,2,5,0.4,2,2,1.0,3,8,11,2,2,1,3,0,8,7,1
22021,1629643,0022101030,"MAR 15, 2022",ORL vs. BKN,L,30,3,9,0.333,3,9,0.333,0,0,0.0,0,1,1,1,0,1,0,2,9,-30,1
22021,1629643,0022101015,"MAR 13, 2022",ORL vs. PHI,L,20,5,7,0.714,3,5,0.6,0,0,0.0,0,3,3,1,1,0,0,4,13,9,1
22021,1629643,0022100995,"MAR 11, 2022",ORL vs. MIN,W,15,1,4,0.25,1,4,0.25,0,0,0.0,0,4,4,1,0,1,1,1,3,-5,1
22021,1629643,0022100987,"MAR 09, 2022",ORL @ NOP,W,28,2,6,0.333,1,5,0.2,4,5,0.8,0,5,5,2,0,0,1,1,9,5,1
22021,1629643,0022100977,"MAR 08, 2022",ORL vs. PHX,L,26,1,6,0.167,0,3,0.0,4,4,1.0,0,5,5,1,0,0,0,3,6,-2,1
22021,1629643,0022100957,"MAR 05, 2022",ORL @ MEM,L,34,2,10,0.2,0,7,0.0,0,0,0.0,0,7,7,5,4,0,2,4,4,-13,1
22021,1629643,0022100458,"MAR 04, 2022",ORL @ TOR,W,30,4,10,0.4,2,5,0.4,0,0,0.0,4,7,11,2,1,0,1,1,10,1,1
22021,1629643,0022100933,"MAR 02, 2022",ORL vs. IND,L,19,2,10,0.2,1,6,0.167,0,0,0.0,1,3,4,3,3,1,0,0,5,-11,1
22021,1629643,0022100921,"FEB 28, 2022",ORL vs. IND,W,24,2,6,0.333,2,5,0.4,0,0,0.0,0,3,3,3,1,1,0,0,6,-1,1
22021,1629643,0022100898,"FEB 25, 2022",ORL vs. HOU,W,31,9,13,0.692,5,7,0.714,3,3,1.0,1,8,9,4,3,1,0,1,26,27,1
22021,1629643,0022100874,"FEB 16, 2022",ORL vs. ATL,L,29,3,10,0.3,1,7,0.143,0,0,0.0,2,2,4,2,2,1,1,1,7,-8,1
22021,1629643,0022100864,"FEB 14, 2022",ORL @ DEN,L,32,3,10,0.3,3,8,0.375,0,0,0.0,0,5,5,4,4,1,0,1,9,-4,1
22021,1629643,0022100855,"FEB 12, 2022",ORL @ PHX,L,26,4,12,0.333,4,10,0.4,3,4,0.75,2,8,10,2,0,0,0,1,15,-15,1
22021,1629643,0022100844,"FEB 11, 2022",ORL @ UTA,L,19,2,5,0.4,2,3,0.667,0,0,0.0,2,5,7,0,4,1,3,1,6,-16,1
22021,1629643,0022100823,"FEB 08, 2022",ORL @ POR,W,29,7,12,0.583,4,7,0.571,0,0,0.0,0,5,5,1,0,0,0,1,18,20,1
22021,1629643,0022100806,"FEB 06, 2022",ORL vs. BOS,L,25,3,8,0.375,2,4,0.5,0,0,0.0,0,3,3,1,3,2,1,0,8,-23,1
22021,1629643,0022100796,"FEB 05, 2022",ORL vs. MEM,L,19,1,7,0.143,0,5,0.0,0,0,0.0,0,3,3,3,0,0,0,1,2,-25,1
22021,1629643,0022100773,"FEB 02, 2022",ORL @ IND,W,25,3,6,0.5,1,3,0.333,1,2,0.5,0,4,4,2,0,0,0,2,8,3,1
22021,1629643,0022100769,"FEB 01, 2022",ORL @ CHI,L,23,2,6,0.333,1,4,0.25,0,0,0.0,0,4,4,3,2,3,0,3,5,-7,1
22021,1629643,0022100755,"JAN 30, 2022",ORL vs. DAL,W,24,7,10,0.7,3,6,0.5,2,2,1.0,3,2,5,4,3,0,1,1,19,4,1
22021,1629643,0022100736,"JAN 28, 2022",ORL vs. DET,W,25,6,7,0.857,3,4,0.75,2,2,1.0,0,6,6,2,0,3,2,2,17,10,1
22021,1629643,0022100724,"JAN 26, 2022",ORL vs. LAC,L,17,2,9,0.222,0,6,0.0,0,0,0.0,0,2,2,1,3,0,0,1,4,-10,1
22021,1629643,0022100701,"JAN 23, 2022",ORL vs. CHI,W,30,4,7,0.571,3,5,0.6,0,0,0.0,1,6,7,4,1,2,1,1,11,20,1
22021,1629643,0022100685,"JAN 21, 2022",ORL vs. LAL,L,31,4,11,0.364,3,10,0.3,0,0,0.0,0,6,6,1,1,0,1,2,11,8,1
