SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1631094,0022201178,"APR 04, 2023",ORL vs. CLE,L,38,7,16,0.438,2,4,0.5,4,6,0.667,3,7,10,4,1,0,5,2,20,-8,1
22022,1631094,0022201169,"APR 02, 2023",ORL vs. DET,W,29,4,9,0.444,2,4,0.5,4,11,0.364,1,8,9,3,0,0,4,1,14,9,1
22022,1631094,0022201151,"MAR 31, 2023",ORL @ WAS,W,34,8,17,0.471,1,3,0.333,13,14,0.929,2,10,12,6,0,3,2,3,30,-1,1
22022,1631094,0022201133,"MAR 28, 2023",ORL @ MEM,L,29,9,18,0.5,3,7,0.429,3,6,0.5,1,10,11,5,0,1,4,2,24,-4,1
22022,1631094,0022201118,"MAR 26, 2023",ORL vs. BKN,W,29,4,13,0.308,1,1,1.0,2,4,0.5,2,7,9,4,0,0,2,1,11,11,1
22022,1631094,0022201093,"MAR 23, 2023",ORL vs. NYK,W,34,7,17,0.412,2,4,0.5,5,6,0.833,0,6,6,4,2,2,3,3,21,-9,1
22022,1631094,0022201077,"MAR 21, 2023",ORL vs. WAS,W,37,6,9,0.667,0,0,0.0,6,6,1.0,2,7,9,8,1,0,2,2,18,11,1
22022,1631094,0022201070,"MAR 19, 2023",ORL @ LAL,L,36,8,20,0.4,1,4,0.25,4,4,1.0,1,5,6,3,0,0,1,5,21,5,1
22022,1631094,0022201056,"MAR 18, 2023",ORL @ LAC,W,36,4,11,0.364,0,3,0.0,4,9,0.444,1,5,6,6,1,1,4,1,12,1,1
22022,1631094,0022201046,"MAR 16, 2023",ORL @ PHX,L,34,7,15,0.467,1,4,0.25,3,4,0.75,0,8,8,3,2,0,5,1,18,-11,1
22022,1631094,0022201032,"MAR 14, 2023",ORL @ SAS,L,32,11,21,0.524,2,4,0.5,3,5,0.6,0,6,6,0,0,1,3,1,27,-20,1
22022,1631094,0022201007,"MAR 11, 2023",ORL vs. MIA,W,43,5,14,0.357,1,3,0.333,6,6,1.0,2,8,10,9,0,0,3,1,17,16,1
22022,1631094,0022200994,"MAR 09, 2023",ORL vs. UTA,L,34,8,17,0.471,3,4,0.75,7,11,0.636,2,6,8,2,0,1,2,2,26,-7,1
22022,1631094,0022200978,"MAR 07, 2023",ORL vs. MIL,L,33,7,18,0.389,2,5,0.4,4,8,0.5,1,3,4,3,0,0,3,4,20,-18,1
22022,1631094,0022200966,"MAR 05, 2023",ORL vs. POR,L,33,9,18,0.5,1,4,0.25,7,10,0.7,1,4,5,2,1,1,3,4,26,-8,1
22022,1631094,0022200946,"MAR 03, 2023",ORL @ CHA,W,36,13,26,0.5,2,6,0.333,3,4,0.75,1,5,6,5,1,1,3,2,31,3,1
22022,1631094,0022200939,"MAR 01, 2023",ORL @ MIL,L,31,4,13,0.308,0,2,0.0,1,2,0.5,0,7,7,5,0,2,4,3,9,-20,1
22022,1631094,0022200922,"FEB 27, 2023",ORL @ NOP,W,34,10,18,0.556,0,3,0.0,9,11,0.818,1,7,8,4,1,0,2,1,29,12,1
22022,1631094,0022200905,"FEB 25, 2023",ORL vs. IND,L,33,6,12,0.5,0,2,0.0,7,9,0.778,1,5,6,0,1,1,2,2,19,-19,1
22022,1631094,0022200888,"FEB 23, 2023",ORL vs. DET,W,32,4,13,0.308,0,1,0.0,3,5,0.6,1,5,6,6,0,0,2,1,11,9,1
22022,1631094,0022200868,"FEB 14, 2023",ORL @ TOR,L,32,5,13,0.385,0,2,0.0,3,4,0.75,0,1,1,3,0,0,3,1,13,-9,1
22022,1631094,0022200863,"FEB 13, 2023",ORL @ CHI,W,35,8,18,0.444,0,4,0.0,6,7,0.857,2,2,4,3,0,3,2,1,22,9,1
22022,1631094,0022200848,"FEB 11, 2023",ORL vs. MIA,L,34,6,16,0.375,0,4,0.0,4,4,1.0,5,8,13,1,0,0,3,4,16,-8,1
22022,1631094,0022200831,"FEB 09, 2023",ORL vs. DEN,W,33,5,12,0.417,1,2,0.5,0,2,0.0,2,8,10,2,0,0,2,2,11,-5,1
22022,1631094,0022200816,"FEB 07, 2023",ORL vs. NYK,L,34,6,15,0.4,0,3,0.0,4,8,0.5,1,7,8,5,1,0,1,2,16,-7,1
22022,1631094,0022200802,"FEB 05, 2023",ORL @ CHA,W,35,6,20,0.3,0,4,0.0,10,11,0.909,2,8,10,5,1,0,1,0,22,4,1
22022,1631094,0022200790,"FEB 03, 2023",ORL @ MIN,W,33,3,16,0.188,0,2,0.0,5,9,0.556,2,6,8,4,1,0,4,3,11,6,1
22022,1631094,0022200770,"FEB 01, 2023",ORL @ PHI,L,36,5,18,0.278,0,6,0.0,3,6,0.5,2,7,9,3,1,1,1,3,13,-12,1
22022,1631094,0022200756,"JAN 30, 2023",ORL @ PHI,W,37,11,22,0.5,3,5,0.6,4,5,0.8,0,9,9,3,1,1,2,0,29,15,1
22022,1631094,0022200744,"JAN 28, 2023",ORL vs. CHI,L,25,3,14,0.214,0,4,0.0,3,4,0.75,2,5,7,3,1,0,1,2,9,-19,1
22022,1631094,0022200738,"JAN 27, 2023",ORL @ MIA,L,36,4,14,0.286,1,6,0.167,10,13,0.769,0,5,5,1,1,0,5,3,19,-18,1
22022,1631094,0022200720,"JAN 25, 2023",ORL vs. IND,W,36,6,14,0.429,2,6,0.333,9,10,0.9,1,2,3,4,2,1,4,4,23,9,1
22022,1631094,0022200707,"JAN 23, 2023",ORL vs. BOS,W,36,7,13,0.538,3,5,0.6,6,9,0.667,0,5,5,2,0,0,1,0,23,12,1
22022,1631094,0022200693,"JAN 21, 2023",ORL @ WAS,L,28,5,12,0.417,1,4,0.25,4,6,0.667,1,0,1,4,0,0,0,1,15,-6,1
22022,1631094,0022200683,"JAN 20, 2023",ORL vs. NOP,W,25,2,7,0.286,0,2,0.0,7,8,0.875,1,5,6,2,1,0,3,1,11,-15,1
22022,1631094,0022200653,"JAN 15, 2023",ORL @ DEN,L,33,5,9,0.556,2,3,0.667,6,6,1.0,0,2,2,4,1,1,2,3,18,-16,1
22022,1631094,0022200638,"JAN 13, 2023",ORL @ UTA,L,31,8,16,0.5,1,5,0.2,2,4,0.5,1,3,4,3,2,0,4,6,19,-5,1
22022,1631094,0022200616,"JAN 10, 2023",ORL @ POR,W,38,5,16,0.313,1,5,0.2,8,10,0.8,0,10,10,2,3,1,5,2,19,7,1
22022,1631094,0022200610,"JAN 09, 2023",ORL @ SAC,L,32,5,11,0.455,2,7,0.286,5,8,0.625,0,8,8,4,3,0,1,0,17,-12,1
22022,1631094,0022200594,"JAN 07, 2023",ORL @ GSW,W,31,9,20,0.45,4,9,0.444,3,4,0.75,1,4,5,3,1,0,2,1,25,7,1
22022,1631094,0022200576,"JAN 05, 2023",ORL vs. MEM,L,36,10,20,0.5,2,7,0.286,8,9,0.889,3,6,9,3,1,0,1,3,30,10,1
22022,1631094,0022200566,"JAN 04, 2023",ORL vs. OKC,W,36,8,17,0.471,2,5,0.4,7,9,0.778,1,7,8,7,1,0,3,3,25,14,1
22022,1631094,0022200529,"DEC 30, 2022",ORL vs. WAS,L,38,7,24,0.292,1,5,0.2,6,7,0.857,1,4,5,4,0,0,5,3,21,-20,1
22022,1631094,0022200515,"DEC 28, 2022",ORL @ DET,L,32,4,12,0.333,0,1,0.0,7,8,0.875,1,4,5,2,1,1,2,5,15,-14,1
22022,1631094,0022200505,"DEC 27, 2022",ORL vs. LAL,L,22,1,6,0.167,0,2,0.0,2,4,0.5,1,4,5,3,1,0,2,5,4,-12,1
22022,1631094,0022200479,"DEC 23, 2022",ORL vs. SAS,W,29,7,15,0.467,3,6,0.5,1,1,1.0,0,6,6,4,0,0,2,0,18,13,1
22022,1631094,0022200472,"DEC 21, 2022",ORL @ HOU,W,32,9,20,0.45,1,4,0.25,4,8,0.5,0,13,13,3,2,0,5,2,23,-3,1
22022,1631094,0022200454,"DEC 19, 2022",ORL @ ATL,L,35,7,15,0.467,1,4,0.25,3,4,0.75,0,4,4,7,1,2,3,1,18,-1,1
22022,1631094,0022200445,"DEC 18, 2022",ORL @ BOS,W,34,9,21,0.429,6,7,0.857,7,9,0.778,0,6,6,3,2,0,4,2,31,4,1
22022,1631094,0022200430,"DEC 16, 2022",ORL @ BOS,W,37,5,13,0.385,3,6,0.5,7,8,0.875,1,4,5,5,1,0,3,5,20,-1,1
22022,1631094,0022200416,"DEC 14, 2022",ORL vs. ATL,W,34,6,16,0.375,2,7,0.286,6,7,0.857,2,4,6,6,2,1,2,4,20,15,1
22022,1631094,0022200398,"DEC 11, 2022",ORL vs. TOR,W,37,6,14,0.429,2,5,0.4,6,8,0.75,4,8,12,5,1,1,4,1,20,5,1
22022,1631094,0022200379,"DEC 09, 2022",ORL vs. TOR,W,38,8,11,0.727,1,3,0.333,6,7,0.857,0,6,6,4,0,1,3,3,23,18,1
22022,1631094,0022200363,"DEC 07, 2022",ORL vs. LAC,W,38,5,13,0.385,0,2,0.0,13,14,0.929,1,4,5,2,2,0,2,3,23,-9,1
22022,1631094,0022200353,"DEC 05, 2022",ORL vs. MIL,L,33,4,16,0.25,0,3,0.0,12,15,0.8,5,7,12,7,1,1,4,2,20,1,1
22022,1631094,0022200340,"DEC 03, 2022",ORL @ TOR,L,27,2,8,0.25,1,5,0.2,4,6,0.667,2,1,3,3,1,0,2,2,9,-28,1
22022,1631094,0022200330,"DEC 02, 2022",ORL @ CLE,L,37,10,17,0.588,0,2,0.0,2,4,0.5,3,2,5,4,1,0,2,0,22,-16,1
22022,1631094,0022200313,"NOV 30, 2022",ORL vs. ATL,L,35,6,14,0.429,1,4,0.25,7,9,0.778,0,2,2,5,0,0,3,2,20,-21,1
22022,1631094,0022200302,"NOV 28, 2022",ORL @ BKN,L,39,9,17,0.529,1,1,1.0,5,10,0.5,2,2,4,5,2,0,5,3,24,-9,1
22022,1631094,0022200297,"NOV 27, 2022",ORL vs. PHI,L,31,7,17,0.412,1,4,0.25,3,6,0.5,0,1,1,1,0,0,0,3,18,-14,1
22022,1631094,0022200273,"NOV 25, 2022",ORL vs. PHI,L,36,5,12,0.417,1,3,0.333,8,11,0.727,2,2,4,3,1,0,4,1,19,-9,1
22022,1631094,0022200145,"NOV 07, 2022",ORL vs. HOU,L,35,8,16,0.5,2,4,0.5,12,14,0.857,0,6,6,4,2,0,5,4,30,-9,1
22022,1631094,0022200132,"NOV 05, 2022",ORL vs. SAC,L,40,14,26,0.538,0,3,0.0,5,5,1.0,1,15,16,4,0,1,1,2,33,1,1
22022,1631094,0022200118,"NOV 03, 2022",ORL vs. GSW,W,36,8,17,0.471,0,4,0.0,6,9,0.667,0,8,8,3,1,1,5,3,22,-19,1
22022,1631094,0022200105,"NOV 01, 2022",ORL @ OKC,L,37,6,13,0.462,0,1,0.0,3,3,1.0,0,8,8,2,1,0,4,0,15,1,1
22022,1631094,0022200093,"OCT 30, 2022",ORL @ DAL,L,32,6,20,0.3,1,6,0.167,5,8,0.625,0,3,3,4,0,0,2,5,18,6,1
22022,1631094,0022200071,"OCT 28, 2022",ORL vs. CHA,W,27,8,14,0.571,2,4,0.5,3,7,0.429,2,10,12,7,0,0,2,0,21,27,1
22022,1631094,0022200056,"OCT 26, 2022",ORL @ CLE,L,37,10,19,0.526,3,5,0.6,6,8,0.75,1,7,8,4,1,2,3,2,29,-7,1
22022,1631094,0022200046,"OCT 24, 2022",ORL @ NYK,L,34,6,13,0.462,0,3,0.0,9,11,0.818,0,4,4,2,2,0,1,3,21,-2,1
22022,1631094,0022200030,"OCT 22, 2022",ORL vs. BOS,L,33,6,19,0.316,2,7,0.286,9,11,0.818,1,4,5,3,0,1,2,1,23,-16,1
22022,1631094,0022200020,"OCT 21, 2022",ORL @ ATL,L,34,6,18,0.333,1,6,0.167,7,8,0.875,2,10,12,2,1,3,4,1,20,-10,1
22022,1631094,0022200003,"OCT 19, 2022",ORL @ DET,L,35,11,18,0.611,0,0,0.0,5,7,0.714,2,7,9,5,0,2,4,5,27,2,1
