SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629667,0022201217,"APR 09, 2023",PHI @ BKN,W,18,4,7,0.571,0,0,0.0,0,0,0.0,2,1,3,2,2,0,0,1,8,8,1
22022,1629667,0022201205,"APR 07, 2023",PHI @ ATL,W,44,8,17,0.471,2,3,0.667,6,6,1.0,2,9,11,3,3,1,1,2,24,15,1
22022,1629667,0022201198,"APR 06, 2023",PHI vs. MIA,L,25,4,8,0.5,2,5,0.4,0,0,0.0,0,0,0,1,4,0,2,4,10,-22,1
22022,1629667,0022201181,"APR 04, 2023",PHI vs. BOS,W,15,3,5,0.6,2,3,0.667,0,0,0.0,0,2,2,0,0,1,0,1,8,-6,1
22022,1629667,0022201174,"APR 02, 2023",PHI @ MIL,L,14,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,0,0,-9,1
22022,1629667,0022201150,"MAR 31, 2023",PHI vs. TOR,W,21,3,4,0.75,1,1,1.0,0,0,0.0,0,3,3,1,1,2,1,1,7,6,1
22022,1629667,0022201139,"MAR 29, 2023",PHI vs. DAL,W,15,1,4,0.25,1,2,0.5,0,0,0.0,0,2,2,1,0,0,0,2,3,15,1
22022,1629667,0022201126,"MAR 27, 2023",PHI @ DEN,L,22,6,8,0.75,1,1,1.0,1,1,1.0,1,1,2,1,1,0,1,2,14,15,1
22022,1629667,0022201110,"MAR 25, 2023",PHI @ PHX,L,14,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,1,2,0,-15,1
22022,1629667,0022201072,"MAR 20, 2023",PHI vs. CHI,L,9,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-5,1
22022,1629667,0022201057,"MAR 18, 2023",PHI @ IND,W,16,3,7,0.429,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,7,3,1
22022,1629667,0022201016,"MAR 12, 2023",PHI vs. WAS,W,8,2,3,0.667,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,6,0,1
22022,1629667,0022200998,"MAR 10, 2023",PHI vs. POR,W,10,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,5,4,1,1
22022,1629667,0022200980,"MAR 07, 2023",PHI @ MIN,W,17,2,4,0.5,0,0,0.0,1,2,0.5,1,4,5,0,1,0,1,3,5,-1,1
22022,1629667,0022200972,"MAR 06, 2023",PHI @ IND,W,30,8,13,0.615,0,2,0.0,4,4,1.0,2,6,8,0,1,0,2,5,20,6,1
22022,1629667,0022200960,"MAR 04, 2023",PHI @ MIL,W,20,2,3,0.667,1,1,1.0,3,3,1.0,1,1,2,0,0,0,0,5,8,14,1
22022,1629667,0022200943,"MAR 02, 2023",PHI @ DAL,L,13,2,4,0.5,0,2,0.0,2,3,0.667,0,4,4,1,0,0,2,4,6,15,1
22022,1629667,0022200936,"MAR 01, 2023",PHI @ MIA,W,13,0,3,0.0,0,1,0.0,4,4,1.0,0,1,1,2,1,0,1,0,4,7,1
22022,1629667,0022200920,"FEB 27, 2023",PHI vs. MIA,L,10,0,2,0.0,0,0,0.0,2,2,1.0,3,1,4,1,1,0,1,4,2,-1,1
22022,1629667,0022200908,"FEB 25, 2023",PHI vs. BOS,L,15,2,4,0.5,0,1,0.0,0,2,0.0,0,2,2,0,1,0,0,0,4,-22,1
22022,1629667,0022200889,"FEB 23, 2023",PHI vs. MEM,W,15,1,2,0.5,0,0,0.0,1,2,0.5,1,2,3,1,0,0,0,2,3,-2,1
22022,1629667,0022200875,"FEB 15, 2023",PHI vs. CLE,W,13,2,6,0.333,0,1,0.0,0,0,0.0,2,2,4,0,1,0,0,4,4,-9,1
22022,1629667,0022200860,"FEB 13, 2023",PHI vs. HOU,W,28,3,4,0.75,1,1,1.0,1,1,1.0,1,4,5,3,0,0,0,3,8,9,1
22022,1629667,0022200846,"FEB 11, 2023",PHI @ BKN,W,16,2,4,0.5,1,1,1.0,0,0,0.0,1,3,4,1,0,0,0,0,5,-1,1
22022,1629667,0022200823,"FEB 08, 2023",CHA @ WAS,L,17,2,7,0.286,0,2,0.0,2,2,1.0,0,3,3,1,3,1,1,0,6,-9,1
22022,1629667,0022200802,"FEB 05, 2023",CHA vs. ORL,L,25,3,8,0.375,1,4,0.25,0,0,0.0,2,2,4,4,1,0,1,4,7,-4,1
22022,1629667,0022200785,"FEB 03, 2023",CHA @ DET,L,23,5,7,0.714,1,2,0.5,3,3,1.0,0,4,4,0,4,0,0,0,14,-4,1
22022,1629667,0022200781,"FEB 02, 2023",CHA @ CHI,L,26,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,-15,1
22022,1629667,0022200767,"JAN 31, 2023",CHA @ MIL,L,25,5,13,0.385,3,7,0.429,2,3,0.667,1,5,6,1,1,0,2,3,15,-10,1
22022,1629667,0022200752,"JAN 29, 2023",CHA vs. MIA,W,25,1,6,0.167,0,5,0.0,0,0,0.0,0,7,7,1,0,0,3,3,2,3,1
22022,1629667,0022200732,"JAN 26, 2023",CHA vs. CHI,W,26,2,7,0.286,0,1,0.0,1,2,0.5,1,5,6,2,0,1,0,1,5,8,1
22022,1629667,0022200718,"JAN 24, 2023",CHA @ PHX,L,34,7,16,0.438,1,5,0.2,0,0,0.0,2,8,10,2,3,0,3,5,15,-20,1
22022,1629667,0022200710,"JAN 23, 2023",CHA @ UTA,L,28,4,9,0.444,0,2,0.0,1,2,0.5,1,8,9,3,1,1,3,4,9,-2,1
22022,1629667,0022200694,"JAN 21, 2023",CHA @ ATL,W,24,3,8,0.375,1,4,0.25,0,0,0.0,0,1,1,3,0,0,0,5,7,14,1
22022,1629667,0022200671,"JAN 18, 2023",CHA @ HOU,W,35,6,11,0.545,0,5,0.0,0,0,0.0,0,4,4,3,5,1,2,1,12,13,1
22022,1629667,0022200656,"JAN 16, 2023",CHA vs. BOS,L,35,9,15,0.6,5,7,0.714,3,3,1.0,2,1,3,1,2,0,1,1,26,-4,1
22022,1629667,0022200642,"JAN 14, 2023",CHA vs. BOS,L,28,4,8,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,2,9,-12,1
22022,1629667,0022200629,"JAN 12, 2023",CHA @ TOR,L,28,4,11,0.364,1,5,0.2,1,2,0.5,0,5,5,0,1,0,5,4,10,-16,1
22022,1629667,0022200613,"JAN 10, 2023",CHA @ TOR,L,29,3,7,0.429,1,2,0.5,4,6,0.667,0,7,7,2,1,1,2,5,11,-9,1
22022,1629667,0022200598,"JAN 08, 2023",CHA @ IND,L,34,7,14,0.5,2,5,0.4,1,2,0.5,2,4,6,1,1,1,4,3,17,-6,1
22022,1629667,0022200583,"JAN 06, 2023",CHA @ MIL,W,32,3,8,0.375,0,3,0.0,5,5,1.0,0,9,9,2,2,1,0,2,11,20,1
22022,1629667,0022200564,"JAN 04, 2023",CHA vs. MEM,L,27,6,11,0.545,1,5,0.2,3,4,0.75,0,7,7,0,2,2,3,1,16,-27,1
22022,1629667,0022200551,"JAN 02, 2023",CHA vs. LAL,L,31,4,10,0.4,0,4,0.0,2,2,1.0,1,6,7,2,3,1,2,2,10,18,1
22022,1629667,0022200539,"DEC 31, 2022",CHA vs. BKN,L,28,4,8,0.5,1,5,0.2,1,1,1.0,2,4,6,3,0,0,0,3,10,-12,1
22022,1629667,0022200523,"DEC 29, 2022",CHA vs. OKC,W,22,5,7,0.714,2,3,0.667,0,1,0.0,0,3,3,0,0,1,0,2,12,0,1
22022,1629667,0022200513,"DEC 27, 2022",CHA @ GSW,L,26,3,6,0.5,3,6,0.5,3,4,0.75,0,7,7,3,0,0,1,3,12,4,1
22022,1629667,0022200504,"DEC 26, 2022",CHA @ POR,L,15,3,7,0.429,1,2,0.5,0,0,0.0,1,1,2,1,1,0,2,2,7,-2,1
22022,1629667,0022200492,"DEC 23, 2022",CHA @ LAL,W,19,3,5,0.6,1,1,1.0,0,0,0.0,1,0,1,3,2,0,1,2,7,13,1
22022,1629667,0022200476,"DEC 21, 2022",CHA @ LAC,L,29,5,15,0.333,2,4,0.5,4,4,1.0,1,8,9,0,2,0,1,3,16,1,1
22022,1629667,0022200460,"DEC 19, 2022",CHA @ SAC,W,26,1,5,0.2,0,4,0.0,4,4,1.0,1,2,3,2,0,2,2,2,6,3,1
22022,1629667,0022200450,"DEC 18, 2022",CHA @ DEN,L,20,5,8,0.625,2,4,0.5,2,2,1.0,1,4,5,2,1,1,1,4,14,12,1
22022,1629667,0022200428,"DEC 16, 2022",CHA vs. ATL,L,17,3,8,0.375,0,2,0.0,1,1,1.0,0,1,1,2,1,0,2,5,7,-7,1
22022,1629667,0022200414,"DEC 14, 2022",CHA vs. DET,L,35,7,9,0.778,3,3,1.0,4,4,1.0,1,5,6,1,1,1,0,0,21,-9,1
22022,1629667,0022200399,"DEC 11, 2022",CHA @ PHI,L,31,6,13,0.462,1,4,0.25,2,2,1.0,1,4,5,3,3,0,3,5,15,-22,1
22022,1629667,0022200377,"DEC 09, 2022",CHA vs. NYK,L,21,1,5,0.2,0,2,0.0,2,2,1.0,0,4,4,3,0,0,1,4,4,-13,1
22022,1629667,0022200364,"DEC 07, 2022",CHA @ BKN,L,36,8,14,0.571,1,4,0.25,2,2,1.0,0,7,7,3,1,1,1,5,19,4,1
22022,1629667,0022200352,"DEC 05, 2022",CHA vs. LAC,L,34,3,8,0.375,0,4,0.0,3,3,1.0,0,4,4,6,3,0,0,2,9,12,1
22022,1629667,0022200339,"DEC 03, 2022",CHA vs. MIL,L,33,8,15,0.533,2,5,0.4,3,4,0.75,0,5,5,2,1,1,2,4,21,-5,1
22022,1629667,0022200326,"DEC 02, 2022",CHA vs. WAS,W,25,3,9,0.333,1,4,0.25,2,2,1.0,2,3,5,1,0,0,1,5,9,0,1
22022,1629667,0022200301,"NOV 28, 2022",CHA @ BOS,L,30,9,12,0.75,4,6,0.667,2,2,1.0,0,1,1,2,0,0,3,5,24,-29,1
22022,1629667,0022200272,"NOV 25, 2022",CHA vs. MIN,W,31,3,9,0.333,0,3,0.0,2,2,1.0,0,6,6,3,0,0,1,2,8,-6,1
22022,1629667,0022200260,"NOV 23, 2022",CHA vs. PHI,W,21,4,8,0.5,1,4,0.25,2,3,0.667,1,2,3,1,1,0,0,1,11,2,1
22022,1629667,0022200241,"NOV 20, 2022",CHA @ WAS,L,21,3,10,0.3,2,5,0.4,0,0,0.0,1,5,6,1,0,0,1,2,8,7,1
22022,1629667,0022200225,"NOV 18, 2022",CHA @ CLE,L,23,0,2,0.0,0,2,0.0,2,2,1.0,1,1,2,1,0,1,1,5,2,-14,1
22022,1629667,0022200211,"NOV 16, 2022",CHA vs. IND,L,20,1,5,0.2,0,2,0.0,1,2,0.5,1,3,4,4,2,1,3,5,3,4,1
22022,1629667,0022200200,"NOV 14, 2022",CHA @ ORL,W,26,4,7,0.571,0,1,0.0,2,2,1.0,1,3,4,0,1,2,1,2,10,-1,1
22022,1629667,0022200189,"NOV 12, 2022",CHA @ MIA,L,28,3,6,0.5,1,2,0.5,2,2,1.0,0,4,4,4,0,0,1,2,9,-6,1
22022,1629667,0022200174,"NOV 10, 2022",CHA @ MIA,L,34,6,10,0.6,3,5,0.6,1,2,0.5,1,3,4,4,0,0,3,4,16,-5,1
22022,1629667,0022200159,"NOV 09, 2022",CHA vs. POR,L,20,3,7,0.429,1,3,0.333,0,0,0.0,2,1,3,1,1,0,0,2,7,-16,1
22022,1629667,0022200144,"NOV 07, 2022",CHA vs. WAS,L,27,4,9,0.444,1,4,0.25,0,1,0.0,2,5,7,1,3,2,1,3,9,5,1
22022,1629667,0022200133,"NOV 05, 2022",CHA vs. BKN,L,28,3,7,0.429,0,3,0.0,0,0,0.0,2,4,6,3,1,0,2,2,6,-12,1
22022,1629667,0022200125,"NOV 04, 2022",CHA @ MEM,L,21,1,5,0.2,0,4,0.0,2,2,1.0,0,1,1,2,1,0,2,2,4,-33,1
22022,1629667,0022200111,"NOV 02, 2022",CHA @ CHI,L,36,5,18,0.278,0,5,0.0,1,2,0.5,3,3,6,2,5,2,2,2,11,-13,1
22022,1629667,0022200096,"OCT 31, 2022",CHA vs. SAC,L,27,5,11,0.455,3,4,0.75,0,0,0.0,1,0,1,4,2,0,2,5,13,-6,1
22022,1629667,0022200082,"OCT 29, 2022",CHA vs. GSW,W,32,4,10,0.4,2,5,0.4,2,2,1.0,2,9,11,2,0,0,2,1,12,-1,1
22022,1629667,0022200071,"OCT 28, 2022",CHA @ ORL,L,22,1,7,0.143,0,2,0.0,4,4,1.0,1,6,7,2,1,0,1,3,6,-8,1
22022,1629667,0022200058,"OCT 26, 2022",CHA @ NYK,L,23,6,10,0.6,3,3,1.0,2,2,1.0,1,5,6,2,1,1,1,4,17,14,1
22022,1629667,0022200038,"OCT 23, 2022",CHA @ ATL,W,20,3,6,0.5,1,3,0.333,2,2,1.0,1,4,5,3,0,1,1,3,9,13,1
22022,1629667,0022200017,"OCT 21, 2022",CHA vs. NOP,L,27,5,7,0.714,4,4,1.0,0,0,0.0,0,5,5,2,0,1,1,4,14,7,1
22022,1629667,0022200011,"OCT 19, 2022",CHA @ SAS,W,23,2,5,0.4,1,2,0.5,0,0,0.0,0,5,5,2,1,1,0,0,5,13,1
22021,1629667,0022101217,"APR 10, 2022",CHA vs. WAS,W,21,6,8,0.75,2,2,1.0,0,0,0.0,2,4,6,2,0,1,1,0,14,17,1
22021,1629667,0022101208,"APR 08, 2022",CHA @ CHI,W,19,4,7,0.571,3,4,0.75,2,2,1.0,1,4,5,4,1,1,0,1,13,15,1
22021,1629667,0022101196,"APR 07, 2022",CHA vs. ORL,W,16,2,4,0.5,0,1,0.0,2,2,1.0,0,3,3,3,1,2,0,3,6,31,1
22021,1629667,0022101181,"APR 05, 2022",CHA @ MIA,L,17,5,7,0.714,1,3,0.333,0,0,0.0,0,1,1,0,2,0,0,1,11,-19,1
22021,1629667,0022101161,"APR 02, 2022",CHA @ PHI,L,7,1,2,0.5,1,1,1.0,4,4,1.0,0,0,0,0,1,0,1,2,7,3,1
22021,1629667,0022101140,"MAR 30, 2022",CHA @ NYK,W,6,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,2,3,-2,1
22021,1629667,0022101122,"MAR 28, 2022",CHA vs. DEN,L,10,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,1,1
22021,1629667,0022101120,"MAR 27, 2022",CHA @ BKN,W,13,0,4,0.0,0,0,0.0,4,4,1.0,2,0,2,1,0,0,0,1,4,-11,1
22021,1629667,0022101100,"MAR 25, 2022",CHA vs. UTA,W,10,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,1,2,3,1
22021,1629667,0022101084,"MAR 23, 2022",CHA vs. NYK,L,17,2,3,0.667,1,2,0.5,2,4,0.5,0,5,5,0,0,0,0,4,7,0,1
22021,1629667,0022101071,"MAR 21, 2022",CHA vs. NOP,W,4,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,0,2,-2,1
22021,1629667,0022101059,"MAR 19, 2022",CHA vs. DAL,W,17,1,5,0.2,0,2,0.0,2,4,0.5,0,1,1,0,0,1,1,3,4,-5,1
22021,1629667,0022101033,"MAR 16, 2022",CHA vs. ATL,W,14,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,1,2,5,1
