SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629642,0022201159,"MAR 31, 2023",POR vs. SAC,L,12,2,4,0.5,2,2,1.0,1,2,0.5,0,1,1,0,1,0,0,0,7,-2,1
22022,1629642,0022201145,"MAR 29, 2023",POR vs. SAC,L,40,4,17,0.235,0,8,0.0,2,2,1.0,0,2,2,0,0,1,4,1,10,-42,1
22022,1629642,0022201127,"MAR 27, 2023",POR vs. NOP,L,20,3,10,0.3,1,5,0.2,0,0,0.0,1,1,2,3,2,0,1,2,7,-11,1
22022,1629642,0022201120,"MAR 26, 2023",POR vs. OKC,L,31,11,21,0.524,3,6,0.5,3,3,1.0,2,4,6,0,0,0,2,5,28,-5,1
22022,1629642,0022201104,"MAR 24, 2023",POR vs. CHI,L,17,2,5,0.4,0,3,0.0,0,0,0.0,1,1,2,0,0,1,0,0,4,-12,1
22022,1629642,0022201069,"MAR 19, 2023",POR vs. LAC,L,25,1,4,0.25,0,3,0.0,2,2,1.0,0,1,1,0,1,1,3,3,4,1,1
22022,1629642,0022201034,"MAR 14, 2023",POR vs. NYK,L,10,0,5,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-17,1
22022,1629642,0022201017,"MAR 12, 2023",POR @ NOP,L,26,4,8,0.5,0,2,0.0,2,2,1.0,1,5,6,4,0,0,0,2,10,-18,1
22022,1629642,0022200998,"MAR 10, 2023",POR @ PHI,L,9,0,2,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,-4,1
22022,1629642,0022200986,"MAR 08, 2023",POR @ BOS,L,24,1,5,0.2,1,4,0.25,0,0,0.0,0,3,3,0,0,1,2,4,3,-8,1
22022,1629642,0022200977,"MAR 06, 2023",POR @ DET,W,15,4,6,0.667,1,2,0.5,0,0,0.0,0,2,2,1,1,0,0,1,9,2,1
22022,1629642,0022200966,"MAR 05, 2023",POR @ ORL,W,27,4,6,0.667,3,5,0.6,0,0,0.0,0,5,5,3,0,1,1,1,11,-2,1
22022,1629642,0022200947,"MAR 03, 2023",POR @ ATL,L,15,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,-16,1
22022,1629642,0022200941,"MAR 01, 2023",POR vs. NOP,L,17,0,4,0.0,0,3,0.0,0,0,0.0,2,1,3,1,0,0,1,3,0,-15,1
22022,1629642,0022200931,"FEB 28, 2023",POR @ GSW,L,15,3,8,0.375,1,4,0.25,0,0,0.0,0,1,1,0,0,1,0,0,7,-8,1
22022,1629642,0022200917,"FEB 26, 2023",POR vs. HOU,W,20,3,3,1.0,3,3,1.0,2,2,1.0,0,9,9,2,0,1,0,2,11,-7,1
22022,1629642,0022200894,"FEB 23, 2023",POR @ SAC,L,34,10,19,0.526,5,9,0.556,1,1,1.0,0,3,3,2,4,1,0,1,26,-12,1
22022,1629642,0022200872,"FEB 14, 2023",POR vs. WAS,L,17,0,5,0.0,0,5,0.0,1,2,0.5,2,3,5,4,0,0,0,1,1,-13,1
22022,1629642,0022200867,"FEB 13, 2023",POR vs. LAL,W,28,4,7,0.571,3,5,0.6,0,0,0.0,0,1,1,1,0,2,0,1,11,29,1
22022,1629642,0022200843,"FEB 10, 2023",POR vs. OKC,L,25,2,4,0.5,2,4,0.5,2,2,1.0,2,3,5,1,0,1,3,3,8,-2,1
22022,1629642,0022200830,"FEB 08, 2023",POR vs. GSW,W,26,4,6,0.667,1,3,0.333,0,0,0.0,0,5,5,1,0,0,0,2,9,11,1
22022,1629642,0022200815,"FEB 06, 2023",POR vs. MIL,L,12,3,6,0.5,1,3,0.333,1,2,0.5,0,1,1,1,1,0,1,0,8,-4,1
22022,1629642,0022200796,"FEB 04, 2023",POR @ CHI,L,11,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,3,0,-9,1
22022,1629642,0022200787,"FEB 03, 2023",POR @ WAS,W,16,0,6,0.0,0,5,0.0,0,0,0.0,1,1,2,0,0,1,0,1,0,-1,1
22022,1629642,0022200771,"FEB 01, 2023",POR @ MEM,W,14,1,3,0.333,0,2,0.0,0,0,0.0,1,3,4,1,1,0,1,0,2,9,1
22022,1629642,0022200763,"JAN 30, 2023",POR vs. ATL,W,13,2,3,0.667,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,2,6,4,1
22022,1629642,0022200751,"JAN 28, 2023",POR vs. TOR,L,30,3,6,0.5,2,4,0.5,0,0,0.0,0,3,3,2,0,1,1,0,8,-25,1
22022,1629642,0022200727,"JAN 25, 2023",POR vs. UTA,W,32,3,6,0.5,2,4,0.5,0,0,0.0,1,2,3,1,0,0,0,2,8,17,1
