SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629677,0022201228,"APR 09, 2023",UTA @ LAL,L,30,4,14,0.286,0,8,0.0,1,1,1.0,0,2,2,3,1,0,2,2,9,-21,1
22022,1629677,0022201213,"APR 08, 2023",UTA vs. DEN,W,31,9,14,0.643,3,6,0.5,2,4,0.5,0,8,8,1,2,0,3,2,23,10,1
22022,1629677,0022201200,"APR 06, 2023",UTA vs. OKC,L,31,3,8,0.375,1,5,0.2,1,2,0.5,0,3,3,4,0,0,0,4,8,4,1
22022,1629677,0022201186,"APR 04, 2023",UTA vs. LAL,L,22,5,6,0.833,2,3,0.667,0,0,0.0,0,4,4,2,1,0,0,1,12,-2,1
22022,1629677,0022201164,"APR 02, 2023",UTA @ BKN,L,10,1,3,0.333,1,3,0.333,1,2,0.5,0,2,2,1,0,0,1,1,4,-8,1
22022,1629677,0022201152,"MAR 31, 2023",UTA @ BOS,L,12,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,0,1,1,2,3,4,-3,1
22022,1629677,0022201143,"MAR 29, 2023",UTA @ SAS,W,25,2,8,0.25,1,4,0.25,4,4,1.0,0,9,9,4,1,1,2,4,9,14,1
22020,1629677,0022001043,"MAY 12, 2021",SAS @ BKN,L,5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,4,1
22020,1629677,0022001029,"MAY 10, 2021",SAS vs. MIL,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3,1
22020,1629677,0022001018,"MAY 08, 2021",SAS @ POR,L,6,2,4,0.5,0,1,0.0,3,3,1.0,1,3,4,0,0,0,0,1,7,-3,1
22020,1629677,0022000996,"MAY 05, 2021",SAS @ UTA,L,24,6,14,0.429,2,4,0.5,1,2,0.5,1,4,5,1,0,1,3,1,15,-3,1
22020,1629677,0022000981,"MAY 03, 2021",SAS @ UTA,L,4,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,2,1
22020,1629677,0022000973,"MAY 02, 2021",SAS vs. PHI,L,16,3,4,0.75,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,4,6,3,1
22020,1629677,0022000264,"APR 24, 2021",SAS @ NOP,W,6,1,1,1.0,0,0,0.0,1,1,1.0,0,2,2,0,0,0,0,2,3,2,1
22020,1629677,0022000895,"APR 22, 2021",SAS vs. DET,W,15,1,4,0.25,0,1,0.0,0,0,0.0,1,2,3,1,2,0,0,2,2,13,1
22020,1629677,0022000888,"APR 21, 2021",SAS vs. MIA,L,4,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,0,0,-4,1
22020,1629677,0022000473,"APR 19, 2021",SAS @ IND,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-8,1
22020,1629677,0022000860,"APR 17, 2021",SAS @ PHX,W,17,0,6,0.0,0,3,0.0,0,0,0.0,0,0,0,1,1,2,2,4,0,3,1
22020,1629677,0022000816,"APR 12, 2021",SAS @ ORL,W,8,3,4,0.75,1,1,1.0,0,1,0.0,0,0,0,0,0,0,1,3,7,-5,1
22020,1629677,0022000782,"APR 07, 2021",SAS @ DEN,L,4,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,1,2,7,1
