SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629659,0022201186,"APR 04, 2023",UTA vs. LAL,L,37,7,21,0.333,0,4,0.0,9,13,0.692,2,2,4,7,2,1,2,2,23,-2,1
22022,1629659,0022201164,"APR 02, 2023",UTA @ BKN,L,34,12,25,0.48,3,7,0.429,5,6,0.833,1,3,4,8,0,0,2,3,32,7,1
22022,1629659,0022201152,"MAR 31, 2023",UTA @ BOS,L,31,9,21,0.429,0,3,0.0,10,10,1.0,1,7,8,7,0,0,4,0,28,-5,1
22022,1629659,0022201143,"MAR 29, 2023",UTA @ SAS,W,30,15,25,0.6,6,11,0.545,5,6,0.833,2,2,4,5,1,0,4,2,41,2,1
22022,1629659,0022201125,"MAR 27, 2023",UTA vs. PHX,L,35,7,18,0.389,2,7,0.286,0,4,0.0,2,6,8,8,1,0,3,1,16,-9,1
22022,1629659,0022201111,"MAR 25, 2023",UTA @ SAC,L,28,3,10,0.3,1,3,0.333,2,2,1.0,0,2,2,4,0,1,2,1,9,-10,1
22022,1629659,0022201102,"MAR 24, 2023",UTA vs. MIL,L,26,5,17,0.294,0,3,0.0,3,7,0.429,5,0,5,8,1,0,4,1,13,-38,1
22022,1629659,0022201091,"MAR 22, 2023",UTA vs. POR,L,25,4,9,0.444,1,5,0.2,2,3,0.667,0,4,4,7,0,0,2,4,11,-11,1
22022,1629659,0022201076,"MAR 20, 2023",UTA vs. SAC,W,21,3,9,0.333,0,2,0.0,4,4,1.0,0,6,6,4,0,0,4,5,10,-8,1
22022,1629659,0022201062,"MAR 18, 2023",UTA vs. BOS,W,28,8,20,0.4,1,4,0.25,2,4,0.5,3,4,7,5,1,0,2,3,19,11,1
22022,1629659,0022201022,"MAR 13, 2023",UTA @ MIA,L,27,3,13,0.231,1,3,0.333,2,2,1.0,2,4,6,8,1,0,6,1,9,-11,1
22022,1629659,0022201005,"MAR 11, 2023",UTA @ CHA,W,32,14,24,0.583,2,5,0.4,7,8,0.875,1,7,8,10,0,0,3,1,37,17,1
22022,1629659,0022200994,"MAR 09, 2023",UTA @ ORL,W,30,10,18,0.556,2,5,0.4,1,1,1.0,0,1,1,8,1,0,2,3,23,9,1
22022,1629659,0022200983,"MAR 07, 2023",UTA @ DAL,L,34,7,14,0.5,1,3,0.333,6,7,0.857,0,6,6,4,2,1,5,1,21,-8,1
22022,1629659,0022200968,"MAR 05, 2023",UTA @ OKC,L,24,4,11,0.364,2,6,0.333,1,2,0.5,0,3,3,3,0,0,3,3,11,-17,1
22022,1629659,0022200951,"MAR 03, 2023",UTA @ OKC,L,21,3,4,0.75,0,1,0.0,0,0,0.0,0,4,4,5,0,0,6,1,6,-1,1
22022,1629659,0022200930,"FEB 28, 2023",UTA vs. SAS,L,30,7,14,0.5,2,3,0.667,0,0,0.0,0,3,3,3,1,3,7,0,16,14,1
22022,1629659,0022200909,"FEB 25, 2023",UTA vs. SAS,W,24,4,9,0.444,2,3,0.667,2,2,1.0,0,6,6,4,0,3,5,3,12,14,1
22022,1629659,0022200892,"FEB 23, 2023",UTA vs. OKC,W,35,2,11,0.182,1,6,0.167,4,4,1.0,1,6,7,6,2,1,4,5,9,10,1
22022,1629659,0022200879,"FEB 15, 2023",UTA @ MEM,L,32,5,15,0.333,2,5,0.4,3,5,0.6,1,6,7,7,0,2,3,3,15,11,1
22022,1629659,0022200859,"FEB 13, 2023",UTA @ IND,W,19,2,7,0.286,1,3,0.333,2,2,1.0,1,1,2,7,0,0,0,1,7,-4,1
22022,1629659,0022200851,"FEB 11, 2023",UTA @ NYK,L,27,8,12,0.667,1,3,0.333,6,8,0.75,0,2,2,7,1,1,1,2,23,-4,1
22022,1629659,0022200839,"FEB 10, 2023",UTA @ TOR,W,27,3,11,0.273,0,2,0.0,3,5,0.6,2,5,7,8,0,2,3,2,9,9,1
22022,1629659,0022200828,"FEB 08, 2023",UTA vs. MIN,L,24,6,12,0.5,0,0,0.0,3,3,1.0,1,0,1,6,0,1,1,2,15,-17,1
22022,1629659,0022200727,"JAN 25, 2023",UTA @ POR,L,14,5,9,0.556,1,3,0.333,1,1,1.0,0,1,1,2,0,0,1,5,12,-3,1
22022,1629659,0022200710,"JAN 23, 2023",UTA vs. CHA,W,22,3,6,0.5,0,1,0.0,1,3,0.333,0,2,2,6,1,0,0,1,7,19,1
22022,1629659,0022200689,"JAN 20, 2023",UTA vs. BKN,L,6,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,1,0,4,1
22022,1629659,0022200675,"JAN 18, 2023",UTA vs. LAC,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,4,1
22022,1629659,0022200662,"JAN 16, 2023",UTA @ MIN,W,8,2,7,0.286,1,4,0.25,0,0,0.0,0,0,0,1,0,0,1,1,5,-5,1
22022,1629659,0022200646,"JAN 14, 2023",UTA vs. PHI,L,28,5,10,0.5,2,4,0.5,8,10,0.8,0,6,6,2,0,2,3,2,20,11,1
22022,1629659,0022200638,"JAN 13, 2023",UTA vs. ORL,W,16,3,6,0.5,1,2,0.5,0,0,0.0,0,2,2,2,0,0,1,0,7,-3,1
22022,1629659,0022200592,"JAN 07, 2023",UTA @ CHI,L,20,4,6,0.667,2,4,0.5,2,3,0.667,0,1,1,5,1,0,2,3,12,18,1
22022,1629659,0022200578,"JAN 05, 2023",UTA @ HOU,W,16,2,4,0.5,0,1,0.0,0,0,0.0,0,2,2,4,1,0,1,2,4,-1,1
22022,1629659,0022200478,"DEC 22, 2022",UTA vs. WAS,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8,1
22022,1629659,0022200461,"DEC 20, 2022",UTA @ DET,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-6,1
22022,1629659,0022200452,"DEC 19, 2022",UTA @ CLE,L,15,2,7,0.286,0,2,0.0,2,2,1.0,1,0,1,0,1,0,2,1,6,-11,1
22022,1629659,0022200442,"DEC 17, 2022",UTA @ MIL,L,7,2,5,0.4,0,1,0.0,0,0,0.0,2,1,3,2,0,0,0,0,4,-4,1
22022,1629659,0022200412,"DEC 13, 2022",UTA vs. NOP,W,5,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,1,1,0,1,1,5,-2,1
