SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1629013,0022201229,"APR 09, 2023",PHX vs. LAC,L,18,5,10,0.5,3,6,0.5,1,1,1.0,0,3,3,6,0,0,0,1,14,6,1
22022,1629013,0022201212,"APR 07, 2023",PHX @ LAL,L,22,2,9,0.222,2,5,0.4,1,1,1.0,0,4,4,5,3,0,1,2,7,9,1
22022,1629013,0022201201,"APR 06, 2023",PHX vs. DEN,W,7,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,7,1
22022,1629013,0022201188,"APR 04, 2023",PHX vs. SAS,W,13,0,4,0.0,0,2,0.0,0,0,0.0,2,1,3,3,0,0,1,2,0,-5,1
22022,1629013,0022201172,"APR 02, 2023",PHX @ OKC,W,12,2,5,0.4,2,5,0.4,1,2,0.5,0,0,0,0,0,0,0,1,7,5,1
22022,1629013,0022201125,"MAR 27, 2023",PHX @ UTA,W,14,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,4,0,0,0,1,0,14,1
22022,1629013,0022201110,"MAR 25, 2023",PHX vs. PHI,W,13,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,1,2,0,0,3,0,13,1
22022,1629013,0022201105,"MAR 24, 2023",PHX @ SAC,L,16,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,5,-5,1
22022,1629013,0022201092,"MAR 22, 2023",PHX @ LAL,L,29,6,13,0.462,3,8,0.375,0,0,0.0,1,2,3,3,2,0,2,2,15,-7,1
22022,1629013,0022201064,"MAR 19, 2023",PHX @ OKC,L,20,3,4,0.75,3,4,0.75,1,2,0.5,0,0,0,2,1,0,2,2,10,-2,1
22022,1629013,0022200663,"JAN 16, 2023",PHX @ MEM,L,26,2,9,0.222,1,6,0.167,4,4,1.0,0,4,4,6,0,0,1,2,9,-28,1
22022,1629013,0022200603,"JAN 08, 2023",PHX vs. CLE,L,33,4,14,0.286,3,7,0.429,0,0,0.0,0,2,2,3,1,0,0,2,11,-18,1
22022,1629013,0022200589,"JAN 06, 2023",PHX vs. MIA,L,33,4,9,0.444,1,3,0.333,2,3,0.667,0,2,2,3,0,0,3,1,11,-14,1
22022,1629013,0022200565,"JAN 04, 2023",PHX @ CLE,L,36,4,12,0.333,2,6,0.333,4,4,1.0,0,4,4,3,1,0,0,5,14,0,1
22022,1629013,0022200550,"JAN 02, 2023",PHX @ NYK,L,25,2,9,0.222,2,6,0.333,0,0,0.0,0,6,6,2,0,0,3,0,6,-7,1
22022,1629013,0022200497,"DEC 25, 2022",PHX @ DEN,L,39,10,20,0.5,7,17,0.412,4,4,1.0,0,2,2,6,0,1,2,5,31,3,1
22022,1629013,0022200490,"DEC 23, 2022",PHX vs. MEM,L,31,6,16,0.375,3,10,0.3,0,0,0.0,1,4,5,3,1,0,2,0,15,-17,1
22022,1629013,0022200464,"DEC 20, 2022",PHX vs. WAS,L,35,10,21,0.476,9,16,0.563,2,2,1.0,0,2,2,5,0,0,1,2,31,4,1
22022,1629013,0022200459,"DEC 19, 2022",PHX vs. LAL,W,29,4,12,0.333,3,7,0.429,2,2,1.0,0,3,3,2,1,1,0,0,13,15,1
22022,1629013,0022200444,"DEC 17, 2022",PHX vs. NOP,W,15,1,6,0.167,0,2,0.0,2,2,1.0,1,0,1,3,1,0,0,1,4,-5,1
22022,1629013,0022200427,"DEC 15, 2022",PHX @ LAC,W,20,1,7,0.143,0,3,0.0,4,4,1.0,0,1,1,4,0,0,0,2,6,12,1
22022,1629013,0022200411,"DEC 13, 2022",PHX @ HOU,L,32,5,13,0.385,3,11,0.273,0,0,0.0,2,2,4,3,2,0,0,3,13,-7,1
22022,1629013,0022200395,"DEC 11, 2022",PHX @ NOP,L,13,2,3,0.667,1,2,0.5,0,1,0.0,0,0,0,3,3,1,0,1,5,13,1
22022,1629013,0022200384,"DEC 09, 2022",PHX @ NOP,L,5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,1,0,0,0,1
22022,1629013,0022200373,"DEC 07, 2022",PHX vs. BOS,L,21,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,1,0,0,0,0,6,14,1
22022,1629013,0022200358,"DEC 05, 2022",PHX @ DAL,L,19,4,9,0.444,3,6,0.5,2,2,1.0,0,1,1,2,0,0,2,0,13,-12,1
22022,1629013,0022200345,"DEC 04, 2022",PHX @ SAS,W,14,3,8,0.375,2,7,0.286,2,2,1.0,0,1,1,3,0,0,2,1,10,9,1
22022,1629013,0022200334,"DEC 02, 2022",PHX vs. HOU,L,19,1,5,0.2,1,4,0.25,2,2,1.0,1,0,1,1,1,0,1,4,5,-7,1
22022,1629013,0022200321,"NOV 30, 2022",PHX vs. CHI,W,19,4,7,0.571,4,7,0.571,0,0,0.0,1,2,3,1,1,0,1,1,12,6,1
22022,1629013,0022200307,"NOV 28, 2022",PHX @ SAC,W,18,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,0,0,0,1,2,6,2,1
22022,1629013,0022200289,"NOV 26, 2022",PHX vs. UTA,W,15,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,2,2,-2,1
22022,1629013,0022200167,"NOV 09, 2022",PHX @ MIN,W,19,5,7,0.714,2,3,0.667,4,4,1.0,0,0,0,1,0,0,3,2,16,8,1
22022,1629013,0022200148,"NOV 07, 2022",PHX @ PHI,L,11,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,6,1
22022,1629013,0022200139,"NOV 05, 2022",PHX vs. POR,W,19,3,6,0.5,2,4,0.5,0,0,0.0,0,1,1,2,0,1,0,0,8,11,1
22022,1629013,0022200130,"NOV 04, 2022",PHX vs. POR,L,19,2,8,0.25,1,5,0.2,1,1,1.0,1,0,1,2,0,0,2,1,6,-5,1
22022,1629013,0022200106,"NOV 01, 2022",PHX vs. MIN,W,17,2,8,0.25,2,5,0.4,2,2,1.0,0,0,0,0,0,0,1,0,8,-6,1
22022,1629013,0022200094,"OCT 30, 2022",PHX vs. HOU,W,15,3,6,0.5,2,5,0.4,2,4,0.5,0,1,1,1,2,0,1,1,10,3,1
22022,1629013,0022200079,"OCT 28, 2022",PHX vs. NOP,W,17,2,4,0.5,1,3,0.333,0,0,0.0,1,0,1,2,1,0,0,4,5,13,1
22022,1629013,0022200055,"OCT 25, 2022",PHX vs. GSW,W,15,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,2,2,8,1
22022,1629013,0022200043,"OCT 23, 2022",PHX @ LAC,W,13,2,5,0.4,2,5,0.4,2,2,1.0,0,1,1,1,1,0,0,1,8,4,1
22021,1629013,0022101229,"APR 10, 2022",PHX vs. SAC,L,33,11,20,0.55,5,12,0.417,0,0,0.0,0,3,3,5,1,1,1,1,27,2,1
22021,1629013,0022101210,"APR 08, 2022",PHX @ UTA,W,12,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-21,1
22021,1629013,0022101195,"APR 06, 2022",PHX @ LAC,L,28,3,12,0.25,2,8,0.25,0,0,0.0,1,1,2,1,0,0,2,4,8,-32,1
22021,1629013,0022101189,"APR 05, 2022",PHX vs. LAL,W,20,4,11,0.364,0,6,0.0,1,1,1.0,0,1,1,0,0,0,0,2,9,-2,1
22021,1629013,0022101174,"APR 03, 2022",PHX @ OKC,L,31,4,10,0.4,2,8,0.25,0,0,0.0,0,7,7,1,0,1,0,0,10,-16,1
22021,1629013,0022101155,"APR 01, 2022",PHX @ MEM,L,17,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,2,0,0,1,2,7,-2,1
22021,1629013,0022101145,"MAR 30, 2022",PHX @ GSW,W,18,3,7,0.429,2,5,0.4,0,0,0.0,0,0,0,2,1,0,0,0,8,-3,1
22021,1629013,0022101118,"MAR 27, 2022",PHX vs. PHI,W,17,4,7,0.571,3,5,0.6,1,2,0.5,0,0,0,0,0,0,0,1,12,10,1
22021,1629013,0022101099,"MAR 24, 2022",PHX @ DEN,W,19,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,2,2,0,1
22021,1629013,0022101090,"MAR 23, 2022",PHX @ MIN,W,25,6,10,0.6,5,9,0.556,2,2,1.0,0,1,1,1,0,1,2,0,19,21,1
22021,1629013,0022101066,"MAR 20, 2022",PHX @ SAC,W,31,7,11,0.636,5,9,0.556,2,3,0.667,0,2,2,1,1,1,1,3,21,3,1
22021,1629013,0022101056,"MAR 18, 2022",PHX vs. CHI,W,27,5,11,0.455,3,6,0.5,1,1,1.0,0,2,2,2,0,0,1,2,14,12,1
22021,1629013,0022101038,"MAR 16, 2022",PHX @ HOU,W,16,2,4,0.5,2,4,0.5,1,2,0.5,1,0,1,2,0,0,1,3,7,-3,1
22021,1629013,0022101032,"MAR 15, 2022",PHX @ NOP,W,20,2,7,0.286,2,5,0.4,0,0,0.0,0,1,1,2,0,0,0,0,6,23,1
22021,1629013,0022101019,"MAR 13, 2022",PHX vs. LAL,W,15,2,3,0.667,1,2,0.5,1,1,1.0,0,1,1,2,0,0,0,0,6,-2,1
22021,1629013,0022101003,"MAR 11, 2022",PHX vs. TOR,L,21,1,5,0.2,0,4,0.0,0,0,0.0,0,0,0,2,1,0,1,2,2,1,1
22021,1629013,0022100983,"MAR 09, 2022",PHX @ MIA,W,26,3,9,0.333,2,6,0.333,0,0,0.0,1,0,1,1,0,0,1,0,8,20,1
22021,1629013,0022100977,"MAR 08, 2022",PHX @ ORL,W,39,6,12,0.5,6,10,0.6,3,3,1.0,0,3,3,2,0,0,2,2,21,6,1
22021,1629013,0022100961,"MAR 06, 2022",PHX @ MIL,L,34,5,12,0.417,3,6,0.5,4,6,0.667,0,1,1,5,1,1,0,4,17,-4,1
22021,1629013,0022100953,"MAR 04, 2022",PHX vs. NYK,W,28,2,4,0.5,2,2,1.0,0,0,0.0,0,2,2,2,1,0,1,1,6,6,1
22021,1629013,0022100939,"MAR 02, 2022",PHX vs. POR,W,23,4,12,0.333,2,8,0.25,2,2,1.0,1,2,3,1,1,0,1,3,12,12,1
22021,1629013,0022100913,"FEB 27, 2022",PHX vs. UTA,L,11,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,0,3,2,-2,1
22021,1629013,0022100902,"FEB 25, 2022",PHX vs. NOP,L,17,3,9,0.333,2,7,0.286,0,0,0.0,0,3,3,1,0,0,1,3,8,-8,1
22021,1629013,0022100893,"FEB 24, 2022",PHX @ OKC,W,20,3,9,0.333,2,6,0.333,2,2,1.0,0,2,2,1,0,0,0,0,10,-3,1
22021,1629013,0022100758,"JAN 30, 2022",PHX vs. SAS,W,17,1,6,0.167,1,4,0.25,0,0,0.0,0,0,0,0,1,0,0,2,3,10,1
22021,1629013,0022100743,"JAN 28, 2022",PHX vs. MIN,W,21,5,10,0.5,4,8,0.5,3,3,1.0,1,3,4,5,0,0,1,0,17,6,1
22021,1629013,0022100731,"JAN 26, 2022",PHX @ UTA,W,12,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-5,1
22021,1629013,0022100713,"JAN 24, 2022",PHX vs. UTA,W,18,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0,3,0,0,0,0,3,9,1
22021,1629013,0022100697,"JAN 22, 2022",PHX vs. IND,W,16,3,6,0.5,2,3,0.667,0,0,0.0,1,0,1,0,0,0,0,1,8,3,1
22021,1629013,0022100682,"JAN 20, 2022",PHX @ DAL,W,10,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,3,0,-10,1
22021,1629013,0022100664,"JAN 17, 2022",PHX @ SAS,W,15,0,3,0.0,0,3,0.0,1,2,0.5,0,3,3,1,0,0,2,1,1,6,1
22021,1629013,0022100617,"JAN 16, 2022",PHX @ DET,W,25,2,6,0.333,1,4,0.25,6,7,0.857,0,0,0,5,0,1,0,4,11,4,1
22021,1629013,0022100634,"JAN 14, 2022",PHX @ IND,W,20,2,6,0.333,1,4,0.25,3,3,1.0,0,0,0,0,1,0,0,1,8,11,1
22021,1629013,0022100613,"JAN 11, 2022",PHX @ TOR,W,14,1,2,0.5,1,2,0.5,3,3,1.0,0,2,2,2,0,0,1,0,6,6,1
22021,1629013,0022100549,"JAN 02, 2022",PHX @ CHA,W,24,6,9,0.667,5,8,0.625,0,0,0.0,0,0,0,3,4,0,2,2,17,16,1
22021,1629013,0022100529,"DEC 31, 2021",PHX @ BOS,L,23,2,5,0.4,0,3,0.0,0,0,0.0,0,1,1,2,0,0,0,0,4,-12,1
22021,1629013,0022100522,"DEC 29, 2021",PHX vs. OKC,W,28,3,10,0.3,1,7,0.143,0,0,0.0,1,2,3,1,2,1,1,1,7,13,1
